periodo,afp,monto_ca_miles_soles,suma_pct_reportada,registros,total_fp_miles_soles,objetivo_monto_miles_soles,objetivo_pct,objetivo,escenario,ratio_ca_objetivo,error_abs_pct,pct_calculado_sobre_total_fp,dif_pct_interno_pp
2023-03,Integra,3669104.1359247793,87.80298443123728,60,4178792.053245,412626.057433,9.8742902775595,fondos_mutuos_exterior,despues_auditoria,8.892080540794613,789.2080540794612,87.80298443124424,6.963318810448982e-12
2023-03,Prima,2888144.412948209,77.30946962300887,41,3735822.3087460003,1316078.3276840001,35.22861150552076,total_exterior,despues_auditoria,2.1945079956074416,119.45079956074416,77.30946962297223,3.6635583455790766e-11
2023-03,Prima,2888144.412948209,77.30946962300887,41,3735822.3087460003,1106127.101432,29.608664706643527,rv_y_fondos_exterior,despues_auditoria,2.6110420847741604,161.10420847741605,77.30946962297223,3.6635583455790766e-11
2023-03,Prima,2888144.412948209,77.30946962300887,41,3735822.3087460003,1106127.101432,29.608664706643527,fondos_exterior_amplio,despues_auditoria,2.6110420847741604,161.10420847741605,77.30946962297223,3.6635583455790766e-11
2023-03,Prima,2888144.412948209,77.30946962300887,41,3735822.3087460003,1106068.392563,29.607093195363063,administradoras_fondos_exterior,despues_auditoria,2.6111806759577973,161.11806759577973,77.30946962297223,3.6635583455790766e-11
2023-03,Prima,2888144.412948209,77.30946962300887,41,3735822.3087460003,310019.944261,8.298573075474517,fondos_mutuos_mas_etf,despues_auditoria,9.315995523554877,831.5995523554877,77.30946962297223,3.6635583455790766e-11
2023-03,Prima,2888144.412948209,77.30946962300887,41,3735822.3087460003,309961.235392,8.297001564194053,fondos_mutuos_exterior,despues_auditoria,9.317760039559937,831.7760039559937,77.30946962297223,3.6635583455790766e-11
2023-03,Profuturo,3469572.505960605,88.5521772532089,92,3918110.896405,1615007.611856,41.21903781075306,total_exterior,despues_auditoria,2.148331983385082,114.8331983385082,88.55217725317719,3.170441686961567e-11
2023-03,Profuturo,3469572.505960605,88.5521772532089,92,3918110.896405,1572692.0023710001,40.13903750948959,rv_y_fondos_exterior,despues_auditoria,2.206136039815715,120.6136039815715,88.55217725317719,3.170441686961567e-11
2023-03,Profuturo,3469572.505960605,88.5521772532089,92,3918110.896405,1572692.0023710001,40.13903750948959,fondos_exterior_amplio,despues_auditoria,2.206136039815715,120.6136039815715,88.55217725317719,3.170441686961567e-11
2023-03,Profuturo,3469572.505960605,88.5521772532089,92,3918110.896405,1572601.416421,40.136725529242085,administradoras_fondos_exterior,despues_auditoria,2.206263119015129,120.62631190151292,88.55217725317719,3.170441686961567e-11
