fecha,dia_semana,afp_sin_prediccion,lista_afp,causas,factores_faltantes,faltante_en_las_4_afp
2024-09-09,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2024-09-16,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2024-09-23,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2024-09-30,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2024-10-07,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2024-10-14,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2024-10-21,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2024-10-28,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2024-11-04,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2024-11-11,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2024-11-18,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2024-11-25,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2024-11-28,jueves,4,Habitat | Integra | Prima | Profuturo,faltan_factores_seleccionados | ningun_factor_seleccionado_disponible,ret_COPX || ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_XLB,True
2024-11-29,viernes,4,Habitat | Integra | Prima | Profuturo,faltan_factores_seleccionados | ningun_factor_seleccionado_disponible,ret_COPX || ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_XLB,True
2024-12-02,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2024-12-09,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2024-12-16,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2024-12-23,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2024-12-26,jueves,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2024-12-30,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2025-01-06,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2025-01-09,jueves,4,Habitat | Integra | Prima | Profuturo,faltan_factores_seleccionados | ningun_factor_seleccionado_disponible,ret_COPX || ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_XLB,True
2025-01-10,viernes,4,Habitat | Integra | Prima | Profuturo,faltan_factores_seleccionados | ningun_factor_seleccionado_disponible,ret_COPX || ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_XLB,True
2025-01-13,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2025-01-20,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2025-01-21,martes,4,Habitat | Integra | Prima | Profuturo,faltan_factores_seleccionados | ningun_factor_seleccionado_disponible,ret_COPX || ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_XLB,True
2025-01-27,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
2025-02-03,lunes,4,Habitat | Integra | Prima | Profuturo,ningun_factor_seleccionado_disponible,ret_COPX | ret_EPU || ret_COPX | ret_EPU | ret_IDX_VIX | ret_XLB || ret_IDX_VIX | ret_COPX,True
