fecha_cartera,archivo,hoja,fila_excel_aprox,afp,fondo,valor,tipo_valor,participacion_reportada,identificador_especifico,categoria_instrumento,estado_pareja,moneda,total_canonico,participacion_calculada_pct,estado_refinado,fila_categoria_origen,total_refinado,participacion_hoja3_refinada_pct
2026-01-30,CA-0001-en2026.XLS,3,519,Habitat,3,4321.1772523326,miles_soles,0.0008666214251443,"Insight Partners XIII, L.P.",Fondo Mutuo Alternativo Extranjero,pareja_exacta,,5792285.413077266,0.0746022846625731,pareja_exacta_original,,5140331.281444551,0.0840641782744837
2026-01-30,CA-0001-en2026.XLS,3,521,Habitat,3,25406.043216,miles_soles,0.0050952368054892,Invesco Capital Management LLC,FONDOS MUTUOS DEL EXTRANJERO,pareja_exacta,,5792285.413077266,0.4386186350320492,pareja_exacta_original,,5140331.281444551,0.4942491412510735
2026-01-30,CA-0001-en2026.XLS,3,523,Habitat,3,9983.1792496721,miles_soles,0.0020021481470475,Invesco Fund Managers Limited,FONDOS MUTUOS DEL EXTRANJERO,pareja_exacta,,5792285.413077266,0.1723530271338673,pareja_exacta_original,,5140331.281444551,0.1942127598995253
2026-01-30,CA-0001-en2026.XLS,3,527,Habitat,3,224.1509751158,miles_soles,4.495396188561376e-05,Invesco Management S.A.,FONDOS MUTUOS DEL EXTRANJERO,pareja_exacta,,5792285.413077266,0.0038698192359398,pareja_exacta_original,,5140331.281444551,0.004360632862806625
2026-01-30,CA-0001-en2026.XLS,3,531,Habitat,3,808.55892592,miles_soles,0.0001621582378542,J.P. Morgan Investment Management Inc.,FONDOS MUTUOS DEL EXTRANJERO,pareja_exacta,,5792285.413077266,0.0139592383361239,pareja_exacta_original,,5140331.281444551,0.01572970459780904
2026-01-30,CA-0001-en2026.XLS,3,533,Habitat,3,0.0918453061,miles_soles,1.841977438491588e-08,Janus Henderson Investors Europe S.A.,FONDOS MUTUOS DEL EXTRANJERO,pareja_exacta,,5792285.413077266,1.5856488337511904e-06,pareja_exacta_original,,5140331.281444551,1.7867585000122665e-06
2026-01-30,CA-0001-en2026.XLS,3,535,Habitat,3,1744.4910663467,miles_soles,0.0003498614488106,"Joh. Berenberg, Gossier & Co. KG",FONDOS MUTUOS DEL EXTRANJERO,pareja_exacta,,5792285.413077266,0.0301174914897694,pareja_exacta_original,,5140331.281444551,0.033937327592949575
2026-01-30,CA-0001-en2026.XLS,3,537,Habitat,3,6707.770913565299,miles_soles,0.0013452579353271,JP MORGAN ASSET MANAGMENT (EUROPE),FONDOS MUTUOS DEL EXTRANJERO,pareja_exacta,,5792285.413077266,0.1158052553560489,pareja_exacta_original,,5140331.281444551,0.13049296915509814
2026-01-30,CA-0001-en2026.XLS,3,539,Habitat,3,42728.0229009148,miles_soles,0.008569197220503,JP MORGAN FLEMING FUNDS SICAV,FONDOS MUTUOS DEL EXTRANJERO,pareja_exacta,,5792285.413077266,0.7376712273957974,pareja_exacta_original,,5140331.281444551,0.8312309180373925
2026-01-30,CA-0001-en2026.XLS,3,543,Habitat,3,2327.695236821,miles_soles,0.0004668243040357,Jupiter Unit Trust Managers Limited,FONDOS MUTUOS DEL EXTRANJERO,pareja_exacta,,5792285.413077266,0.0401861281138832,pareja_exacta_original,,5140331.281444551,0.0452829809865263
2026-01-30,CA-0001-en2026.XLS,3,547,Habitat,3,13390.7234050881,miles_soles,0.0026855384825434,"Knightsbridge Management X, LLC",Fondo Mutuo Alternativo Extranjero,pareja_exacta,,5792285.413077266,0.2311820369703435,pareja_exacta_original,,5140331.281444551,0.2605031207507116
2026-01-30,CA-0001-en2026.XLS,3,549,Habitat,3,188616.3233384,miles_soles,0.0378274107707031,"Krane Funds Advisors, LLC",FONDOS MUTUOS DEL EXTRANJERO,pareja_exacta,,5792285.413077266,3.2563368323073343,pareja_exacta_original,,5140331.281444551,3.669341779960035
2026-01-30,CA-0001-en2026.XLS,3,553,Habitat,3,35214.7947564947,miles_soles,0.0070624030989619,LARRAINVIAL ASSET MANAGEMENT SICAV,FONDOS MUTUOS DEL EXTRANJERO,pareja_exacta,,5792285.413077266,0.6079602824299735,pareja_exacta_original,,5140331.281444551,0.6850685846574179
2026-01-30,CA-0001-en2026.XLS,3,559,Habitat,3,13156.8393604685,miles_soles,0.0026386325325602,Lexington Partners GP Holdings IX LLC,Fondo Mutuo Alternativo Extranjero,pareja_exacta,,5792285.413077266,0.2271441826876184,pareja_exacta_original,,5140331.281444551,0.2559531407627706
2026-01-30,CA-0001-en2026.XLS,3,565,Habitat,3,12411.6838192429,miles_soles,0.0024891899803616,LionTrust Fund Partners LLP,FONDOS MUTUOS DEL EXTRANJERO,pareja_exacta,,5792285.413077266,0.214279562108956,pareja_exacta_original,,5140331.281444551,0.24145688555222714
2026-01-30,CA-0001-en2026.XLS,3,569,Habitat,3,2105.7220950978,miles_soles,0.0004223071113378,Man Fund Management UK Limited,FONDOS MUTUOS DEL EXTRANJERO,pareja_exacta,,5792285.413077266,0.036353907739831,pareja_exacta_original,,5140331.281444551,0.04096471569252719
