afp,factor,familia,mejor_lag_train,lag,corr_s_train,corr_p_train,n_train,corr_s_valid,corr_p_valid,n_valid,corr_s_test,corr_p_test,n_test,estable_train_valid,confirmada_en_test,score_pretest,nivel_relacion,direccion_relacion,ranking_pretest
Prima,ret_XLF,otros,0,0,0.3598699077430941,0.45960460732251085,1662,0.22724445919311073,0.24799790589716234,547,0.1825587181865576,0.24306009831850614,463,True,True,0.22724445919311073,debil_pero_estable,positiva,14
Prima,ret_XLK,otros,0,0,0.31437351969092675,0.40801622354962563,1662,0.21679002218507679,0.2512398589401489,547,0.4356636511622733,0.47059581199265466,463,True,True,0.21679002218507679,debil_pero_estable,positiva,15
Prima,ret_QQQ,tecnologia_semiconductores,0,0,0.32005000576945714,0.39823224249743655,1662,0.21139963067397374,0.2498582285639902,547,0.40031171442693,0.4356230842517558,463,True,True,0.21139963067397374,debil_pero_estable,positiva,16
Prima,ret_SPY,acciones_globales_usa,0,0,0.33122601715070643,0.4117974367074836,1662,0.20575775256915915,0.2465537968490734,547,0.3148607090384851,0.3650517821940481,463,True,True,0.20575775256915915,debil_pero_estable,positiva,17
Prima,ret_USO,otros,0,0,0.18819822290316776,0.26055840769719385,1662,0.19775600638702626,0.19249662997665434,547,-0.022597059230335458,-0.07730988290174264,463,True,False,0.18819822290316776,no_confirmada_en_test,positiva,18
Prima,ret_EWJ,acciones_regionales,0,0,0.31613045528004435,0.3744558498056782,1662,0.18715654299929507,0.21196577662288307,547,0.3241030865314026,0.4222493330133311,463,True,True,0.18715654299929507,debil_pero_estable,positiva,19
Prima,ret_CPER,otros,0,0,0.16442488141755787,0.16096982669843057,1662,0.2409211506677445,0.2428327050841014,547,0.3380330290101646,0.3774189867940002,463,True,True,0.16442488141755787,debil_pero_estable,positiva,20
Prima,ret_XLV,otros,0,0,0.27463447336984786,0.34243743079650457,1662,0.12529106090536052,0.12886226740869325,547,0.11461338802703216,0.1521562808585097,463,True,True,0.12529106090536052,debil_pero_estable,positiva,21
Prima,ret_XLP,otros,0,0,0.17618846226432544,0.2567947398864912,1662,0.10593649134996094,0.11558364392597549,547,0.039744617116703206,0.06562090029213966,463,True,False,0.10593649134996094,no_confirmada_en_test,positiva,22
Prima,ret_HYG,bonos_credito,0,0,0.16519577126845267,0.1893858669936864,1662,0.09672409017209452,0.11166502984851821,547,0.09913357849419514,0.10177855287924907,463,False,False,0.09672409017209452,sin_relacion_estable,positiva,23
Prima,ret_DX_Y_NYB,tipo_cambio,2,2,-0.07736243380547528,-0.07769637537325229,1653,-0.06613559502711329,-0.06152468823871654,545,0.006050034598333549,0.029071684568791237,561,False,False,0.06613559502711329,sin_relacion_estable,negativa,24
Prima,ret_GLD,otros,0,0,-0.03392233908541373,-0.020630765717212236,1662,0.11588230955316181,0.12379314937282339,547,0.2541379358706386,0.373687876633235,463,False,False,0.03392233908541373,sin_relacion_estable,negativa,25
Prima,ret_LQD,bonos_credito,1,1,0.023018425351120426,0.013184221531610146,1650,0.04665311078559865,0.03910185311278202,545,-0.03362727660932907,0.010738963844374843,370,False,False,0.023018425351120426,sin_relacion_estable,positiva,26
Prima,ret_PEN_X,tipo_cambio,0,0,-0.035517361113724326,-0.014326399371913132,1773,-0.006510568008983753,-0.017394846573251597,593,-0.007666600103049127,-0.00457790665579571,493,False,False,0.006510568008983753,sin_relacion_estable,negativa,27
Prima,fx_usdpen,tipo_cambio,0,0,-0.035517361113724326,-0.014326399371913132,1773,-0.006510568008983753,-0.017394846573251597,593,-0.007666600103049127,-0.00457790665579571,493,False,False,0.006510568008983753,sin_relacion_estable,negativa,28
Prima,ret_TLT,bonos_credito,0,0,-0.16636748946888322,-0.17110159198259156,1662,-0.0021089680412596378,0.02549437253746249,547,0.020596341544803595,0.02370936499313261,463,False,False,0.0021089680412596378,sin_relacion_estable,negativa,29
Profuturo,ret_COPX,otros,0,0,0.3985266494126076,0.4542701650290752,1662,0.3899688229943503,0.4121910887991117,547,0.5232019414264143,0.6231620344067426,463,True,True,0.3899688229943503,moderada_y_estable,positiva,1
Profuturo,ret_EPU,otros,0,0,0.3230886993631429,0.40519717952757134,1662,0.3824271579712671,0.43525350627683224,547,0.5003511049165328,0.5974637051273181,463,True,True,0.3230886993631429,moderada_y_estable,positiva,2
Profuturo,ret_IDX_VIX,volatilidad,0,0,-0.530577550085281,-0.567019729680289,1668,-0.2698813765943806,-0.291715430521457,547,-0.4529859562092262,-0.45267425612054535,480,True,True,0.2698813765943806,moderada_y_estable,negativa,3
Profuturo,vix_retorno,volatilidad,0,0,-0.530577550085281,-0.567019729680289,1668,-0.2698813765943806,-0.291715430521457,547,-0.4529859562092262,-0.45267425612054535,480,True,True,0.2698813765943806,moderada_y_estable,negativa,4
Profuturo,ret_MCHI,otros,0,0,0.423726870238222,0.4517307562797024,1662,0.2695901091129209,0.2640522996731671,547,0.2819782343968684,0.31212262483658343,463,True,True,0.2695901091129209,moderada_y_estable,positiva,5
Profuturo,ret_EEM,acciones_regionales,0,0,0.41243453001846875,0.45894312519386615,1662,0.26896447205632,0.28495041485531597,547,0.3839369742494044,0.45778439549851824,463,True,True,0.26896447205632,moderada_y_estable,positiva,6
Profuturo,ret_ILF,otros,0,0,0.33426355801614793,0.41372715748699646,1662,0.2580104345673675,0.2950931432713127,547,0.3208939343965783,0.39736912259931345,463,True,True,0.2580104345673675,moderada_y_estable,positiva,7
Profuturo,ret_XLB,materias_primas,0,0,0.3705734155556528,0.43086728380207145,1662,0.2564606026088031,0.2928053888060466,547,0.2583747711289232,0.3241808191875803,463,True,True,0.2564606026088031,moderada_y_estable,positiva,8
Profuturo,ret_XLE,otros,0,0,0.3503855943284704,0.43924364456170256,1662,0.2496181876277687,0.2683573453576055,547,0.04529410598338876,0.05361676230560181,463,True,False,0.2496181876277687,no_confirmada_en_test,positiva,9
Profuturo,ret_VGK,acciones_regionales,0,0,0.37135844962892095,0.4310149295668031,1662,0.2340656114592249,0.266289708205133,547,0.28799719309513006,0.353122497472115,463,True,True,0.2340656114592249,debil_pero_estable,positiva,10
Profuturo,ret_ACWI,acciones_globales_usa,0,0,0.3965733474819529,0.4398467214610537,1662,0.2200605943383402,0.2600200362484436,547,0.30329831583586914,0.3518205078206862,463,True,True,0.2200605943383402,debil_pero_estable,positiva,11
Profuturo,ret_XLY,otros,0,0,0.3713038401085627,0.424091886248164,1662,0.21874157281622014,0.25322000835259956,547,0.27643503253282053,0.3000344716202233,463,True,True,0.21874157281622014,debil_pero_estable,positiva,12
