afp,modelo,segmento,tipo_features,parametros,n_publicacion,mape_cuota_5d_pct,mediana_error_abs_5d_pct,p90_error_abs_5d_pct,error_maximo_abs_5d_pct,sesgo_5d_pct,correlacion_retorno_acumulado,direccion_acumulada_pct
Habitat,ARDL_RIDGE,entrenamiento,ardl,"{""alpha"": 0.001}",1777,0.6233551277024239,0.469032433613803,1.2942433312937103,5.335561514307496,-0.02738533041980009,0.6977070100883441,75.52054023635341
Habitat,ARDL_RIDGE,validacion,ardl,"{""alpha"": 0.001}",593,0.7523696337508449,0.5674817151101741,1.5235932466704298,6.510676187438658,0.08056872715342213,0.6418769001085611,75.54806070826307
Habitat,ARDL_RIDGE,prueba,ardl,"{""alpha"": 0.001}",593,0.8264012715452379,0.5594393999502012,2.073932485993859,5.62059820613362,-0.11339684797924139,0.5064118829439909,74.03035413153457
Integra,OLS,entrenamiento,estatico,{},1777,0.6986088980634815,0.5177738229535711,1.4707346912522603,8.153871657319156,-0.014336813911857586,0.6099107687660006,70.90602138435565
Integra,OLS,validacion,estatico,{},593,0.7089865134120971,0.4970453128787522,1.454665540830323,9.150412451639545,0.09380697408051429,0.5369726560503904,70.48903878583474
Integra,OLS,prueba,estatico,{},593,0.9125153898816524,0.6077023713515262,2.2454175189399326,6.449486434926177,-0.04191572289915953,0.5230522251255353,68.8026981450253
Integra,RIDGE,entrenamiento,estatico,"{""alpha"": 0.001}",1777,0.6986089111958727,0.5177740210325688,1.470734680690107,8.153871666411039,-0.014336812347769567,0.6099108313367478,70.90602138435565
Integra,RIDGE,validacion,estatico,"{""alpha"": 0.001}",593,0.7089865267731725,0.4970453576610634,1.454665367793183,9.150412440277444,0.09380699146038188,0.536972711383695,70.48903878583474
Integra,RIDGE,prueba,estatico,"{""alpha"": 0.001}",593,0.9125154046697361,0.6077024202319814,2.2454175259628926,6.44948627971802,-0.041915724278102244,0.5230522479726407,68.8026981450253
Integra,ELASTIC_NET,entrenamiento,estatico,"{""alpha"": 1e-05, ""l1_ratio"": 0.1}",1777,0.6986389070551581,0.5178131386818663,1.4705923493360131,8.154773824923712,-0.014329603246174256,0.6098868550034359,70.90602138435565
Integra,ELASTIC_NET,validacion,estatico,"{""alpha"": 1e-05, ""l1_ratio"": 0.1}",593,0.7090215322775385,0.4971214013780312,1.4549000801636311,9.150557647460955,0.09381235518198858,0.5369505209337335,70.48903878583474
Integra,ELASTIC_NET,prueba,estatico,"{""alpha"": 1e-05, ""l1_ratio"": 0.1}",593,0.9125499500393202,0.6078580020094204,2.2455329773170583,6.449283310126708,-0.04196277482616133,0.5230391803669224,68.8026981450253
Integra,HUBER,entrenamiento,estatico,"{""alpha"": 1e-06, ""epsilon"": 2.0}",1777,0.7073819888593996,0.5220488685630853,1.5003381738970134,8.497220385015215,0.011680456450479004,0.587978766230405,71.35621834552617
Integra,HUBER,validacion,estatico,"{""alpha"": 1e-06, ""epsilon"": 2.0}",593,0.7231904858150544,0.5044666312804091,1.4782579846795814,9.17754547488191,0.11708777062134786,0.517399063046587,70.99494097807757
Integra,HUBER,prueba,estatico,"{""alpha"": 1e-06, ""epsilon"": 2.0}",593,0.9236191326059219,0.6283488706672946,2.2910567594424167,6.421754709161376,-0.044364414890067684,0.5110671110009715,69.30860033726813
Integra,LAD_Q50,entrenamiento,estatico,"{""alpha"": 0.001}",1777,0.7146738466853382,0.5308620274296016,1.5331788641815662,8.70482211738619,0.04448956855196842,0.5800428970715967,71.18739448508722
Integra,LAD_Q50,validacion,estatico,"{""alpha"": 0.001}",593,0.7363364426303602,0.5038353282361907,1.5309691531633265,9.17105822313884,0.15008728871814422,0.5096528779688958,69.64586846543001
Integra,LAD_Q50,prueba,estatico,"{""alpha"": 0.001}",593,0.9331029793855716,0.6315745536797923,2.310200668582488,6.404116998398535,-0.03126685544853408,0.5048615924233022,67.45362563237775
Integra,ARDL_OLS,entrenamiento,ardl,{},1777,0.6545610196592421,0.5034232477587719,1.356080808861202,5.949353559525572,-0.023151329824880766,0.6686038833381651,70.2870005627462
Integra,ARDL_OLS,validacion,ardl,{},593,0.6648839332173312,0.4725086107244092,1.324835837215171,8.51244874076632,0.09429408632434619,0.5932309237932203,72.68128161888701
Integra,ARDL_OLS,prueba,ardl,{},593,0.9095953565743563,0.6461460015664833,2.2124385107611206,7.097077042145705,0.05851841183038911,0.5004817882986368,65.59865092748736
Integra,ARDL_RIDGE,entrenamiento,ardl,"{""alpha"": 0.001}",1777,0.6545610368461402,0.50342349479362,1.356080752426263,5.949355200613615,-0.023151322582713015,0.6686038768969298,70.2870005627462
Integra,ARDL_RIDGE,validacion,ardl,"{""alpha"": 0.001}",593,0.6648839353844846,0.47250861812044853,1.3248354399936042,8.512449367607744,0.09429405059274831,0.5932309060885906,72.68128161888701
Integra,ARDL_RIDGE,prueba,ardl,"{""alpha"": 0.001}",593,0.9095953308825457,0.6461462687534447,2.2124386126579134,7.097076463670682,0.05851828750923501,0.5004817866879622,65.59865092748736
Prima,OLS,entrenamiento,estatico,{},1777,0.6359885791250007,0.48726262883823646,1.3175247407712567,7.246098665128953,-0.028923908352306422,0.6958046800633719,74.84524479459763
Prima,OLS,validacion,estatico,{},593,0.6556810773557097,0.48875224804147965,1.4128774474717571,6.206556324426882,0.10456534334695768,0.5961578518657796,71.16357504215851
Prima,OLS,prueba,estatico,{},593,0.899592465498573,0.5778450555927739,2.2093906741918348,7.393705908889836,-0.048730743046828374,0.5313534523849598,73.69308600337267
Prima,RIDGE,entrenamiento,estatico,"{""alpha"": 0.001}",1777,0.6359886093022954,0.4872630126625421,1.3175248044538714,7.24609954422748,-0.02892389382259173,0.6958047116362702,74.84524479459763
Prima,RIDGE,validacion,estatico,"{""alpha"": 0.001}",593,0.6556811008283971,0.48875232172127525,1.4128779805453335,6.206556733844604,0.1045652994893196,0.5961578080272805,71.16357504215851
Prima,RIDGE,prueba,estatico,"{""alpha"": 0.001}",593,0.899592521925842,0.5778455805015792,2.209390822387657,7.393705930224925,-0.04873074885947319,0.531353467682963,73.69308600337267
Prima,ELASTIC_NET,entrenamiento,estatico,"{""alpha"": 1e-05, ""l1_ratio"": 0.1}",1777,0.6360296421051697,0.48654027917679477,1.3177202843919125,7.247409301571195,-0.028904000411156195,0.6958616963186575,74.84524479459763
Prima,ELASTIC_NET,validacion,estatico,"{""alpha"": 1e-05, ""l1_ratio"": 0.1}",593,0.6557537501778572,0.48890002732846494,1.41446081261381,6.207919328729439,0.10446794585388934,0.5959525747055155,70.99494097807757
Prima,ELASTIC_NET,prueba,estatico,"{""alpha"": 1e-05, ""l1_ratio"": 0.1}",593,0.8997199879039705,0.5791001581252342,2.2097311902580588,7.39377968421937,-0.048735981173331056,0.5313876733085328,73.52445193929174
