fecha,afp,rendimiento_simple,modelo,esquema_rezago,estimado,error,error_cuadrado,error_absoluto
2025-11-12,Integra,0.0078249440782898,M0_sin_pesos,lag0,0.0018973548152379821,0.005927589263051819,3.5136314471447204e-05,0.005927589263051819
2025-11-13,Integra,-0.0111510580511821,M0_sin_pesos,lag0,-0.005158141793741955,-0.005992916257440146,3.5915045268690405e-05,0.005992916257440146
2025-11-14,Integra,-0.0054126826787462,M0_sin_pesos,lag0,-3.5744816969348714e-05,-0.005376937861776851,2.8911460769409418e-05,0.005376937861776851
2025-11-17,Integra,-0.0100581049662287,M0_sin_pesos,lag0,0.0002976579180998029,-0.010355762884328502,0.00010724182491643578,0.010355762884328502
2025-11-18,Integra,-0.0070362860537767,M0_sin_pesos,lag0,-0.0028638397657106546,-0.004172446288066046,1.7409308026796122e-05,0.004172446288066046
2025-11-19,Integra,0.0092171218159688,M0_sin_pesos,lag0,0.001831413095673088,0.0073857087202957115,5.4548693301052114e-05,0.0073857087202957115
2025-11-20,Integra,-0.0192678058892555,M0_sin_pesos,lag0,-0.005541358371582178,-0.013726447517673324,0.00018841536145544014,0.013726447517673324
2025-11-21,Integra,0.0017118755794645,M0_sin_pesos,lag0,0.001944073702455227,-0.00023219812299072706,5.391596832041681e-08,0.00023219812299072706
2025-11-24,Integra,0.0154452660686699,M0_sin_pesos,lag0,0.0002976579180998029,0.015147608150570098,0.00022945003268321767,0.015147608150570098
2025-11-25,Integra,0.0012143226927876,M0_sin_pesos,lag0,0.0022970878238424077,-0.0010827651310548077,1.172380329028135e-06,0.0010827651310548077
2025-11-26,Integra,0.0165469843608041,M0_sin_pesos,lag0,0.003763814296953651,0.012783170063850447,0.00016340943688132226,0.012783170063850447
2025-11-27,Integra,0.0017600439059162,M0_sin_pesos,lag0,0.0002433073828153822,0.0015167365231008177,2.3004896805079573e-06,0.0015167365231008177
2025-11-28,Integra,0.0098099034441583,M0_sin_pesos,lag0,0.0005272917675878065,0.009282611676570494,8.616687953800287e-05,0.009282611676570494
