periodo,afp,identificador_final,valor_redondeado,ocurrencias,monto_una_ocurrencia,filas_excel,estados,monto_duplicado_excedente
2025-11,Integra,JP Morgan Chase Bank N.A,33586.38,2,33586.38,642 | 643,entidad_sin_isin_pendiente,33586.38
2025-11,Integra,Skandinaviska Enskilda Banken AB,1200.614227,2,1200.6142272323,648 | 649,entidad_sin_isin_pendiente,1200.6142272323
2025-12,Habitat,Royal Bank of Canada,658.7364,2,658.7364,641 | 642,entidad_sin_isin_pendiente,658.7364
2025-12,Integra,CITIBANK N.A.,3596.163,2,3596.163,631 | 632,entidad_sin_isin_pendiente,3596.163
2025-12,Integra,JP Morgan Chase Bank N.A,8503.077,2,8503.077,633 | 634,entidad_sin_isin_pendiente,8503.077
2025-12,Integra,Sumitomo Mitsui Banking Corporation,7301.702323,2,7301.702322984,637 | 638,entidad_sin_isin_pendiente,7301.702322984
2025-12,Integra,The Bank of Nova Scotia,19224.348,2,19224.348,635 | 636,entidad_sin_isin_pendiente,19224.348
2026-01,Integra,CITIBANK N.A.,21312.988293,2,21312.98829288,634 | 635,entidad_sin_isin_pendiente,21312.98829288
2026-01,Integra,JP Morgan Chase Bank N.A,23879.12,2,23879.12,636 | 637,entidad_sin_isin_pendiente,23879.12
2026-01,Integra,The Bank of Nova Scotia,1616.64,2,1616.64,638 | 639,entidad_sin_isin_pendiente,1616.64
