fecha,afp,fecha_cartera,peso_rv_exterior,peso_rv_local,peso_rf_exterior,peso_rf_local,peso_alternativos,peso_liquidez_transito,peso_rv_total,peso_exterior_total,peso_mapeado_total
2023-07-20,Profuturo,2023-06-30,0.2002790061989968,0.47845016504311255,0.02719970946569494,0.0434257469424785,0.2468801409582311,0.0037652313915396227,0.6787291712421093,0.22747871566469174,1.0000000000000535
2023-07-21,Profuturo,2023-06-30,0.2002790061989968,0.47845016504311255,0.02719970946569494,0.0434257469424785,0.2468801409582311,0.0037652313915396227,0.6787291712421093,0.22747871566469174,1.0000000000000535
2023-07-24,Profuturo,2023-06-30,0.2002790061989968,0.47845016504311255,0.02719970946569494,0.0434257469424785,0.2468801409582311,0.0037652313915396227,0.6787291712421093,0.22747871566469174,1.0000000000000535
2023-07-25,Profuturo,2023-06-30,0.2002790061989968,0.47845016504311255,0.02719970946569494,0.0434257469424785,0.2468801409582311,0.0037652313915396227,0.6787291712421093,0.22747871566469174,1.0000000000000535
2023-07-26,Profuturo,2023-06-30,0.2002790061989968,0.47845016504311255,0.02719970946569494,0.0434257469424785,0.2468801409582311,0.0037652313915396227,0.6787291712421093,0.22747871566469174,1.0000000000000535
2023-07-27,Profuturo,2023-06-30,0.2002790061989968,0.47845016504311255,0.02719970946569494,0.0434257469424785,0.2468801409582311,0.0037652313915396227,0.6787291712421093,0.22747871566469174,1.0000000000000535
2023-07-28,Profuturo,2023-06-30,0.2002790061989968,0.47845016504311255,0.02719970946569494,0.0434257469424785,0.2468801409582311,0.0037652313915396227,0.6787291712421093,0.22747871566469174,1.0000000000000535
2023-07-31,Profuturo,2023-06-30,0.2002790061989968,0.47845016504311255,0.02719970946569494,0.0434257469424785,0.2468801409582311,0.0037652313915396227,0.6787291712421093,0.22747871566469174,1.0000000000000535
2023-08-01,Profuturo,2023-07-31,0.24592278672877688,0.48657944465684344,0.017930214083963433,0.012330989839378734,0.24027106797049075,-0.0030345032794795146,0.7325022313856203,0.2638530008127403,0.9999999999999737
2023-08-02,Profuturo,2023-07-31,0.24592278672877688,0.48657944465684344,0.017930214083963433,0.012330989839378734,0.24027106797049075,-0.0030345032794795146,0.7325022313856203,0.2638530008127403,0.9999999999999737
