escenario,periodo,fecha_cartera,afp,factor_proxy_mercado,peso_exterior,peso_total_fondo,identificadores,peso_exterior_pct,peso_total_fondo_pct
principal_5pct,2016-11,2016-11-30,Habitat,EWJ,0.11404208055616209,0.06688800512054349,3,11.404208055616209,6.68880051205435
principal_5pct,2016-11,2016-11-30,Habitat,MCHI,0.0100876684420776,0.005916623189593,1,1.00876684420776,0.5916623189593
principal_5pct,2016-11,2016-11-30,Habitat,RESIDUAL_NO_MAPEADO,0.3966744338156684,0.2326576420813768,15,39.66744338156684,23.26576420813768
principal_5pct,2016-11,2016-11-30,Habitat,SPY,0.2219280912791687,0.1301653497856271,5,22.19280912791687,13.01653497856271
principal_5pct,2016-11,2016-11-30,Habitat,VGK,0.18953870932678019,0.1111683169770604,4,18.95387093267802,11.11683169770604
principal_5pct,2016-11,2016-11-30,Habitat,XLF,0.0045761796016217,0.0026840226268501,1,0.45761796016217,0.26840226268501
principal_5pct,2016-11,2016-11-30,Habitat,XLP,0.0008568901386421,0.0005025835349699,1,0.08568901386421,0.050258353496989996
principal_5pct,2016-11,2016-11-30,Habitat,XLV,0.0069372524533869,0.0040688399875003,1,0.69372524533869,0.40688399875002995
principal_5pct,2016-11,2016-11-30,Habitat,XLY,0.0017333051069558,0.0010166187805775,1,0.17333051069558,0.10166187805775
principal_5pct,2016-11,2016-11-30,Prima,COPX,0.0009009013585708,0.0004834332269061,1,0.09009013585707999,0.04834332269061
principal_5pct,2016-11,2016-11-30,Prima,EEM,4.301965282994653e-05,2.308480211524564e-05,1,0.004301965282994653,0.0023084802115245643
principal_5pct,2016-11,2016-11-30,Prima,EWJ,0.1877356572012001,0.1007409453906251,2,18.77356572012001,10.07409453906251
principal_5pct,2016-11,2016-11-30,Prima,HYG,2.920909024156713e-07,1.5673907710467405e-07,1,2.9209090241567133e-05,1.5673907710467406e-05
principal_5pct,2016-11,2016-11-30,Prima,LQD,0.0026741062193607,0.001434953767598,1,0.26741062193607,0.1434953767598
principal_5pct,2016-11,2016-11-30,Prima,MCHI,0.0123385386847488,0.0066209907610052,1,1.23385386847488,0.66209907610052
principal_5pct,2016-11,2016-11-30,Prima,PRIVATE_ALTERNATIVES,0.1017657686513051,0.054608591117822805,8,10.17657686513051,5.4608591117822805
principal_5pct,2016-11,2016-11-30,Prima,RESIDUAL_NO_MAPEADO,0.4073531822557535,0.21859003931439488,28,40.73531822557535,21.85900393143949
principal_5pct,2016-11,2016-11-30,Prima,SPY,0.22352222873778538,0.11994439934621053,7,22.352222873778537,11.994439934621052
principal_5pct,2016-11,2016-11-30,Prima,VGK,0.06366630514754128,0.03416401479457637,3,6.366630514754128,3.4164014794576367
principal_5pct,2016-11,2016-11-30,Profuturo,EEM,0.1127857591524613,0.06952645566949289,3,11.278575915246131,6.95264556694929
principal_5pct,2016-11,2016-11-30,Profuturo,EWJ,0.1903920633386325,0.1173666378717447,3,19.039206333863252,11.73666378717447
principal_5pct,2016-11,2016-11-30,Profuturo,MCHI,0.0160139485148569,0.0098717523371605,1,1.60139485148569,0.98717523371605
principal_5pct,2016-11,2016-11-30,Profuturo,PRIVATE_ALTERNATIVES,0.055990498596118994,0.0345151812410432,14,5.5990498596119,3.45151812410432
principal_5pct,2016-11,2016-11-30,Profuturo,QQQ,0.0298379190417677,0.0183934990650999,1,2.98379190417677,1.8393499065099899
principal_5pct,2016-11,2016-11-30,Profuturo,RESIDUAL_NO_MAPEADO,0.1363790330174554,0.0840704612407575,13,13.63790330174554,8.40704612407575
principal_5pct,2016-11,2016-11-30,Profuturo,SPY,0.19820326811462663,0.12218183250859005,9,19.820326811462664,12.218183250859004
principal_5pct,2016-11,2016-11-30,Profuturo,VGK,0.104044385142658,0.0641378608934318,3,10.4044385142658,6.413786089343181
principal_5pct,2016-11,2016-11-30,Profuturo,XLB,7.469254851837954e-05,4.604400593149924e-05,1,0.007469254851837954,0.004604400593149924
principal_5pct,2016-11,2016-11-30,Profuturo,XLE,0.049388489681019804,0.030445391902260498,4,4.93884896810198,3.04453919022605
principal_5pct,2016-11,2016-11-30,Profuturo,XLF,0.0747275013255071,0.0460655524885605,4,7.4727501325507095,4.60655524885605
principal_5pct,2016-11,2016-11-30,Profuturo,XLI,0.0101119094811517,0.0062334574112753,1,1.01119094811517,0.6233457411275299
principal_5pct,2016-11,2016-11-30,Profuturo,XLK,0.0003633355900837,0.0002239771757262,1,0.03633355900837,0.022397717572619998
principal_5pct,2016-11,2016-11-30,Profuturo,XLP,0.0012388043359622,0.0007636573570518,1,0.12388043359621999,0.07636573570518
principal_5pct,2016-11,2016-11-30,Profuturo,XLV,0.0003133010499152,0.0001931335278657,1,0.03133010499152,0.01931335278657
principal_5pct,2016-11,2016-11-30,Profuturo,XLY,0.0201350910692615,0.0124122187690011,1,2.01350910692615,1.24122187690011
principal_5pct,2016-12,2016-12-30,Habitat,EEM,0.0623885146703736,0.0365411043845355,3,6.23885146703736,3.6541104384535497
principal_5pct,2016-12,2016-12-30,Habitat,EWJ,0.1176665744193108,0.0689175980730396,4,11.76665744193108,6.89175980730396
principal_5pct,2016-12,2016-12-30,Habitat,MCHI,0.0090042453800228,0.0052738083615834,1,0.9004245380022801,0.52738083615834
principal_5pct,2016-12,2016-12-30,Habitat,RESIDUAL_NO_MAPEADO,0.4254734599858972,0.2492008376275235,16,42.54734599858972,24.920083762752352
principal_5pct,2016-12,2016-12-30,Habitat,SPY,0.2015258894494229,0.1180342023121549,5,20.15258894494229,11.80342023121549
principal_5pct,2016-12,2016-12-30,Habitat,VGK,0.1839413160949713,0.1077348750417835,4,18.39413160949713,10.77348750417835
principal_5pct,2016-12,2016-12-30,Integra,ACWI,0.03328512792090282,0.018561136889365306,3,3.3285127920902817,1.8561136889365306
principal_5pct,2016-12,2016-12-30,Integra,EEM,6.293824392837934e-05,3.509691667422712e-05,1,0.006293824392837934,0.0035096916674227123
principal_5pct,2016-12,2016-12-30,Integra,EWJ,0.1208304889721762,0.0673799797780881,5,12.08304889721762,6.73799797780881
principal_5pct,2016-12,2016-12-30,Integra,LQD,2.624141747978621e-07,1.463327835695112e-07,1,2.624141747978621e-05,1.463327835695112e-05
principal_5pct,2016-12,2016-12-30,Integra,MCHI,0.021435969163222393,0.011953565536544638,2,2.1435969163222395,1.1953565536544637
principal_5pct,2016-12,2016-12-30,Integra,PRIVATE_ALTERNATIVES,0.0804719893331672,0.0448744440256291,15,8.04719893331672,4.48744440256291
principal_5pct,2016-12,2016-12-30,Integra,RESIDUAL_NO_MAPEADO,0.2523768065546044,0.14073554006740324,31,25.237680655460444,14.073554006740324
principal_5pct,2016-12,2016-12-30,Integra,SPY,0.15899795491374624,0.08866370630439599,12,15.899795491374624,8.866370630439599
principal_5pct,2016-12,2016-12-30,Integra,VGK,0.1405649449284454,0.078384712561808,6,14.05649449284454,7.838471256180799
principal_5pct,2016-12,2016-12-30,Integra,XLB,0.0002750024228357,0.0001533525010716,1,0.02750024228357,0.01533525010716
principal_5pct,2016-12,2016-12-30,Integra,XLE,0.0285336062447457,0.0159114957501297,3,2.8533606244745697,1.5911495750129698
principal_5pct,2016-12,2016-12-30,Integra,XLF,0.11258126392591715,0.06277987742370778,5,11.258126392591715,6.277987742370778
principal_5pct,2016-12,2016-12-30,Integra,XLK,0.0177262850981759,0.0098848952910449,1,1.77262850981759,0.98848952910449
principal_5pct,2016-12,2016-12-30,Integra,XLV,0.0092363640919328,0.0051505711102502,2,0.92363640919328,0.51505711102502
principal_5pct,2016-12,2016-12-30,Integra,XLY,0.0236209957720214,0.0131720249665099,1,2.36209957720214,1.31720249665099
principal_5pct,2016-12,2016-12-30,Prima,COPX,0.0008948622876,0.0004914936981731,1,0.08948622876,0.04914936981731
principal_5pct,2016-12,2016-12-30,Prima,EEM,3.993780434026072e-05,2.193541891764682e-05,1,0.003993780434026072,0.002193541891764682
principal_5pct,2016-12,2016-12-30,Prima,EWJ,0.1571874431527572,0.08633354965569981,2,15.718744315275721,8.63335496556998
principal_5pct,2016-12,2016-12-30,Prima,HYG,2.847405925640914e-07,1.563907752048335e-07,1,2.8474059256409142e-05,1.563907752048335e-05
principal_5pct,2016-12,2016-12-30,Prima,LQD,0.0024632127106543,0.0013528936701461,1,0.24632127106543,0.13528936701461
principal_5pct,2016-12,2016-12-30,Prima,PRIVATE_ALTERNATIVES,0.09944967375770529,0.0546216871742109,8,9.94496737577053,5.46216871742109
principal_5pct,2016-12,2016-12-30,Prima,RESIDUAL_NO_MAPEADO,0.3897467400659808,0.21406429713303216,27,38.97467400659808,21.406429713303215
principal_5pct,2016-12,2016-12-30,Prima,SPY,0.2862950043635199,0.157244519534404,6,28.62950043635199,15.724451953440399
principal_5pct,2016-12,2016-12-30,Prima,VGK,0.06392284111684732,0.035108948062292825,3,6.392284111684732,3.5108948062292824
principal_5pct,2016-12,2016-12-30,Profuturo,EEM,0.0782058215572253,0.0475019136665231,3,7.82058215572253,4.75019136665231
principal_5pct,2016-12,2016-12-30,Profuturo,EWJ,0.2284466934443249,0.1387576384125644,3,22.84466934443249,13.87576384125644
principal_5pct,2016-12,2016-12-30,Profuturo,MCHI,0.0150380013742604,0.0091340238971146,1,1.50380013742604,0.9134023897114599
principal_5pct,2016-12,2016-12-30,Profuturo,PRIVATE_ALTERNATIVES,0.055835358529631104,0.0339141809088105,14,5.58353585296311,3.39141809088105
principal_5pct,2016-12,2016-12-30,Profuturo,QQQ,0.0295926271100063,0.0179744473001481,1,2.9592627110006298,1.7974447300148098
principal_5pct,2016-12,2016-12-30,Profuturo,RESIDUAL_NO_MAPEADO,0.12545510058237397,0.07620094307849298,12,12.545510058237397,7.620094307849298
principal_5pct,2016-12,2016-12-30,Profuturo,SPY,0.14724499772300642,0.08943604236095952,9,14.724499772300643,8.943604236095952
