periodo,afp,fecha_ca,monto_ca_miles_soles,participacion_reportada_suma_pct,registros,registros_pendientes,registros_identificados,fuente,pendientes_pct_registros,fecha_fp,total_fp_miles_soles,suma_fp_pct,diferencia_miles_soles,error_relativo_pct,participacion_calculada_sobre_fp_pct,diferencia_porcentaje_interno_pp,estado_monto,estado_porcentaje_interno,elegible_emisores
2019-04,Integra,2019-04-30,8105618.202350637,100.14714786135892,111,20,91,hoja3,18.01801801801802,2019-04-30,8093708.4834128,100.00000000000124,11909.718937836587,0.1471478613573036,100.1471478613573,1.6200374375330284e-12,correcto,correcto,True
2019-04,Prima,2019-04-30,7039004.793682421,100.00000000000001,80,20,60,hoja3,25.0,2019-04-30,7039004.7936822,99.99999999999716,2.207234501838684e-07,3.1357195605545956e-12,100.00000000000313,3.112177182629239e-12,correcto,correcto,True
2019-04,Profuturo,2019-04-30,6085196.974762225,100.22404221921506,100,23,77,hoja3,23.0,2019-04-30,6071594.0407314,99.99999999999672,13602.93403082434,0.22404221921901907,100.22404221921902,3.950617610826157e-12,correcto,correcto,True
2019-05,Habitat,2019-05-31,1172664.2506218103,100.78437206867048,100,20,80,hoja3,20.0,2019-05-31,1163537.785226,99.99999999999142,9126.465395810315,0.784372068676535,100.78437206867655,6.0680349633912556e-12,tolerable,correcto,True
2019-05,Integra,2019-05-31,7832040.503348512,100.15437848882863,116,24,92,hoja3,20.689655172413794,2019-05-31,7819968.1546845,100.00000000000128,12072.348664011806,0.15437848882773195,100.15437848882773,8.952838470577262e-13,correcto,correcto,True
2019-05,Prima,2019-05-31,6734416.685571818,99.99999999999996,80,21,59,hoja3,26.25,2019-05-31,6734416.685572,100.00000000000297,-1.825392246246338e-07,2.710542473793029e-12,99.99999999999729,2.6716406864579767e-12,correcto,correcto,True
2019-05,Profuturo,2019-05-31,5897438.640790141,100.23323258957323,101,24,77,hoja3,23.762376237623762,2019-05-31,5883715.8978384,99.9999999999983,13722.742951741442,0.23323258957460877,100.23323258957461,1.3784529073745944e-12,correcto,correcto,True
2019-06,Habitat,2019-06-28,1250155.4911791692,100.66160329303779,102,18,84,hoja3,17.647058823529413,2019-06-28,1241938.7832913,99.99999999999197,8216.707887869095,0.6616032930458734,100.66160329304587,8.08597633294994e-12,tolerable,correcto,True
2019-06,Integra,2019-06-28,7905680.849393877,100.15427845359976,112,19,93,hoja3,16.964285714285715,2019-06-28,7893502.875223,99.99999999999874,12177.974170877598,0.15427845360141912,100.1542784536014,1.6484591469634324e-12,correcto,correcto,True
2019-06,Prima,2019-06-28,6792537.106817465,100.00000000000007,80,19,61,hoja3,23.75,2019-06-28,6792537.1068175,100.00000000000001,-3.4458935260772705e-08,5.073058081079473e-13,99.99999999999949,5.826450433232822e-13,correcto,correcto,True
