escenario,periodo,afp,grupo_cobertura,peso_exterior,peso_total_fondo
ampliado_15pct,2015-10,Habitat,residual_no_mapeado,0.19857870700420371,0.1291038960205836
ampliado_15pct,2015-10,Integra,mapeo_alta_confianza,0.5518410535544466,0.35026625104977027
ampliado_15pct,2015-10,Integra,mapeo_baja_confianza,0.018148774931448487,0.011519446252574495
ampliado_15pct,2015-10,Integra,mapeo_confianza_media,0.2198323575536642,0.13953267022051566
ampliado_15pct,2015-10,Integra,privados_alternativos,0.0528088554051272,0.0335189991499213
ampliado_15pct,2015-10,Integra,residual_no_mapeado,0.15736895855531038,0.09988570946241981
ampliado_15pct,2015-10,Prima,mapeo_alta_confianza,0.36438152457322653,0.23661993845665116
ampliado_15pct,2015-10,Prima,mapeo_confianza_media,0.2118601312640364,0.1375764901357943
ampliado_15pct,2015-10,Prima,privados_alternativos,0.0697623778393155,0.0453018839807042
ampliado_15pct,2015-10,Prima,residual_no_mapeado,0.3539959663234186,0.22987582551957014
ampliado_15pct,2015-10,Profuturo,mapeo_alta_confianza,0.5283518941032074,0.34527514541166093
ampliado_15pct,2015-10,Profuturo,mapeo_baja_confianza,0.0121430683816464,0.0079354304356817
ampliado_15pct,2015-10,Profuturo,mapeo_confianza_media,0.3231967956907471,0.21120738256860921
ampliado_15pct,2015-10,Profuturo,privados_alternativos,0.034691750832327096,0.0226708741785582
ampliado_15pct,2015-10,Profuturo,residual_no_mapeado,0.10161649099207026,0.06640583500332117
ampliado_15pct,2015-11,Habitat,mapeo_alta_confianza,0.5035058981541997,0.32448818702456517
ampliado_15pct,2015-11,Habitat,mapeo_baja_confianza,0.0098083379960965,0.0063210576593937
ampliado_15pct,2015-11,Habitat,mapeo_confianza_media,0.3023508440295106,0.1948522898820875
ampliado_15pct,2015-11,Habitat,residual_no_mapeado,0.1843349198201913,0.11879603428092153
ampliado_15pct,2015-11,Integra,mapeo_alta_confianza,0.4523849596180437,0.2954145881134779
ampliado_15pct,2015-11,Integra,mapeo_baja_confianza,0.017802611857408737,0.011625389256178897
ampliado_15pct,2015-11,Integra,mapeo_confianza_media,0.300622009617361,0.19631096317601027
ampliado_15pct,2015-11,Integra,privados_alternativos,0.0508860192204944,0.0332293815016508
ampliado_15pct,2015-11,Integra,residual_no_mapeado,0.17830439968668935,0.11643561456317525
ampliado_15pct,2015-11,Prima,mapeo_alta_confianza,0.32550624503210773,0.20769858250339476
ampliado_15pct,2015-11,Prima,mapeo_confianza_media,0.21564190508169193,0.137596493761221
ampliado_15pct,2015-11,Prima,privados_alternativos,0.0674786057745224,0.0430566570767058
ampliado_15pct,2015-11,Prima,residual_no_mapeado,0.3913732441116748,0.24972690777017695
ampliado_15pct,2015-11,Profuturo,mapeo_alta_confianza,0.5280361801715872,0.3435216578118216
ampliado_15pct,2015-11,Profuturo,mapeo_baja_confianza,0.0121682418155353,0.0079162276338138
ampliado_15pct,2015-11,Profuturo,mapeo_confianza_media,0.3245658196265716,0.21115103967107268
ampliado_15pct,2015-11,Profuturo,privados_alternativos,0.0342606295525724,0.0222887535050189
ampliado_15pct,2015-11,Profuturo,residual_no_mapeado,0.10096912883373133,0.06568694310588288
ampliado_15pct,2015-12,Habitat,mapeo_alta_confianza,0.519114291960634,0.34404300002374655
ampliado_15pct,2015-12,Habitat,mapeo_baja_confianza,0.0090353423355945,0.0059881731855982
