id_cluster,fuente,periodo,archivo,fingerprint_vector,numero_filas,filas_excel,fila_conservada,monto_vector_total,prioridades
hoja3_000160,hoja3,2015-07,CA-0001-jl2015.XLS,0.0|10791.852934|14389.126589|0.0,2,440 | 441,440,25180.979523405702,10.06 | 10.04
hoja3_000161,hoja3,2015-07,CA-0001-jl2015.XLS,0.0|19505.124196|19029.303789|10466.064607,2,442 | 443,442,49000.4925920755,10.09 | 10.04
hoja3_000162,hoja3,2015-07,CA-0001-jl2015.XLS,0.0|2290.761332|0.0|2290.758138,2,452 | 453,452,4581.519469418,10.13 | 10.04
hoja3_000163,hoja3,2015-07,CA-0001-jl2015.XLS,0.0|0.0|7004.799772|3852.575792,2,454 | 455,454,10857.3755640405,10.15 | 10.04
hoja3_000164,hoja3,2015-07,CA-0001-jl2015.XLS,0.0|0.0|21347.779868|0.0,2,458 | 459,458,21347.7798679306,10.12 | 10.04
hoja3_000165,hoja3,2015-07,CA-0001-jl2015.XLS,0.0|0.0|0.0|6551.212867,2,468 | 469,468,6551.212866979699,10.08 | 10.04
hoja3_000166,hoja3,2015-07,CA-0001-jl2015.XLS,0.0|0.0|0.0|2916.339517,2,470 | 471,470,2916.3395165769,10.15 | 10.04
hoja3_000167,hoja3,2015-07,CA-0001-jl2015.XLS,0.0|0.0|0.0|6522.127492,2,481 | 482,481,6522.1274924539,10.15 | 10.04
hoja3_000168,hoja3,2015-07,CA-0001-jl2015.XLS,0.0|0.0|22345.85171|9093.38315,2,493 | 494,493,31439.2348602844,10.14 | 10.04
hoja3_000169,hoja3,2015-07,CA-0001-jl2015.XLS,0.0|1504.215759|0.0|1504.215759,2,495 | 496,495,3008.4315179304,10.08 | 10.04
hoja3_000170,hoja3,2015-07,CA-0001-jl2015.XLS,0.0|20171.560025|0.0|5634.512978,2,497 | 498,497,25806.073002658803,10.08 | 10.04
hoja3_000171,hoja3,2015-07,CA-0001-jl2015.XLS,0.0|0.0|0.0|18082.680887,2,499 | 500,499,18082.6808866629,10.09 | 10.04
hoja3_000172,hoja3,2015-07,CA-0001-jl2015.XLS,0.0|0.0|57969.95968|0.0,2,513 | 514,513,57969.9596802762,10.11 | 10.04
