afp,modelo,esquema_rezago,variable,coef_estandarizado,coef_original,coef_abs_estandarizado
Prima,M2_hibrido,lag0,credito_ig_x_rf_ext_lag0,-8.481470821142045e-05,-3.6676606102477747,8.481470821142045e-05
Prima,M2_hibrido,lag0,cobre_x_rv_total_lag0,8.183686685284144e-05,0.005027882416259348,8.183686685284144e-05
Prima,M2_hibrido,lag0,tesoro_x_rf_ext_lag0,-5.895310628940555e-05,-1.0921743789659895,5.895310628940555e-05
Prima,M2_hibrido,lag0,tecnologia_lag0,4.402015763470063e-05,0.003102868453667296,4.402015763470063e-05
Prima,M2_hibrido,lag0,fx_x_exterior_lag0,4.052861079813861e-05,0.006692558143390295,4.052861079813861e-05
Prima,M2_hibrido,lag0,fx_usdpen_lag0,-2.7538529891117095e-05,-0.002159628398268182,2.7538529891117095e-05
Prima,M2_hibrido,lag0,credito_hy_lag0,2.1481854260430023e-05,0.004109460549247066,2.1481854260430023e-05
Profuturo,M0_sin_pesos,lag0_1,peru_lag0,0.0009115034854697227,0.06545791234917933,0.0009115034854697227
Profuturo,M0_sin_pesos,lag0_1,emergentes_lag0,0.0007460968402719881,0.059674316960717504,0.0007460968402719881
Profuturo,M0_sin_pesos,lag0_1,global_lag0,0.0007132701075249266,0.06888289869480645,0.0007132701075249266
Profuturo,M0_sin_pesos,lag0_1,vix_lag0,-0.0005552548110114063,-0.006798641326885617,0.0005552548110114063
Profuturo,M0_sin_pesos,lag0_1,tecnologia_lag0,0.000436675211256132,0.030780120070198577,0.000436675211256132
Profuturo,M0_sin_pesos,lag0_1,vix_lag1,-0.0003076344037174457,-0.003766723839087814,0.0003076344037174457
Profuturo,M0_sin_pesos,lag0_1,peru_lag1,0.0003023164518705848,0.021711423957775366,0.0003023164518705848
Profuturo,M0_sin_pesos,lag0_1,tesoro_usa_lag0,-0.00028596933927805727,-0.03097720109387325,0.00028596933927805727
Profuturo,M0_sin_pesos,lag0_1,cobre_lag0,0.0002450864120930462,0.011310846190189794,0.0002450864120930462
Profuturo,M0_sin_pesos,lag0_1,global_lag1,0.00021612210109499957,0.020872021295461018,0.00021612210109499957
Profuturo,M0_sin_pesos,lag0_1,tecnologia_lag1,0.00018885209433595963,0.013312792947162828,0.00018885209433595963
Profuturo,M0_sin_pesos,lag0_1,credito_hy_lag1,0.0001197260711096744,0.022903514591720853,0.0001197260711096744
