escenario,afp,periodo_anterior,periodo_actual,salto_meses,turnover_mensual,solapamiento_pesos,identificadores_nuevos,identificadores_salientes,comparacion_consecutiva
ampliado_15pct,Integra,2018-10,2018-11,1,0.09012256665354706,0.9098774333464485,1,2,True
ampliado_15pct,Integra,2018-11,2018-12,1,0.11260932126714399,0.8873906787328518,0,0,True
ampliado_15pct,Integra,2018-12,2019-01,1,0.17492495447288675,0.8250750455271092,0,2,True
ampliado_15pct,Integra,2019-01,2019-02,1,0.12006110937408479,0.8799388906259112,2,1,True
ampliado_15pct,Integra,2019-02,2019-03,1,0.20012101209157068,0.7998789879084253,6,1,True
ampliado_15pct,Integra,2019-03,2019-04,1,0.12395464370270091,0.8760453562972949,4,1,True
ampliado_15pct,Integra,2019-04,2019-05,1,0.18353432943316417,0.8164656705668315,1,1,True
ampliado_15pct,Integra,2019-05,2019-06,1,0.05649458524952144,0.9435054147504744,2,1,True
ampliado_15pct,Integra,2019-06,2019-07,1,0.16619775415919352,0.8338022458408026,0,6,True
ampliado_15pct,Integra,2019-07,2019-08,1,0.08652192640634138,0.9134780735936547,1,5,True
ampliado_15pct,Integra,2019-08,2019-09,1,0.06559623159505583,0.9344037684049402,0,1,True
ampliado_15pct,Integra,2019-09,2019-10,1,0.0775633207888059,0.9224366792111901,4,2,True
ampliado_15pct,Integra,2019-10,2019-11,1,0.16841868934140874,0.8315813106585873,5,1,True
ampliado_15pct,Integra,2019-11,2019-12,1,0.11927598003634461,0.8807240199636515,1,9,True
ampliado_15pct,Integra,2019-12,2020-01,1,0.17191098442076047,0.8280890155792358,2,7,True
ampliado_15pct,Integra,2020-01,2020-02,1,0.10492031596021788,0.8950796840397787,2,9,True
ampliado_15pct,Integra,2020-02,2020-03,1,0.22012973324847054,0.7798702667515263,2,4,True
ampliado_15pct,Integra,2020-03,2020-04,1,0.1677735216014907,0.8322264783985062,2,6,True
ampliado_15pct,Integra,2020-04,2020-05,1,0.172251475858664,0.8277485241413326,6,6,True
ampliado_15pct,Integra,2020-05,2020-06,1,0.09757564836077719,0.9024243516392197,1,5,True
ampliado_15pct,Integra,2020-06,2020-07,1,0.11011790570572977,0.8898820942942676,3,2,True
ampliado_15pct,Integra,2020-07,2020-08,1,0.15757533061745577,0.842424669382541,5,1,True
ampliado_15pct,Integra,2020-08,2020-09,1,0.1269848519544192,0.8730151480455778,3,4,True
ampliado_15pct,Integra,2020-09,2020-10,1,0.11532014397378884,0.8846798560262085,3,6,True
ampliado_15pct,Integra,2020-10,2020-11,1,0.16037571302391168,0.8396242869760856,6,6,True
ampliado_15pct,Integra,2020-11,2020-12,1,0.13948798261631837,0.8605120173836787,6,2,True
ampliado_15pct,Integra,2020-12,2021-01,1,0.19593363294228447,0.8040663670577124,4,10,True
ampliado_15pct,Integra,2021-01,2021-02,1,0.1521905498567544,0.8478094501432428,4,5,True
ampliado_15pct,Integra,2021-02,2021-03,1,0.1461991909237753,0.8538008090762219,7,4,True
ampliado_15pct,Integra,2021-03,2021-04,1,0.08885450703038185,0.9111454929696151,3,1,True
ampliado_15pct,Integra,2021-04,2021-05,1,0.085471019328765,0.9145289806712317,1,2,True
ampliado_15pct,Integra,2021-05,2021-07,2,0.14333284967961057,0.8566671503203867,1,13,False
ampliado_15pct,Integra,2021-07,2021-08,1,0.11865224045930016,0.8813477595406971,4,4,True
ampliado_15pct,Integra,2021-08,2023-07,23,0.5949522467661738,0.40504775323382386,18,23,False
ampliado_15pct,Integra,2023-07,2023-08,1,0.2800989688099746,0.7199010311900226,17,5,True
ampliado_15pct,Integra,2023-08,2023-09,1,0.22116079615876297,0.7788392038412342,8,8,True
ampliado_15pct,Integra,2023-09,2023-10,1,0.2455928212699097,0.7544071787300877,5,11,True
ampliado_15pct,Integra,2023-10,2023-11,1,0.2350293501254746,0.7649706498745229,9,10,True
ampliado_15pct,Integra,2023-11,2023-12,1,0.20529384174455578,0.7947061582554414,8,5,True
ampliado_15pct,Integra,2023-12,2024-01,1,0.25713372249333133,0.7428662775066659,10,9,True
ampliado_15pct,Integra,2024-01,2024-02,1,0.21725328245241687,0.7827467175475805,6,10,True
ampliado_15pct,Integra,2024-02,2024-03,1,0.18280018071086127,0.8171998192891363,7,9,True
ampliado_15pct,Integra,2024-03,2024-04,1,0.25311724690698056,0.7468827530930169,9,7,True
ampliado_15pct,Integra,2024-04,2024-05,1,0.2469951968141935,0.7530048031858042,7,7,True
ampliado_15pct,Integra,2024-05,2024-06,1,0.21145358126428043,0.7885464187357172,5,5,True
ampliado_15pct,Integra,2024-06,2024-07,1,0.32027005820949395,0.6797299417905036,0,8,True
ampliado_15pct,Integra,2024-07,2024-08,1,0.24414719017202424,0.7558528098279739,7,4,True
ampliado_15pct,Integra,2024-08,2024-09,1,0.20903533413890243,0.7909646658610959,6,3,True
ampliado_15pct,Integra,2024-09,2024-10,1,0.22012895196814133,0.7798710480318569,8,5,True
ampliado_15pct,Integra,2024-10,2024-11,1,0.22641844027348804,0.7735815597265101,4,5,True
ampliado_15pct,Integra,2024-11,2024-12,1,0.20705352612833725,0.7929464738716606,5,5,True
ampliado_15pct,Integra,2024-12,2025-01,1,0.2590019776905486,0.7409980223094493,7,3,True
ampliado_15pct,Integra,2025-01,2025-02,1,0.1250957533090449,0.874904246690953,2,4,True
ampliado_15pct,Integra,2025-02,2025-03,1,0.2391440728394317,0.7608559271605664,5,6,True
ampliado_15pct,Integra,2025-03,2025-04,1,0.23077049278402406,0.769229507215974,6,4,True
ampliado_15pct,Integra,2025-04,2025-05,1,0.35926160897528014,0.6407383910247179,10,5,True
ampliado_15pct,Integra,2025-05,2025-06,1,0.25174306011029834,0.7482569398896997,7,8,True
ampliado_15pct,Integra,2025-06,2025-07,1,0.22057296491118464,0.7794270350888132,4,3,True
ampliado_15pct,Integra,2025-07,2025-08,1,0.27270942331080444,0.7272905766891935,4,6,True
ampliado_15pct,Integra,2025-08,2025-09,1,0.2510155880851099,0.7489844119148883,2,3,True
ampliado_15pct,Integra,2025-09,2025-10,1,0.22200139704809332,0.7779986029519046,9,3,True
ampliado_15pct,Integra,2025-10,2025-11,1,0.2549772344098907,0.7450227655901072,3,8,True
ampliado_15pct,Integra,2025-11,2025-12,1,0.10624211440776352,0.8937578855922346,3,4,True
ampliado_15pct,Integra,2025-12,2026-01,1,0.36661950696892787,0.63338049303107,9,7,True
ampliado_15pct,Prima,2015-01,2015-02,1,0.10288726346878872,0.8971127365312088,5,7,True
ampliado_15pct,Prima,2015-02,2015-03,1,0.16889944690614078,0.8311005530938568,3,6,True
ampliado_15pct,Prima,2015-03,2015-04,1,0.11002079393704352,0.8899792060629542,4,3,True
ampliado_15pct,Prima,2015-04,2015-05,1,0.1462073928816762,0.8537926071183214,6,0,True
ampliado_15pct,Prima,2015-05,2015-06,1,0.15134260931841553,0.8486573906815817,5,1,True
ampliado_15pct,Prima,2015-06,2015-07,1,0.23189328498117517,0.7681067150188221,7,9,True
ampliado_15pct,Prima,2015-07,2015-08,1,0.19855205483331165,0.8014479451666856,6,3,True
ampliado_15pct,Prima,2015-08,2015-09,1,0.1557650947604309,0.8442349052395666,6,2,True
ampliado_15pct,Prima,2015-09,2015-10,1,0.12309373961635646,0.8769062603836407,2,3,True
ampliado_15pct,Prima,2015-10,2015-11,1,0.15153049486386913,0.8484695051361277,7,4,True
ampliado_15pct,Prima,2015-11,2015-12,1,0.0913838037859058,0.9086161962140913,1,8,True
ampliado_15pct,Prima,2015-12,2016-01,1,0.18142261836123552,0.8185773816387618,2,6,True
ampliado_15pct,Prima,2016-01,2016-02,1,0.2376735561845594,0.762326443815438,8,11,True
ampliado_15pct,Prima,2016-02,2016-03,1,0.08025535979600655,0.9197446402039908,4,2,True
ampliado_15pct,Prima,2016-03,2016-04,1,0.10559067419925224,0.8944093258007451,4,3,True
ampliado_15pct,Prima,2016-04,2016-05,1,0.11026944611529649,0.8897305538847009,5,6,True
ampliado_15pct,Prima,2016-05,2016-06,1,0.09159567416656025,0.908404325833437,3,2,True
ampliado_15pct,Prima,2016-06,2016-07,1,0.21215337615976018,0.7878466238402373,7,7,True
ampliado_15pct,Prima,2016-07,2016-08,1,0.07210389235453503,0.9278961076454624,0,0,True
ampliado_15pct,Prima,2016-08,2016-09,1,0.15903069462269853,0.8409693053772989,3,11,True
ampliado_15pct,Prima,2016-09,2016-10,1,0.11025059633471389,0.8897494036652834,3,1,True
ampliado_15pct,Prima,2016-10,2016-11,1,0.3287831867579598,0.671216813242038,5,3,True
ampliado_15pct,Prima,2016-11,2016-12,1,0.09844758518786127,0.9015524148121367,0,3,True
ampliado_15pct,Prima,2016-12,2017-01,1,0.12784977419418528,0.8721502258058125,3,3,True
ampliado_15pct,Prima,2017-01,2017-02,1,0.07343490355686395,0.9265650964431341,1,1,True
ampliado_15pct,Prima,2017-02,2017-03,1,0.09547279384465515,0.9045272061553428,1,3,True
ampliado_15pct,Prima,2017-03,2017-04,1,0.07801303387982107,0.9219869661201767,3,1,True
ampliado_15pct,Prima,2017-04,2017-05,1,0.15438618060132092,0.845613819398677,5,13,True
ampliado_15pct,Prima,2017-05,2017-06,1,0.1452362526599345,0.8547637473400636,2,3,True
ampliado_15pct,Prima,2017-06,2017-07,1,0.06395426251220637,0.9360457374877917,2,3,True
ampliado_15pct,Prima,2017-07,2017-08,1,0.11323467155083687,0.8867653284491612,3,1,True
ampliado_15pct,Prima,2017-08,2017-09,1,0.0829909759281868,0.9170090240718114,3,1,True
ampliado_15pct,Prima,2017-09,2017-10,1,0.10113907684227763,0.8988609231577205,2,3,True
ampliado_15pct,Prima,2017-10,2017-11,1,0.05487039711079955,0.9451296028891985,2,1,True
ampliado_15pct,Prima,2017-11,2017-12,1,0.048335234132369086,0.9516647658676289,1,1,True
ampliado_15pct,Prima,2017-12,2018-01,1,0.08215639728068996,0.9178436027193081,2,0,True
ampliado_15pct,Prima,2018-01,2018-02,1,0.09318331748985018,0.9068166825101476,1,2,True
ampliado_15pct,Prima,2018-02,2018-03,1,0.11308718462933108,0.8869128153706668,2,2,True
ampliado_15pct,Prima,2018-03,2018-04,1,0.09159149163157071,0.9084085083684271,4,3,True
ampliado_15pct,Prima,2018-04,2018-05,1,0.12256439847115279,0.8774356015288451,3,5,True
ampliado_15pct,Prima,2018-05,2018-06,1,0.1303534448789474,0.8696465551210505,3,4,True
ampliado_15pct,Prima,2018-06,2018-07,1,0.10114625979173615,0.8988537402082616,3,2,True
ampliado_15pct,Prima,2018-07,2018-08,1,0.13317649108678242,0.8668235089132152,4,1,True
ampliado_15pct,Prima,2018-08,2018-09,1,0.07614848903487728,0.9238515109651204,2,6,True
ampliado_15pct,Prima,2018-09,2018-10,1,0.05491797466701003,0.9450820253329881,2,2,True
ampliado_15pct,Prima,2018-10,2018-11,1,0.05873438489378273,0.9412656151062152,3,0,True
ampliado_15pct,Prima,2018-11,2018-12,1,0.11050287577631293,0.8894971242236845,5,2,True
ampliado_15pct,Prima,2018-12,2019-01,1,0.07010793181619535,0.9298920681838022,1,3,True
ampliado_15pct,Prima,2019-01,2019-02,1,0.1100826706017397,0.8899173293982582,3,1,True
ampliado_15pct,Prima,2019-02,2019-03,1,0.0885600085483733,0.9114399914516246,1,3,True
ampliado_15pct,Prima,2019-03,2019-04,1,0.09865112840016035,0.9013488715998377,0,2,True
ampliado_15pct,Prima,2019-04,2019-05,1,0.13102068460630456,0.8689793153936933,4,3,True
ampliado_15pct,Prima,2019-05,2019-06,1,0.10160255078389507,0.898397449216103,2,3,True
ampliado_15pct,Prima,2019-06,2019-07,1,0.10183190817302408,0.8981680918269741,0,4,True
ampliado_15pct,Prima,2019-07,2019-08,1,0.14389778510534093,0.8561022148946572,1,5,True
ampliado_15pct,Prima,2019-08,2019-09,1,0.10323987522927323,0.8967601247707251,2,2,True
ampliado_15pct,Prima,2019-09,2019-10,1,0.08751815057098485,0.9124818494290132,3,1,True
ampliado_15pct,Prima,2019-10,2019-11,1,0.08251721917195712,0.9174827808280412,1,0,True
ampliado_15pct,Prima,2019-11,2019-12,1,0.09412566293751234,0.905874337062486,1,3,True
ampliado_15pct,Prima,2019-12,2020-01,1,0.1893878683549759,0.8106121316450222,4,7,True
ampliado_15pct,Prima,2020-01,2020-02,1,0.17554111931765123,0.824458880682347,4,3,True
ampliado_15pct,Prima,2020-02,2020-03,1,0.2405035994042968,0.7594964005957018,1,8,True
ampliado_15pct,Prima,2020-03,2020-04,1,0.05786380282742366,0.9421361971725755,1,1,True
ampliado_15pct,Prima,2020-04,2020-05,1,0.1617708002014252,0.8382291997985737,6,2,True
ampliado_15pct,Prima,2020-05,2020-06,1,0.10620624715069386,0.8937937528493046,1,2,True
ampliado_15pct,Prima,2020-06,2020-07,1,0.19482634297442714,0.8051736570255712,2,6,True
ampliado_15pct,Prima,2020-07,2020-08,1,0.16157125637759293,0.8384287436224054,4,0,True
ampliado_15pct,Prima,2020-08,2020-09,1,0.15948457811836758,0.8405154218816309,2,1,True
ampliado_15pct,Prima,2020-09,2020-10,1,0.15684422280745547,0.8431557771925429,5,3,True
ampliado_15pct,Prima,2020-10,2020-11,1,0.11501972849731681,0.8849802715026815,4,3,True
ampliado_15pct,Prima,2020-11,2020-12,1,0.05036894010123656,0.9496310598987617,3,0,True
ampliado_15pct,Prima,2020-12,2021-01,1,0.14344371845679924,0.856556281543199,4,7,True
ampliado_15pct,Prima,2021-01,2021-02,1,0.08807854838047645,0.9119214516195219,3,1,True
ampliado_15pct,Prima,2021-02,2021-03,1,0.10630326792929018,0.8936967320707081,4,4,True
ampliado_15pct,Prima,2021-03,2021-04,1,0.09608936496856559,0.9039106350314327,1,0,True
ampliado_15pct,Prima,2021-04,2021-05,1,0.0964379307245933,0.9035620692754048,7,3,True
ampliado_15pct,Prima,2021-05,2021-06,1,0.09357860351606383,0.9064213964839344,1,0,True
ampliado_15pct,Prima,2021-06,2021-07,1,0.11441068708670965,0.8855893129132885,2,1,True
ampliado_15pct,Prima,2021-07,2021-08,1,0.20724164412543902,0.7927583558745589,2,3,True
ampliado_15pct,Prima,2021-08,2021-09,1,0.08426104160414498,0.9157389583958531,2,2,True
ampliado_15pct,Prima,2021-09,2021-10,1,0.15842904870296848,0.8415709512970294,3,3,True
ampliado_15pct,Prima,2021-10,2021-11,1,0.1592767519884193,0.8407232480115787,1,7,True
ampliado_15pct,Prima,2021-11,2021-12,1,0.014967781367552701,0.9850322186324456,0,0,True
ampliado_15pct,Prima,2021-12,2022-01,1,0.2180335693472468,0.7819664306527513,7,0,True
ampliado_15pct,Prima,2022-01,2022-02,1,0.11746452458905514,0.8825354754109428,1,2,True
ampliado_15pct,Prima,2022-02,2022-03,1,0.2340500680931561,0.765949931906842,3,8,True
ampliado_15pct,Prima,2022-03,2022-04,1,0.11774814716181366,0.8822518528381846,1,3,True
ampliado_15pct,Prima,2022-04,2022-06,2,0.17563769438855678,0.8243623056114416,5,2,False
ampliado_15pct,Prima,2022-06,2022-07,1,0.12060988442517123,0.8793901155748272,2,4,True
ampliado_15pct,Prima,2022-07,2022-08,1,0.16443009790847318,0.8355699020915253,3,2,True
ampliado_15pct,Prima,2022-08,2022-11,3,0.20064567153734056,0.7993543284626579,4,4,False
ampliado_15pct,Prima,2022-11,2022-12,1,0.09907424619688067,0.9009257538031177,3,1,True
ampliado_15pct,Prima,2022-12,2023-01,1,0.19916083014209568,0.8008391698579025,4,6,True
ampliado_15pct,Prima,2023-01,2023-04,3,0.26275668669737884,0.7372433133026195,4,12,False
ampliado_15pct,Prima,2023-04,2023-05,1,0.14251187845029914,0.8574881215496994,7,2,True
ampliado_15pct,Prima,2023-05,2023-06,1,0.12899270647076774,0.8710072935292309,4,0,True
ampliado_15pct,Prima,2023-06,2023-07,1,0.25046784066471967,0.7495321593352791,2,8,True
ampliado_15pct,Prima,2023-07,2023-08,1,0.1910675016514765,0.8089324983485221,3,2,True
ampliado_15pct,Prima,2023-08,2023-09,1,0.20842672085254693,0.7915732791474519,3,1,True
ampliado_15pct,Prima,2023-09,2023-10,1,0.19578816880745004,0.8042118311925487,1,1,True
ampliado_15pct,Prima,2023-10,2023-11,1,0.21039843204398728,0.7896015679560112,3,8,True
ampliado_15pct,Prima,2023-11,2023-12,1,0.13029303935760375,0.8697069606423948,1,2,True
ampliado_15pct,Prima,2023-12,2024-01,1,0.21979579446429562,0.7802042055357035,2,6,True
ampliado_15pct,Prima,2024-01,2024-02,1,0.25443301692035103,0.7455669830796481,5,6,True
ampliado_15pct,Prima,2024-02,2024-03,1,0.1586173056793989,0.8413826943206,5,1,True
ampliado_15pct,Prima,2024-03,2024-04,1,0.1294418588555549,0.8705581411444441,0,2,True
ampliado_15pct,Prima,2024-04,2024-05,1,0.20008691419644725,0.7999130858035517,2,0,True
ampliado_15pct,Prima,2024-05,2024-06,1,0.1257732959613394,0.8742267040386592,1,0,True
ampliado_15pct,Prima,2024-06,2024-07,1,0.3089259903073703,0.6910740096926284,6,2,True
ampliado_15pct,Prima,2024-07,2024-08,1,0.49056370065059685,0.5094362993494017,8,5,True
ampliado_15pct,Prima,2024-08,2024-09,1,0.25885317839640093,0.7411468216035971,5,3,True
