isin,numero_resultados,shareclass_unicas,composite_unicas,nombres_unicos,tickers_unicos,tipos_unicos,clase_ambiguedad,razon_ambiguedad
US4227041062,137,1,38,1,13,1,ambiguedad_benigna,misma_shareclass_figi
US4385161066,4,0,4,1,4,1,ambiguedad_benigna,mismo_nombre_y_tipo
US46090E1038,170,1,41,3,16,1,ambiguedad_benigna,misma_shareclass_figi
US46137V1347,90,1,18,1,5,1,ambiguedad_benigna,misma_shareclass_figi
US46137V3574,49,1,14,1,4,1,ambiguedad_benigna,misma_shareclass_figi
US46137V7203,89,1,16,2,4,1,ambiguedad_benigna,misma_shareclass_figi
US46138E6288,70,1,17,1,5,1,ambiguedad_benigna,misma_shareclass_figi
US46138E8003,109,1,21,1,7,1,ambiguedad_benigna,misma_shareclass_figi
US46138G6492,61,1,9,1,4,1,ambiguedad_benigna,misma_shareclass_figi
US46138G7060,104,1,22,1,7,1,ambiguedad_benigna,misma_shareclass_figi
US4642851053,33,1,7,1,4,1,ambiguedad_benigna,misma_shareclass_figi
US4642861037,33,1,9,1,4,1,ambiguedad_benigna,misma_shareclass_figi
US4642861458,4,1,2,2,2,1,ambiguedad_benigna,misma_shareclass_figi
US4642863504,40,1,6,2,3,1,ambiguedad_benigna,misma_shareclass_figi
US4642864007,99,1,25,1,6,1,ambiguedad_benigna,misma_shareclass_figi
US4642865095,33,1,9,1,4,1,ambiguedad_benigna,misma_shareclass_figi
US4642865178,53,1,11,1,4,1,ambiguedad_benigna,misma_shareclass_figi
US4642865335,68,1,10,2,4,1,ambiguedad_benigna,misma_shareclass_figi
US4642866085,73,1,16,1,5,1,ambiguedad_benigna,misma_shareclass_figi
US4642866408,91,1,17,1,6,1,ambiguedad_benigna,misma_shareclass_figi
US4642866655,110,1,16,1,6,1,ambiguedad_benigna,misma_shareclass_figi
US4642867075,32,1,9,1,5,1,ambiguedad_benigna,misma_shareclass_figi
US4642867646,71,1,14,1,4,1,ambiguedad_benigna,misma_shareclass_figi
US4642867729,120,1,23,1,8,1,ambiguedad_benigna,misma_shareclass_figi
US4642867802,101,1,20,1,6,1,ambiguedad_benigna,misma_shareclass_figi
US4642868065,97,1,24,1,7,1,ambiguedad_benigna,misma_shareclass_figi
US4642868149,31,1,6,1,3,1,ambiguedad_benigna,misma_shareclass_figi
US4642868222,116,1,24,1,7,1,ambiguedad_benigna,misma_shareclass_figi
US4642871846,93,1,23,1,9,1,ambiguedad_benigna,misma_shareclass_figi
US4642871929,87,1,15,2,4,1,ambiguedad_benigna,misma_shareclass_figi
US4642872000,135,1,28,1,9,1,ambiguedad_benigna,misma_shareclass_figi
US4642872349,146,1,31,1,11,1,ambiguedad_benigna,misma_shareclass_figi
US4642872422,121,1,28,2,9,1,ambiguedad_benigna,misma_shareclass_figi
US4642873255,91,1,17,1,5,1,ambiguedad_benigna,misma_shareclass_figi
US4642873412,98,1,21,1,6,1,ambiguedad_benigna,misma_shareclass_figi
US4642873909,80,1,20,1,7,1,ambiguedad_benigna,misma_shareclass_figi
US4642874329,101,1,26,2,8,1,ambiguedad_benigna,misma_shareclass_figi
US4642874402,99,1,22,1,6,1,ambiguedad_benigna,misma_shareclass_figi
US4642874576,94,1,19,1,5,1,ambiguedad_benigna,misma_shareclass_figi
US4642874659,105,1,25,1,7,1,ambiguedad_benigna,misma_shareclass_figi
US4642875151,112,1,20,2,8,1,ambiguedad_benigna,misma_shareclass_figi
