afp,baseline,fecha_hoy_simulada,segmento,fecha_ultima_cuota_visible,cuotas_ocultas_estimadas,cuota_ultima_visible,cuota_estimada_hoy,cuota_real_hoy,error_pct,error_abs_pct,retorno_estimado_acumulado,retorno_real_acumulado
Habitat,RETORNO_CERO,2015-07-02,entrenamiento,2015-06-26,4,11.5682325,11.5682325,11.4192016,0.013050903663877955,0.013050903663877955,0.0,-0.012882771849545893
Habitat,RETORNO_CERO,2015-07-03,entrenamiento,2015-06-26,5,11.5682325,11.5682325,11.4235273,0.012667295853532101,0.012667295853532101,0.0,-0.012508842642988127
Habitat,RETORNO_CERO,2015-07-06,entrenamiento,2015-07-01,3,11.4391352,11.4391352,11.349921,0.00786033664903929,0.00786033664903929,0.0,-0.007799033619254825
Habitat,RETORNO_CERO,2015-07-07,entrenamiento,2015-07-02,3,11.4192016,11.4192016,11.3679663,0.004506989082119217,0.004506989082119217,0.0,-0.004486767271014713
Habitat,RETORNO_CERO,2015-07-08,entrenamiento,2015-07-03,3,11.4235273,11.4235273,11.1983741,0.020105883049575946,0.020105883049575946,0.0,-0.019709604055482832
Habitat,RETORNO_CERO,2015-07-09,entrenamiento,2015-07-03,4,11.4235273,11.4235273,11.2509995,0.015334442064458331,0.015334442064458331,0.0,-0.015102848312009476
Habitat,RETORNO_CERO,2015-07-10,entrenamiento,2015-07-03,5,11.4235273,11.4235273,11.3586741,0.005709574852579058,0.005709574852579058,0.0,-0.005677160678733584
Habitat,RETORNO_CERO,2015-07-13,entrenamiento,2015-07-08,3,11.1983741,11.1983741,11.4530737,-0.0222385367170036,0.0222385367170036,0.0,0.022744337501637624
Habitat,RETORNO_CERO,2015-07-14,entrenamiento,2015-07-09,3,11.2509995,11.2509995,11.4927433,-0.021034473118354602,0.021034473118354602,0.0,0.021486428827945492
Habitat,RETORNO_CERO,2015-07-15,entrenamiento,2015-07-10,3,11.3586741,11.3586741,11.5053595,-0.01274931044092975,0.01274931044092975,0.0,0.012913954455300525
Habitat,RETORNO_CERO,2015-07-16,entrenamiento,2015-07-10,4,11.3586741,11.3586741,11.5577682,-0.017225998701029477,0.017225998701029477,0.0,0.017527934884583152
Habitat,RETORNO_CERO,2015-07-17,entrenamiento,2015-07-10,5,11.3586741,11.3586741,11.5672014,-0.018027463410466793,0.018027463410466793,0.0,0.0183584191397832
Habitat,RETORNO_CERO,2015-07-20,entrenamiento,2015-07-15,3,11.5053595,11.5053595,11.5418402,-0.0031607351486289126,0.0031607351486289126,0.0,0.0031707570719541334
Habitat,RETORNO_CERO,2015-07-21,entrenamiento,2015-07-16,3,11.5577682,11.5577682,11.513909,0.0038092362897779175,0.0038092362897779175,0.0,-0.003794781072006592
Habitat,RETORNO_CERO,2015-07-22,entrenamiento,2015-07-17,3,11.5672014,11.5672014,11.5126821,0.00473558633222404,0.00473558633222404,0.0,-0.0047132662529763
