afp,factor,ventanas,coef_mediana,coef_promedio,coef_abs_mediana,top5_frecuencia_pct,signo_positivo_pct,ultimo_coef,ultimo_ranking,consistencia_signo_pct,puntaje_estabilidad,ranking_estabilidad,columna_modelo,ticker,nombre,grupo,moneda
Habitat,ret_XLF,129,9.47471492076126e-05,9.600831244433627e-05,9.626457294815299e-05,10.852713178294573,88.37209302325581,-0.0001303987976822706,25,76.74418604651163,37.2093023255814,20,ret_XLF,XLF,Finanzas,sector,USD
Habitat,ret_XLB,129,9.937581255821286e-05,0.00010116175798641519,9.937581255821286e-05,0.0,95.34883720930233,0.00020353933509301882,21,90.69767441860466,36.27906976744187,21,ret_XLB,XLB,Materiales,sector,USD
Habitat,ret_EWJ,129,6.652148497450195e-05,7.941587419544784e-05,6.652148497450195e-05,0.0,92.24806201550388,0.00026207769727196786,13,84.49612403100775,33.798449612403104,22,ret_EWJ,EWJ,Japón,region,USD
Habitat,ret_HYG,129,-9.196847993232642e-05,-7.912705339377267e-05,9.196847993232642e-05,0.0,9.30232558139535,-0.0002568307832715752,14,81.3953488372093,32.55813953488372,23,ret_HYG,HYG,Bonos corporativos alto rendimiento,bonos,USD
Habitat,ret_USO,129,3.139841628486695e-05,5.854704433024711e-05,3.528882179629006e-05,9.30232558139535,73.64341085271317,-0.00039139535831075314,6,47.28682170542635,24.49612403100775,24,ret_USO,USO,Petróleo,materia_prima,USD
Habitat,ret_XLP,129,-6.138901878926807e-05,-5.666332836148966e-05,7.26308310760895e-05,0.0,20.155038759689923,-0.0002703888765473085,12,59.689922480620154,23.875968992248062,25,ret_XLP,XLP,Consumo básico,sector,USD
Habitat,ret_CPER,129,1.3687855398878792e-05,3.773572043920733e-05,3.9720728709881065e-05,0.0,64.34108527131784,0.00022904962535332668,18,28.682170542635674,11.47286821705427,26,ret_CPER,CPER,Cobre,materia_prima,USD
Habitat,ret_XLV,129,1.1668769623859941e-05,8.931768112355103e-06,6.873369763315396e-05,0.0,54.263565891472865,-0.00016967376168756197,23,8.52713178294573,3.410852713178292,27,ret_XLV,XLV,Salud,sector,USD
Integra,ret_PEN_X,129,-0.0006235216030897847,-0.0006812141210562883,0.0006235216030897847,74.4186046511628,0.0,-0.0016289971290002877,3,100.0,84.65116279069767,1,ret_PEN_X,PEN=X,Tipo de cambio USD/PEN,moneda,PEN_POR_USD
Integra,ret_EPU,129,0.0006812004475857291,0.0007878986802998875,0.0006812004475857291,61.240310077519375,100.0,0.001955308277430455,1,100.0,76.74418604651163,2,ret_EPU,EPU,Perú - ETF,mercado,USD
Integra,ret_IDX_VIX,129,-0.0005459104875923635,-0.0005773025617305236,0.0005459104875923635,62.01550387596899,0.7751937984496124,-0.0009810853615688207,9,98.44961240310077,76.5891472868217,3,ret_IDX_VIX,^VIX,Volatilidad VIX,riesgo,INDICE
Integra,ret_COPX,129,0.0004441384950575373,0.00048486242934199037,0.0004441384950575373,47.286821705426355,100.0,0.0017823126761568088,2,100.0,68.37209302325581,4,ret_COPX,COPX,Mineras de cobre,materia_prima,USD
