fecha_cartera,afp,suma_componentes_pct,participacion_no_mapeada_pct,numero_componentes,categorias_economicas,desvio_vs_100_pct,estado_suma,estado_mapeo,estado_general
2018-09-28,Profuturo,100.0,67.68416193005247,42,17,0.0,correcto,revisar,revisar
2018-10-31,Habitat,99.99999999998167,60.286041946258486,42,17,-1.8332002582610585e-11,correcto,revisar,revisar
2018-10-31,Integra,100.00000000000125,66.55122286990338,42,17,1.2505552149377763e-12,correcto,revisar,revisar
2018-10-31,Prima,99.9999999999986,68.7880786990491,42,17,-1.4068746168049984e-12,correcto,revisar,revisar
2018-10-31,Profuturo,100.00000000000172,66.03243516620572,42,17,1.7195134205394424e-12,correcto,revisar,revisar
2018-11-30,Habitat,99.99999999999999,60.83081368474749,42,17,-1.4210854715202004e-14,correcto,revisar,revisar
2018-11-30,Integra,99.99999999999878,64.8316336073999,42,17,-1.2221335055073723e-12,correcto,revisar,revisar
2018-11-30,Prima,100.0000000000014,66.33215987230487,42,17,1.4068746168049984e-12,correcto,revisar,revisar
2018-11-30,Profuturo,100.00000000000001,68.34233509693402,42,17,1.4210854715202004e-14,correcto,revisar,revisar
2018-12-31,Habitat,100.00000000000928,58.50310822764916,43,17,9.279688129026908e-12,correcto,revisar,revisar
2018-12-31,Integra,100.00000000000128,65.01076082560499,43,17,1.2789769243681803e-12,correcto,revisar,revisar
2018-12-31,Prima,99.99999999999999,66.07040182766963,43,17,-1.4210854715202004e-14,correcto,revisar,revisar
2018-12-31,Profuturo,100.00000000000175,67.66644097605528,43,17,1.7479351299698465e-12,correcto,revisar,revisar
2019-01-31,Habitat,100.0,0.0,44,21,0.0,correcto,correcto,correcto
2019-01-31,Integra,100.00000000000125,0.0197645412855964,44,21,1.2505552149377763e-12,correcto,correcto,correcto
2019-01-31,Prima,99.9999999999986,0.0,44,21,-1.4068746168049984e-12,correcto,correcto,correcto
2019-01-31,Profuturo,99.99999999999832,0.0266965745256676,44,21,-1.6768808563938364e-12,correcto,correcto,correcto
2019-02-28,Habitat,99.99999999999999,0.0,44,21,-1.4210854715202004e-14,correcto,correcto,correcto
2019-02-28,Integra,100.0,0.019533395887175,44,21,0.0,correcto,correcto,correcto
2019-02-28,Prima,100.0000000000014,0.0,44,21,1.4068746168049984e-12,correcto,correcto,correcto
2019-02-28,Profuturo,100.0,0.0262890297983055,44,21,0.0,correcto,correcto,correcto
2019-03-31,Habitat,100.00000000000895,0.0,44,21,8.952838470577262e-12,correcto,correcto,correcto
2019-03-31,Integra,100.00000000000124,0.0194819441937015,44,21,1.2363443602225743e-12,correcto,correcto,correcto
2019-03-31,Prima,100.00000000000283,0.0,44,21,2.8279600883251987e-12,correcto,correcto,correcto
2019-03-31,Profuturo,99.99999999999669,0.02619145586324,44,21,-3.311129148642067e-12,correcto,correcto,correcto
2019-04-30,Habitat,100.00000000001724,0.0,44,21,1.723776676954003e-11,correcto,correcto,correcto
2019-04-30,Integra,100.00000000000124,0.0194567549563633,44,21,1.2363443602225743e-12,correcto,correcto,correcto
2019-04-30,Prima,99.99999999999716,0.0,44,21,-2.8421709430404007e-12,correcto,correcto,correcto
2019-04-30,Profuturo,99.99999999999672,0.0259367573348208,44,21,-3.282707439211663e-12,correcto,correcto,correcto
2019-05-31,Habitat,99.99999999999142,0.0,44,21,-8.58335624798201e-12,correcto,correcto,correcto
2019-05-31,Integra,100.00000000000128,0.0210357654028885,44,21,1.2789769243681803e-12,correcto,correcto,correcto
2019-05-31,Prima,100.00000000000297,0.0,44,21,2.9700686354772188e-12,correcto,correcto,correcto
2019-05-31,Profuturo,99.9999999999983,0.0279583827816077,44,21,-1.7053025658242404e-12,correcto,correcto,correcto
2019-06-28,Habitat,99.99999999999197,0.0,44,21,-8.029132914089132e-12,correcto,correcto,correcto
2019-06-28,Integra,99.99999999999874,0.0202943838650939,44,21,-1.2647660696529783e-12,correcto,correcto,correcto
2019-06-28,Prima,100.00000000000001,0.0,44,21,1.4210854715202004e-14,correcto,correcto,correcto
2019-06-28,Profuturo,99.99999999999831,0.0270427548422484,44,21,-1.6910917111090384e-12,correcto,correcto,correcto
2019-07-31,Habitat,100.00000000000776,0.0,44,21,7.759126674500294e-12,correcto,correcto,correcto
2019-07-31,Integra,100.0,0.0206488869136394,44,21,0.0,correcto,correcto,correcto
2019-07-31,Prima,100.0,0.0,44,21,0.0,correcto,correcto,correcto
2019-07-31,Profuturo,99.9999999999983,0.0275361230442491,44,21,-1.7053025658242404e-12,correcto,correcto,correcto
