anio,mes,archivo,hoja,fila_excel_aprox,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37
2026,1,CA-0001-en2026.XLS,1,11,ACCIONES DEL CAPITAL SOCIAL,0,,9484.21841712,0.005679536556850686,792661.2615580246,0.060429948374062556,242055.5233829518,0.04854475768725978,0,,50657.82999791051,0.006511303336957761,1683075.9848924638,0.0621768684764343,222961.630339105,0.06562243348561189,0,,28510.2854309938,0.0059183004647162885,457437.63615344,0.035088246153061504,208164.02821571712,0.058496163994182705,0,,36918.170154287705,0.0054363260669875995,1482558.167799179,0.0676900159485148,250546.43532127963,0.08317026436754607,5465031.171662473,0.046270234070571264,,
2026,1,CA-0001-en2026.XLS,1,12,BONOS SUBORDINADOS SISTEMA FINANCIERO,0,,56945.6145586999,0.03410135505258394,176528.899216967,0.01345799622558004,0,,0,,91841.3388814025,0.011804824966916481,217258.1341977491,0.008026037182339126,0,,0,,0,,28506.8841341843,0.0021866512252208792,0,,0,,32775.89705555,0.004826362270593051,109441.21103196299,0.0049968206854072075,0,,713297.9790765159,0.006039208820083601,,
2026,1,CA-0001-en2026.XLS,1,13,CD SERIADOS SUBASTADO BCOS,22346.814022121296,0.08299279958719455,0,,0,,0,,451641.772850614,0.15842644782337378,0,,0,,0,,405717.1942236271,0.22623391749017957,0,,0,,0,,573893.1524885342,0.27865802977320464,0,,0,,0,,1453598.933584897,0.012307041037653553,,
2026,1,CA-0001-en2026.XLS,1,14,CUENTAS CORRIENTES,1294.90575,0.004809090606279379,1005.1048639200001,0.0006018977597350125,10358.76527808,0.0007897189901055647,1036.9213827199999,0.00020795682148200075,13317.155990000001,0.004671378613384601,5910.046904799999,0.0007596477806962597,27044.962491039994,0.0009991058578754143,3583.4589038400004,0.001054689514101658,3622.50254,0.00201996107734741,1161.8967008,0.0002411920357984738,12450.292491119999,0.000955013083924504,995.65087936,0.0002797878078129799,130.57606000000004,6.34021637257202e-05,360.55853271999996,5.30934697442714e-05,10889.8592364,0.0004972046030971287,178.33443104000003,5.919909319968274e-05,93340.99243583991,0.0007902808662428757,,
2026,1,CA-0001-en2026.XLS,1,15,DEPOSITOS A PLAZO,230541.198864,0.8561963014043675,5245.04,0.0031409437353710845,390093.76,0.02973949519307792,51978.88,0.01042447657954527,2272932.801538999,0.7972970870614269,105176,0.01351879541220216,344068,0.012710698135424147,18156,0.005343703759937048,1156660.8535723,0.6449712258607491,126652,0.026291023717440184,341761.2004987523,0.026215160670871367,59087.2,0.016604091354224207,1262326.71165,0.6129319941755271,209388.8,0.03083321266514748,776711.2,0.03546275259704463,14557.6,0.004832475221626734,7365337.246124051,0.062359365881381766,,
2026,1,CA-0001-en2026.XLS,1,16,OTROS BONOS SISTEMA FINANCIERO,0,,86659.1412655518,0.05189502594273308,330645.59297317726,0.0252073578999013,2919.551002516,0.0005855222553567133,0,,108375.74098278,0.013930074066251005,262710.07313715,0.009705140951153591,0,,160337.48807584,0.08940655847072262,15317.196392166801,0.003179616378984513,32946.9599902482,0.002527232021951773,0,,64702.30265523259,0.03141667765422052,40654.096628399995,0.00598645394143771,29824.869939599997,0.0013617313409502374,0,,1135093.0130426625,0.009610378743617849,,
2026,1,CA-0001-en2026.XLS,1,17,PAPELES COMERCIALES,2401.9087158239,0.008920337748449478,0,,0,,0,,103033.85141554248,0.036142110997170344,0,,0,,0,,5123.6447687574,0.00285702022090083,0,,0,,0,,47742.8260606269,0.023181879393699333,0,,0,,0,,158302.2309607507,0.001340281702038194,,
2026,1,CA-0001-en2026.XLS,1,18,3. Sistema no Financiero,0,,210192.04618292782,0.125871564503435,2326481.2552228654,0.17736345771459222,1589758.020603598,0.31882940249821573,9617.654786085,0.003373671293808545,1217431.6243858316,0.1564825536093501,5526808.843708453,0.20417359029195017,1002275.3992908193,0.2949913427893125,0,,798959.2866390215,0.16585176352758427,2424396.8027041107,0.18596596576815663,853644.6260355307,0.23988263709799262,115556.544026305,0.05610932757455067,1031870.3766215413,0.15194642103702688,4575685.030580428,0.20891469854107203,859474.4968793843,0.28530727659708527,22542152.007666904,0.190855388942247,,
2026,1,CA-0001-en2026.XLS,1,19,ACCIONES DEL CAPITAL SOCIAL,0,,54935.5216301396,0.03289762947728324,987147.741362485,0.07525697285982566,823859.4742619318,0.16522679585016045,0,,209260.1164511764,0.026897245590601027,2019882.5372246576,0.07461931129799124,435494.5866311401,0.12817548248584787,0,,104888.96972367141,0.021773350525083775,374323.36830220086,0.028712876794040224,241251.3688271562,0.06779403605751737,0,,93858.29100826908,0.013820952443708834,1176308.1415023992,0.05370738132782035,284991.68929745595,0.09460455548301237,6806201.806222686,0.05762538964799127,,
2026,1,CA-0001-en2026.XLS,1,20,ACCIONES DEL EXTRANJERO - LIMITE LOCAL,0,,3775.7044293120002,0.002261045706774473,199303.7783215526,0.01519427985045462,153454.1982843212,0.030775570694247398,0,,37292.7838561834,0.004793427353229053,527641.27308064,0.019492335660157043,157601.6893354304,0.046385588228363625,0,,83370.2499907155,0.01730639247571944,746680.101556565,0.05727490073034011,365466.73112773825,0.10269978930419214,0,,9676.3058049632,0.001424868926596988,289026.5691064152,0.013196253271735266,86722.21929217759,0.028787916682277856,2660011.604186015,0.022521254808997117,,
