archivo,hoja,fila_excel_aprox,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37
CA-0001-no2025.XLS,11,16,Bonos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
CA-0001-no2025.XLS,11,17,Materia Prima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
CA-0001-no2025.XLS,11,18,4. Opciones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
CA-0001-no2025.XLS,11,19,Índice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
CA-0001-no2025.XLS,11,20,Total,1167334.2522307024,0.7055204540501724,2792145.0602413127,0.21392976952924006,1037382.1592407351,0.23956728200171737,8784820.847240053,1.1317547975788522,21262177.570461825,0.747014164802629,4319227.2995815,1.3550466894049622,5159724.091591874,1.0558328161517003,8843461.070726417,0.64748510667162,3087611.0711353878,0.9222412103698727,4615231.074924462,0.6888953437287046,10874330.657464307,0.48486186882149274,1656793.5999999999,0.5930957981536841,73600238.75483857,0.6170393953184861,,,,,,,,,,
CA-0001-no2025.XLS,13,1,INVERSIÓN EN INSTRUMENTOS DERIVADOS LOCALES Y EXTRANJEROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-0001-no2025.XLS,13,2,(Valores Nocionales en miles de Soles),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-0001-no2025.XLS,13,3,Al 28-11-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA-0001-no2025.XLS,13,4,,HÁBITAT F1,,HÁBITAT F2,,HÁBITAT F3,,INTEGRA F1,,INTEGRA F2,,INTEGRA F3,,PROFUTURO F1,,PROFUTURO F2,,PROFUTURO F3,,PRIMA F1,,PRIMA F2,,PRIMA F3,,SISTEMA,,,,,,,,,,,
CA-0001-no2025.XLS,13,5,,Monto,%,Monto,%,Monto,%,Monto,%,Monto,%,Monto,%,Monto,%,Monto,%,Monto,%,Monto,%,Monto,%,Monto,%,Monto,%,,,,,,,,,,
CA-0001-no2025.XLS,13,6,I. Nacional,989787.7655540534,0.5982138470044585,2568724.340341042,0.1968116248465309,971957.6392407353,0.22445850623084942,1528125.6011528801,0.19686952192669793,3402179.2675809194,0.11953037715250248,929633.44845734,0.2916486304886739,1583838.2,0.32410034283804356,1956684,0.1432610759894016,456559.6,0.13637018018436886,1711930.4,0.2555323584457624,3569435.4,0.15915307095187745,465300.8,0.16656748876718724,20134156.462326966,0.16879792700326401,,,,,,,,,,
CA-0001-no2025.XLS,13,7,1. Forwards,989787.7655540534,0.5982138470044585,2568724.340341042,0.1968116248465309,971957.6392407353,0.22445850623084942,1528125.6011528801,0.19686952192669793,3402179.2675809194,0.11953037715250248,929633.44845734,0.2916486304886739,1583838.2,0.32410034283804356,1956684,0.1432610759894016,456559.6,0.13637018018436886,1711930.4,0.2555323584457624,3569435.4,0.15915307095187745,465300.8,0.16656748876718724,20134156.462326966,0.16879792700326401,,,,,,,,,,
CA-0001-no2025.XLS,13,8,Monedas,989787.7655540534,0.5982138470044585,2568724.340341042,0.1968116248465309,971957.6392407353,0.22445850623084942,1528125.6011528801,0.19686952192669793,3402179.2675809194,0.11953037715250248,929633.44845734,0.2916486304886739,1583838.2,0.32410034283804356,1956684,0.1432610759894016,456559.6,0.13637018018436886,1711930.4,0.2555323584457624,3569435.4,0.15915307095187745,465300.8,0.16656748876718724,20134156.462326966,0.16879792700326401,,,,,,,,,,
CA-0001-no2025.XLS,13,9,CITIBANK,275738.3489593725,0.16665239179361818,519439.84612999996,0.03979866524459542,297953.88800000004,0.06880781828969128,97501.362,0.012561170698050206,769919.3061370801,0.02704993999478286,0,0,151290,0.030958427993445045,0,0,0,0,50430,0.007527465390193314,147928,0.006595775757636439,13448,0.004814089270727955,2323648.7512264526,0.01948068164785768,,,,,,,,,,
