afp,modelo,factor,coeficiente_estandarizado,coeficiente_abs,ranking
Prima,ElasticNet,ret_IDX_VIX,-0.0004991926559048178,0.0004991926559048178,7
Prima,ElasticNet,ret_GLD,-0.0004205436411505035,0.0004205436411505035,8
Prima,ElasticNet,ret_XLE,0.00036183043721881665,0.00036183043721881665,9
Prima,ElasticNet,ret_TLT,-0.0003532339232381782,0.0003532339232381782,10
Prima,ElasticNet,ret_VGK,0.0003513134790453279,0.0003513134790453279,11
Prima,ElasticNet,ret_XLI,0.0002781730773094613,0.0002781730773094613,12
Prima,ElasticNet,ret_EEM,0.0002292211398674796,0.0002292211398674796,13
Prima,ElasticNet,ret_QQQ,0.00020429492178796098,0.00020429492178796098,14
Prima,ElasticNet,ret_XLP,-0.00016754855577306353,0.00016754855577306353,15
Prima,ElasticNet,ret_CPER,-0.00014647712406233975,0.00014647712406233975,16
Prima,ElasticNet,ret_DX_Y_NYB,8.732153093995727e-05,8.732153093995727e-05,17
Prima,ElasticNet,ret_XLY,5.9510380077413726e-05,5.9510380077413726e-05,18
Prima,ElasticNet,ret_SPY,0.0,0.0,19
Prima,ElasticNet,ret_XLK,0.0,0.0,20
Prima,ElasticNet,ret_ILF,-0.0,0.0,21
Prima,ElasticNet,ret_ACWI,0.0,0.0,22
Prima,ElasticNet,ret_XLV,0.0,0.0,23
Prima,ElasticNet,ret_XLB,-0.0,0.0,24
Prima,ElasticNet,ret_LQD,0.0,0.0,25
Prima,ElasticNet,ret_COPX,0.0,0.0,26
Prima,ElasticNet,ret_USO,0.0,0.0,27
Prima,Huber_robusto,ret_SPY,-0.003717785550779053,0.003717785550779053,1
Prima,Huber_robusto,ret_ACWI,0.0029397657452871952,0.0029397657452871952,2
Prima,Huber_robusto,ret_HYG,-0.0017355219861764513,0.0017355219861764513,3
Prima,Huber_robusto,ret_EPU,0.0015828402993798272,0.0015828402993798272,4
Prima,Huber_robusto,ret_PEN_X,-0.001356613343451602,0.001356613343451602,5
Prima,Huber_robusto,ret_QQQ,0.0008915345621902533,0.0008915345621902533,6
Prima,Huber_robusto,ret_XLF,0.0008711228290987515,0.0008711228290987515,7
Prima,Huber_robusto,ret_LQD,-0.0007312985311528511,0.0007312985311528511,8
Prima,Huber_robusto,ret_EWJ,0.0006133042793275078,0.0006133042793275078,9
Prima,Huber_robusto,ret_XLI,0.0006110823531577742,0.0006110823531577742,10
Prima,Huber_robusto,ret_XLV,0.0005274659413214431,0.0005274659413214431,11
Prima,Huber_robusto,ret_XLY,0.00042943793424153533,0.00042943793424153533,12
Prima,Huber_robusto,ret_XLE,0.0004088589920909515,0.0004088589920909515,13
Prima,Huber_robusto,ret_MCHI,0.00037442613023773436,0.00037442613023773436,14
Prima,Huber_robusto,ret_IDX_VIX,-0.000370905433938966,0.000370905433938966,15
Prima,Huber_robusto,ret_EEM,0.0003660689795217807,0.0003660689795217807,16
Prima,Huber_robusto,ret_ILF,-0.0002992708903685788,0.0002992708903685788,17
Prima,Huber_robusto,ret_DX_Y_NYB,0.00026315573770537476,0.00026315573770537476,18
Prima,Huber_robusto,ret_CPER,-0.00022913727756550815,0.00022913727756550815,19
Prima,Huber_robusto,ret_XLP,-0.00020886978391171216,0.00020886978391171216,20
Prima,Huber_robusto,ret_GLD,-0.00017303210974614912,0.00017303210974614912,21
Prima,Huber_robusto,ret_COPX,0.00015443515354355615,0.00015443515354355615,22
Prima,Huber_robusto,ret_VGK,0.000148407692229514,0.000148407692229514,23
Prima,Huber_robusto,ret_XLB,-0.00011379033282435054,0.00011379033282435054,24
Prima,Huber_robusto,ret_XLK,0.00010389382524469282,0.00010389382524469282,25
Prima,Huber_robusto,ret_TLT,7.523843966506747e-05,7.523843966506747e-05,26
Prima,Huber_robusto,ret_USO,5.965312062178039e-05,5.965312062178039e-05,27
Profuturo,ACWI_lineal,ret_ACWI,0.12208925953827723,0.12208925953827723,1
Profuturo,Ridge,ret_EPU,0.0018526309721765533,0.0018526309721765533,1
Profuturo,Ridge,ret_PEN_X,-0.0014584383267722979,0.0014584383267722979,2
Profuturo,Ridge,ret_HYG,-0.0012847004728351189,0.0012847004728351189,3
Profuturo,Ridge,ret_IDX_VIX,-0.0007194077705451523,0.0007194077705451523,4
Profuturo,Ridge,ret_EWJ,0.0006190061118806147,0.0006190061118806147,5
Profuturo,Ridge,ret_MCHI,0.0005819705567993773,0.0005819705567993773,6
Profuturo,Ridge,ret_EEM,0.00045710814737736857,0.00045710814737736857,7
Profuturo,Ridge,ret_GLD,-0.00044977880770008955,0.00044977880770008955,8
Profuturo,Ridge,ret_XLE,0.00043454597650337186,0.00043454597650337186,9
Profuturo,Ridge,ret_TLT,-0.0003839900745045126,0.0003839900745045126,10
Profuturo,Ridge,ret_XLI,0.00038149571979135936,0.00038149571979135936,11
Profuturo,Ridge,ret_VGK,0.00038025466077098183,0.00038025466077098183,12
Profuturo,Ridge,ret_XLF,0.0003642267488178756,0.0003642267488178756,13
Profuturo,Ridge,ret_QQQ,0.00036057529220105304,0.00036057529220105304,14
Profuturo,Ridge,ret_ILF,-0.00030258328993053795,0.00030258328993053795,15
Profuturo,Ridge,ret_XLV,0.00023519596691248983,0.00023519596691248983,16
Profuturo,Ridge,ret_LQD,-0.00022266098022438808,0.00022266098022438808,17
Profuturo,Ridge,ret_XLP,-0.00022151900000511222,0.00022151900000511222,18
Profuturo,Ridge,ret_DX_Y_NYB,0.00021296534453889285,0.00021296534453889285,19
Profuturo,Ridge,ret_XLK,0.00016297835369619257,0.00016297835369619257,20
Profuturo,Ridge,ret_CPER,-0.0001611466478246948,0.0001611466478246948,21
Profuturo,Ridge,ret_COPX,0.00014096153101174282,0.00014096153101174282,22
Profuturo,Ridge,ret_SPY,-9.12802831735486e-05,9.12802831735486e-05,23
