id_instrumento,nivel_1,nivel_2,nivel_3,descripcion,ruta_jerarquica,primera_fecha,ultima_fecha,meses_presentes,afp_presentes,participacion_mediana_pct,participacion_max_abs_pct,observaciones
86,I. INVERSIONES LOCALES,3. Empresas no Financieras,Acciones de Capital por Privatización,Acciones de Capital por Privatización,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Acciones de Capital por Privatización,2018-02-28,2022-02-28,49,4,0.0,0.0,196
87,II. INVERSIONES EN EL EXTERIOR,2. Sistema Financiero,Títulos de Deuda de Agencias,Títulos de Deuda de Agencias,II. INVERSIONES EN EL EXTERIOR > 2. Sistema Financiero > Títulos de Deuda de Agencias,2018-02-28,2022-02-28,49,4,0.0,0.0,196
88,II. INVERSIONES EN EL EXTERIOR,4. Administradoras de Fondos,Cuotas de Fondos de Inversión,Cuotas de Fondos de Inversión,II. INVERSIONES EN EL EXTERIOR > 4. Administradoras de Fondos > Cuotas de Fondos de Inversión,2015-01-30,2018-12-31,46,4,0.0,0.0,184
89,I. INVERSIONES LOCALES,3. Empresas no Financieras,Bonos Corporativos Coemitidos,Bonos Corporativos Coemitidos,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Bonos Corporativos Coemitidos,2024-07-31,2026-05-31,22,4,0.0,0.0,88
90,II. INVERSIONES EN EL EXTERIOR,3. Empresas no Financieras,Bonos Corporativos Coemitidos,Bonos Corporativos Coemitidos,II. INVERSIONES EN EL EXTERIOR > 3. Empresas no Financieras > Bonos Corporativos Coemitidos,2025-01-31,2026-05-31,17,4,0.0,0.0,68
91,I. INVERSIONES LOCALES,4. Administradoras de Fondos,Bonos de Fondos de Inversión,Bonos de Fondos de Inversión,I. INVERSIONES LOCALES > 4. Administradoras de Fondos > Bonos de Fondos de Inversión,2018-02-28,2018-12-31,11,4,0.0,0.0,44
92,I. INVERSIONES LOCALES,1. Gobierno,Certificados y Depósitos a Plazo del BCRP 1/,Certificados y Depósitos a Plazo del BCRP 1/,I. INVERSIONES LOCALES > 1. Gobierno > Certificados y Depósitos a Plazo del BCRP 1/,2025-08-31,2026-05-31,10,4,0.0,0.0,40
93,I. INVERSIONES LOCALES,1. Gobierno,Certificado Deposito Liquidaciones En Dolares BCRP,Certificado Deposito Liquidaciones En Dolares BCRP,I. INVERSIONES LOCALES > 1. Gobierno > Certificado Deposito Liquidaciones En Dolares BCRP,2016-07-31,2016-10-31,4,4,0.0,0.0,16
94,,I. INVERSIONES LOCALES,1. Gobierno,Bonos Brady,I. INVERSIONES LOCALES > 1. Gobierno > Bonos Brady,2017-12-31,2018-01-31,2,4,0.0,0.0,8
95,,I. INVERSIONES LOCALES,1. Gobierno,Certificados y Depósitos a Plazo del BCRP (1),I. INVERSIONES LOCALES > 1. Gobierno > Certificados y Depósitos a Plazo del BCRP (1),2017-12-31,2018-01-31,2,4,0.0,0.0,8
96,,I. INVERSIONES LOCALES,1. Gobierno,Letras del Tesoro,I. INVERSIONES LOCALES > 1. Gobierno > Letras del Tesoro,2017-12-31,2018-01-31,2,4,0.0,0.0,8
97,,I. INVERSIONES LOCALES,2. Sistema Financiero,Acciones Preferentes,I. INVERSIONES LOCALES > 2. Sistema Financiero > Acciones Preferentes,2017-12-31,2018-01-31,2,4,0.0,0.0,8
98,,I. INVERSIONES LOCALES,2. Sistema Financiero,Bonos Hipotecarios,I. INVERSIONES LOCALES > 2. Sistema Financiero > Bonos Hipotecarios,2017-12-31,2018-01-31,2,4,0.0,0.0,8
99,,I. INVERSIONES LOCALES,2. Sistema Financiero,Letras Hipotecarias,I. INVERSIONES LOCALES > 2. Sistema Financiero > Letras Hipotecarias,2017-12-31,2018-01-31,2,4,0.0,0.0,8
100,,I. INVERSIONES LOCALES,2. Sistema Financiero,Papeles Comerciales,I. INVERSIONES LOCALES > 2. Sistema Financiero > Papeles Comerciales,2017-12-31,2018-01-31,2,4,0.0,0.0,8
101,,I. INVERSIONES LOCALES,2. Sistema Financiero,Títulos de Deuda emitidos por Entidades Financieras del Exterior en el mercado local,I. INVERSIONES LOCALES > 2. Sistema Financiero > Títulos de Deuda emitidos por Entidades Financieras del Exterior en el mercado local,2017-12-31,2018-01-31,2,4,0.0,0.0,8
102,,I. INVERSIONES LOCALES,2. Sistema Financiero,Títulos de Deuda emitidos por Organismos Internacionales en el mercado local,I. INVERSIONES LOCALES > 2. Sistema Financiero > Títulos de Deuda emitidos por Organismos Internacionales en el mercado local,2017-12-31,2018-01-31,2,4,0.0,0.0,8
