fecha_cartera,archivo,hoja,fila_excel_aprox,afp,fondo,valor,tipo_valor,participacion_reportada,grupo,entidad_administradora,isin,moneda,seccion,estado_identificacion,instrumento_sin_isin,estado_refinado,fila_instrumento_origen,total_refinado,participacion_hoja10_refinada_pct,participacion_reportada_pct,periodo,identificador_final,tipo_identificador,valor_redondeado,monto_hojas_miles_soles,total_exterior_miles_soles,total_fondo_miles_soles,ratio_cobertura_exterior,error_cobertura_pct,factor_reescala,estado_cobertura,elegible_modelo_principal,elegible_analisis_ampliado,peso_dentro_hojas,valor_reconciliado_miles_soles,peso_exterior_reconciliado,peso_total_fondo_reconciliado,peso_exterior_reconciliado_pct,peso_total_fondo_reconciliado_pct,usar_modelo_principal,usar_analisis_ampliado,ranking_afp
2026-01-30,CA-0001-en2026.XLS,10,204,Habitat,3,60042.9607232,miles_soles,0.0120417453747667,88,WisdomTree Asset Management Inc.,US97717Y5437,USD,,isin,,isin,,2710476.010140649,2.215218304776079,1.204174537476673,2026-01,US97717Y5437,isin,60042.960723,2664235.411806221,2681283.758825,4986234.0428679995,0.993641722192712,0.6358277807288037,1.0063989641993463,estricto,True,True,0.02253665740539565,60427.17347929051,0.02253665740539565,0.012118800072315458,2.253665740539565,1.2118800072315459,True,True,11
2026-01-30,CA-0001-en2026.XLS,10,160,Habitat,3,55815.142656,miles_soles,0.011193847335715,75,BlackRock Fund Advisors,US4642891802,USD,,isin,,isin,,2710476.010140649,2.05923765593866,1.119384733571501,2026-01,US4642891802,isin,55815.142656,2664235.411806221,2681283.758825,4986234.0428679995,0.993641722192712,0.6358277807288037,1.0063989641993463,estricto,True,True,0.020949778840361585,56172.301755637156,0.020949778840361585,0.011265476364067294,2.0949778840361586,1.1265476364067293,True,True,12
2026-01-30,CA-0001-en2026.XLS,10,538,Habitat,3,55668.9752350768,miles_soles,0.0111645331439489,281,EQT Infrastructure IV (GP) SCS,PRIVFAEEQTI4,USD,,isin,,isin,,2710476.010140649,2.053844971392611,1.116453314394892,2026-01,PRIVFAEEQTI4,isin,55668.975235,2664235.411806221,2681283.758825,4986234.0428679995,0.993641722192712,0.6358277807288037,1.0063989641993463,estricto,True,True,0.02089491603796977,56025.19901462035,0.02089491603796977,0.011235974591837568,2.089491603796977,1.1235974591837568,True,True,13
2026-01-30,CA-0001-en2026.XLS,10,153,Habitat,3,54688.528132,miles_soles,0.0109679023611481,75,BlackRock Fund Advisors,US4642867729,USD,,isin,,isin,,2710476.010140649,2.017672465183049,1.0967902361148154,2026-01,US4642867729,isin,54688.528132,2664235.411806221,2681283.758825,4986234.0428679995,0.993641722192712,0.6358277807288037,1.0063989641993463,estricto,True,True,0.020526912858246208,55038.47806563161,0.020526912858246205,0.011038085575697201,2.0526912858246202,1.10380855756972,True,True,14
2026-01-30,CA-0001-en2026.XLS,10,253,Habitat,3,51804.5060272,miles_soles,0.0103895055029169,103,First Trust Advisors L.P.,US33738R7044,USD,,isin,,isin,,2710476.010140649,1.911269674897872,1.0389505502916918,2026-01,US33738R7044,isin,51804.506027,2664235.411806221,2681283.758825,4986234.0428679995,0.993641722192712,0.6358277807288037,1.0063989641993463,estricto,True,True,0.01944441763578207,52136.00120663287,0.01944441763578207,0.010455987576677228,1.9444417635782072,1.0455987576677228,True,True,15
2026-01-30,CA-0001-en2026.XLS,10,362,Habitat,3,48834.697114123206,miles_soles,0.0097939039151163,143,Carne Global Fund Managers (Luxembourg) S.A.,LU2301227331,USD,,isin,,isin,,2710476.010140649,1.801701875663866,0.9793903915116376,2026-01,LU2301227331,isin,48834.697114,2664235.411806221,2681283.758825,4986234.0428679995,0.993641722192712,0.6358277807288037,1.0063989641993463,estricto,True,True,0.018329723003349646,49147.1885926424,0.018329723003349643,0.009856574755639377,1.8329723003349643,0.9856574755639378,True,True,16
2026-01-30,CA-0001-en2026.XLS,10,185,Habitat,3,48169.2725338731,miles_soles,0.0096604515792393,84,SCHRODER INVESTMENT MANAGEMENT,LU0106820292,EUR,,isin,,isin,,2710476.010140649,1.7771517753213224,0.9660451579239364,2026-01,LU0106820292,isin,48169.272534,2664235.411806221,2681283.758825,4986234.0428679995,0.993641722192712,0.6358277807288037,1.0063989641993463,estricto,True,True,0.018079961072665383,48477.50598432591,0.01807996107266538,0.00972226846304279,1.807996107266538,0.9722268463042791,True,True,17
2026-01-30,CA-0001-en2026.XLS,10,594,Habitat,3,43593.3066561343,miles_soles,0.0087427317453128,308,EQT Infrastructure V (General Partner) S.à.r.,PRIVFAEEQTI5,EUR,,isin,,isin,,2710476.010140649,1.608326599941838,0.8742731745312845,2026-01,PRIVFAEEQTI5,isin,43593.306656,2664235.411806221,2681283.758825,4986234.0428679995,0.993641722192712,0.6358277807288037,1.0063989641993463,estricto,True,True,0.01636240793998762,43872.258664758025,0.016362407939987618,0.008798676172754103,1.6362407939987618,0.8798676172754103,True,True,18
2026-01-30,CA-0001-en2026.XLS,10,181,Habitat,3,42728.0229009148,miles_soles,0.008569197220503,82,JP MORGAN FLEMING FUNDS SICAV,LU024805611X,USD,,isin,,isin,,2710476.010140649,1.5764029174601548,0.8569197220503024,2026-01,LU024805611X,isin,42728.022901,2664235.411806221,2681283.758825,4986234.0428679995,0.993641722192712,0.6358277807288037,1.0063989641993463,estricto,True,True,0.016037630425438754,43001.4379897666,0.01603763042543875,0.008624031206732703,1.6037630425438751,0.8624031206732703,True,True,19
2026-01-30,CA-0001-en2026.XLS,10,343,Habitat,3,40182.3161995584,miles_soles,0.0080586502466805,135,BlackRock Luxembourg S.A.,LU2134542260,USD,,isin,,isin,,2710476.010140649,1.4824818979848968,0.8058650246680555,2026-01,LU2134542260,isin,40182.3162,2664235.411806221,2681283.758825,4986234.0428679995,0.993641722192712,0.6358277807288037,1.0063989641993463,estricto,True,True,0.015082119253236995,40439.44140236619,0.015082119253236994,0.008110217261102748,1.5082119253236994,0.8110217261102748,True,True,20
