nivel_1,nivel_2,nivel_3,descripcion,ruta_jerarquica,categoria_economica,factor_representativo_inicial,calidad_proxy_inicial,regla_mapeo,primera_fecha,ultima_fecha,meses_presentes,afp_presentes,participacion_mediana_pct,participacion_max_abs_pct
,I. INVERSIONES LOCALES,2. Sistema Financiero,Otros Bonos Sector Financiero,I. INVERSIONES LOCALES > 2. Sistema Financiero > Otros Bonos Sector Financiero,renta_fija_financiera_local,credito_financiero_peru_pendiente,baja,renta_fija_financiera_local_actual_historico,2017-12-31,2018-01-31,2,4,0.19047202329557456,1.4795200760306166
,I. INVERSIONES LOCALES,2. Sistema Financiero,Bonos Subordinados,I. INVERSIONES LOCALES > 2. Sistema Financiero > Bonos Subordinados,renta_fija_financiera_local,credito_financiero_peru_pendiente,baja,renta_fija_financiera_local_actual_historico,2017-12-31,2018-01-31,2,4,0.5654684483412844,1.1305771026888407
I. INVERSIONES LOCALES,2. Sistema Financiero,Bonos de Arrendamiento Financiero,Bonos de Arrendamiento Financiero,I. INVERSIONES LOCALES > 2. Sistema Financiero > Bonos de Arrendamiento Financiero,renta_fija_financiera_local,credito_financiero_peru_pendiente,baja,renta_fija_financiera_local_actual_historico,2015-01-30,2026-05-31,135,4,0.0,0.6476888480631048
I. INVERSIONES LOCALES,2. Sistema Financiero,Títulos de Deuda emitidos por Entidades Financieras del Exterior en el mercado local,Títulos de Deuda emitidos por Entidades Financieras del Exterior en el mercado local,I. INVERSIONES LOCALES > 2. Sistema Financiero > Títulos de Deuda emitidos por Entidades Financieras del Exterior en el mercado local,renta_fija_financiera_local,credito_financiero_peru_pendiente,baja,deuda_generica_financiera_local,2015-01-30,2026-05-31,135,4,0.0,0.2114443739370217
,I. INVERSIONES LOCALES,2. Sistema Financiero,Bonos de Arrendamiento Financiero,I. INVERSIONES LOCALES > 2. Sistema Financiero > Bonos de Arrendamiento Financiero,renta_fija_financiera_local,credito_financiero_peru_pendiente,baja,renta_fija_financiera_local_actual_historico,2017-12-31,2018-01-31,2,4,0.0,0.1294924250672007
,I. INVERSIONES LOCALES,2. Sistema Financiero,Bonos Hipotecarios,I. INVERSIONES LOCALES > 2. Sistema Financiero > Bonos Hipotecarios,renta_fija_financiera_local,credito_financiero_peru_pendiente,baja,renta_fija_financiera_local_actual_historico,2017-12-31,2018-01-31,2,4,0.0,0.0
,I. INVERSIONES LOCALES,2. Sistema Financiero,Papeles Comerciales,I. INVERSIONES LOCALES > 2. Sistema Financiero > Papeles Comerciales,renta_fija_financiera_local,credito_financiero_peru_pendiente,baja,renta_fija_financiera_local_actual_historico,2017-12-31,2018-01-31,2,4,0.0,0.0
,I. INVERSIONES LOCALES,2. Sistema Financiero,Títulos de Deuda emitidos por Entidades Financieras del Exterior en el mercado local,I. INVERSIONES LOCALES > 2. Sistema Financiero > Títulos de Deuda emitidos por Entidades Financieras del Exterior en el mercado local,renta_fija_financiera_local,credito_financiero_peru_pendiente,baja,deuda_generica_financiera_local,2017-12-31,2018-01-31,2,4,0.0,0.0
I. INVERSIONES LOCALES,2. Sistema Financiero,Bonos Hipotecarios,Bonos Hipotecarios,I. INVERSIONES LOCALES > 2. Sistema Financiero > Bonos Hipotecarios,renta_fija_financiera_local,credito_financiero_peru_pendiente,baja,renta_fija_financiera_local_actual_historico,2015-01-30,2026-05-31,135,4,0.0,0.0
I. INVERSIONES LOCALES,2. Sistema Financiero,Papeles Comerciales,Papeles Comerciales,I. INVERSIONES LOCALES > 2. Sistema Financiero > Papeles Comerciales,renta_fija_financiera_local,credito_financiero_peru_pendiente,baja,renta_fija_financiera_local_actual_historico,2018-02-28,2026-05-31,100,4,0.0,0.0
II. INVERSIONES EN EL EXTERIOR,3. Empresas no Financieras,Bonos Corporativos,Bonos Corporativos,II. INVERSIONES EN EL EXTERIOR > 3. Empresas no Financieras > Bonos Corporativos,renta_fija_no_financiera_exterior,LQD_HYG,media,renta_fija_no_financiera_exterior_actual_historico,2015-01-30,2026-05-31,135,4,0.0,1.484652820996765
I. INVERSIONES LOCALES,3. Empresas no Financieras,Títulos de Deuda emitidos por Entidades No Financieras del Exterior en el mercado local,Títulos de Deuda emitidos por Entidades No Financieras del Exterior en el mercado local,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Títulos de Deuda emitidos por Entidades No Financieras del Exterior en el mercado local,renta_fija_no_financiera_exterior,LQD_HYG,media,renta_fija_no_financiera_exterior_actual_historico,2015-01-30,2026-05-31,135,4,0.0,1.0888048965966872
,II. INVERSIONES EN EL EXTERIOR,3. Empresas no Financieras,Bonos Corporativos,II. INVERSIONES EN EL EXTERIOR > 3. Empresas no Financieras > Bonos Corporativos,renta_fija_no_financiera_exterior,LQD_HYG,media,renta_fija_no_financiera_exterior_actual_historico,2017-12-31,2018-01-31,2,4,0.10922346628892546,0.3432829173708069
,I. INVERSIONES LOCALES,3. Empresas no Financieras,Títulos de Deuda emitidos por Entidades No Financieras del Exterior en el mercado local,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Títulos de Deuda emitidos por Entidades No Financieras del Exterior en el mercado local,renta_fija_no_financiera_exterior,LQD_HYG,media,renta_fija_no_financiera_exterior_actual_historico,2017-12-31,2018-01-31,2,4,0.0,0.1817584162859027
II. INVERSIONES EN EL EXTERIOR,3. Empresas no Financieras,Bonos Corporativos Coemitidos,Bonos Corporativos Coemitidos,II. INVERSIONES EN EL EXTERIOR > 3. Empresas no Financieras > Bonos Corporativos Coemitidos,renta_fija_no_financiera_exterior,LQD_HYG,media,renta_fija_no_financiera_exterior_actual_historico,2025-01-31,2026-05-31,17,4,0.0,0.0
I. INVERSIONES LOCALES,3. Empresas no Financieras,Bonos de Empresas no Financieras,Bonos de Empresas no Financieras,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Bonos de Empresas no Financieras,renta_fija_no_financiera_local,credito_corporativo_peru_pendiente,baja,renta_fija_no_financiera_local_actual_historico,2015-01-30,2026-05-31,135,4,0.7115874375251835,8.982176251753584
,I. INVERSIONES LOCALES,3. Empresas no Financieras,Bonos de Empresas no Financieras,I. INVERSIONES LOCALES > 3. Empresas no Financieras > Bonos de Empresas no Financieras,renta_fija_no_financiera_local,credito_corporativo_peru_pendiente,baja,renta_fija_no_financiera_local_actual_historico,2017-12-31,2018-01-31,2,4,0.7543332031812433,4.816232702861506
