escenario,periodo,fecha_cartera,afp,tipo_activo,peso_exterior,peso_total_fondo,identificadores,peso_exterior_pct,peso_total_fondo_pct
ampliado_15pct,2018-11,2018-11-30,Prima,mercados_privados_y_alternativos,0.1280490153766622,0.0770019459209031,8,12.804901537666218,7.700194592090311
ampliado_15pct,2018-11,2018-11-30,Prima,no_determinado,0.0164133250398896,0.009870110780517,2,1.6413325039889601,0.9870110780517
ampliado_15pct,2018-11,2018-11-30,Prima,renta_variable,0.855537659583446,0.5144753702537822,36,85.5537659583446,51.44753702537822
ampliado_15pct,2018-11,2018-11-30,Profuturo,mercados_privados_y_alternativos,0.1471053032080452,0.09383069375573029,20,14.710530320804521,9.38306937557303
ampliado_15pct,2018-11,2018-11-30,Profuturo,no_determinado,0.03200808373576189,0.020416263977040664,4,3.200808373576189,2.0416263977040665
ampliado_15pct,2018-11,2018-11-30,Profuturo,renta_variable,0.8208866130561899,0.5236001606884408,32,82.088661305619,52.36001606884408
ampliado_15pct,2018-12,2018-12-31,Habitat,mercados_privados_y_alternativos,0.0004304785065197,0.00025155759757,1,0.043047850651970004,0.025155759757
ampliado_15pct,2018-12,2018-12-31,Habitat,no_determinado,0.0055163759797597,0.003223590185675,4,0.55163759797597,0.3223590185675
ampliado_15pct,2018-12,2018-12-31,Habitat,renta_fija,0.0854992317342765,0.04996296215353,2,8.549923173427649,4.996296215353
ampliado_15pct,2018-12,2018-12-31,Habitat,renta_variable,0.9085539137794408,0.5309292713843805,63,90.85539137794409,53.09292713843805
ampliado_15pct,2018-12,2018-12-31,Integra,mercados_privados_y_alternativos,0.1543719034192617,0.0917983698064019,18,15.437190341926172,9.17983698064019
ampliado_15pct,2018-12,2018-12-31,Integra,no_determinado,0.030051154174382103,0.017870136358407444,8,3.00511541743821,1.7870136358407445
ampliado_15pct,2018-12,2018-12-31,Integra,renta_fija,2.5864202386469096e-07,1.538033517001043e-07,1,2.5864202386469097e-05,1.538033517001043e-05
ampliado_15pct,2018-12,2018-12-31,Integra,renta_variable,0.8155766837643285,0.48498857864270695,69,81.55766837643284,48.4988578642707
ampliado_15pct,2018-12,2018-12-31,Prima,mercados_privados_y_alternativos,0.1339855130649562,0.0801090494483203,8,13.398551306495621,8.01090494483203
ampliado_15pct,2018-12,2018-12-31,Prima,no_determinado,0.0046603091422629,0.0027863679212916,1,0.46603091422629,0.27863679212916
ampliado_15pct,2018-12,2018-12-31,Prima,renta_variable,0.8613541777927781,0.5149979489787584,40,86.13541777927782,51.49979489787584
ampliado_15pct,2018-12,2018-12-31,Profuturo,mercados_privados_y_alternativos,0.1569182156911531,0.09813435584420106,20,15.69182156911531,9.813435584420107
ampliado_15pct,2018-12,2018-12-31,Profuturo,no_determinado,0.034766045996769454,0.021742176420472756,4,3.4766045996769455,2.1742176420472754
ampliado_15pct,2018-12,2018-12-31,Profuturo,renta_variable,0.8083157383120748,0.5055088343223986,32,80.83157383120748,50.55088343223986
ampliado_15pct,2019-01,2019-01-31,Habitat,mercados_privados_y_alternativos,0.0004085903953146,0.0002426791713396,1,0.04085903953146,0.02426791713396
ampliado_15pct,2019-01,2019-01-31,Habitat,no_determinado,0.0056469422180266005,0.0033539585702158,4,0.56469422180266,0.33539585702158003
ampliado_15pct,2019-01,2019-01-31,Habitat,renta_fija,0.0659976945558417,0.039198830928964395,3,6.59976945558417,3.9198830928964394
ampliado_15pct,2019-01,2019-01-31,Habitat,renta_variable,0.9279467728308137,0.5511469590577319,62,92.79467728308137,55.11469590577319
ampliado_15pct,2019-01,2019-01-31,Integra,mercados_privados_y_alternativos,0.1309053906364993,0.0779894118363072,17,13.090539063649931,7.79894118363072
ampliado_15pct,2019-01,2019-01-31,Integra,no_determinado,0.028118622247550504,0.016752211655081582,7,2.81186222475505,1.6752211655081581
ampliado_15pct,2019-01,2019-01-31,Integra,renta_fija,1.758801049583013e-07,1.0478396552434585e-07,1,1.7588010495830132e-05,1.0478396552434585e-05
ampliado_15pct,2019-01,2019-01-31,Integra,renta_variable,0.8409758112358411,0.5010275632496192,69,84.0975811235841,50.102756324961916
ampliado_15pct,2019-01,2019-01-31,Prima,mercados_privados_y_alternativos,0.130900853268744,0.0758202272224018,8,13.090085326874402,7.58202272224018
ampliado_15pct,2019-01,2019-01-31,Prima,no_determinado,0.0049862013785767,0.0028881012771107,1,0.49862013785767,0.28881012771107
ampliado_15pct,2019-01,2019-01-31,Prima,renta_variable,0.8641129453526771,0.500510410943997,38,86.41129453526771,50.05104109439969
ampliado_15pct,2019-01,2019-01-31,Profuturo,mercados_privados_y_alternativos,0.1472719662342204,0.0960762560095464,20,14.72719662342204,9.607625600954641
ampliado_15pct,2019-01,2019-01-31,Profuturo,no_determinado,0.05700260956402883,0.03718696402121713,6,5.700260956402883,3.718696402121713
ampliado_15pct,2019-01,2019-01-31,Profuturo,renta_variable,0.7957254242017479,0.5191097907073923,39,79.57254242017478,51.91097907073923
ampliado_15pct,2019-02,2019-02-28,Habitat,mercados_privados_y_alternativos,0.0004121859839542,0.0002381059936027,1,0.04121859839542,0.02381059936027
ampliado_15pct,2019-02,2019-02-28,Habitat,no_determinado,0.019102010672795,0.0110345897437437,5,1.9102010672795,1.10345897437437
ampliado_15pct,2019-02,2019-02-28,Habitat,renta_fija,0.0503073066215516,0.0290608407245917,3,5.03073066215516,2.90608407245917
ampliado_15pct,2019-02,2019-02-28,Habitat,renta_variable,0.9301784967216958,0.537332863832726,62,93.01784967216959,53.733286383272606
ampliado_15pct,2019-02,2019-02-28,Integra,mercados_privados_y_alternativos,0.15382724693782351,0.0908331883025551,18,15.382724693782352,9.08331883025551
ampliado_15pct,2019-02,2019-02-28,Integra,no_determinado,0.027062507480688974,0.015980093818660845,6,2.7062507480688973,1.5980093818660845
ampliado_15pct,2019-02,2019-02-28,Integra,renta_fija,1.721282226664373e-07,1.0163970020190437e-07,1,1.7212822266643728e-05,1.0163970020190437e-05
ampliado_15pct,2019-02,2019-02-28,Integra,renta_variable,0.819110073453261,0.4836749082077323,70,81.9110073453261,48.36749082077323
ampliado_15pct,2019-02,2019-02-28,Prima,mercados_privados_y_alternativos,0.1253467914622456,0.07523806561578489,8,12.534679146224558,7.523806561578489
ampliado_15pct,2019-02,2019-02-28,Prima,no_determinado,0.0048604982009223,0.002917461853633,1,0.48604982009223,0.2917461853633
ampliado_15pct,2019-02,2019-02-28,Prima,renta_variable,0.86979271033683,0.5220837346456111,40,86.979271033683,52.208373464561106
ampliado_15pct,2019-02,2019-02-28,Profuturo,mercados_privados_y_alternativos,0.1481678711083977,0.0919618712140071,20,14.816787110839769,9.19618712140071
ampliado_15pct,2019-02,2019-02-28,Profuturo,no_determinado,0.03513090292042218,0.021804346285276124,5,3.513090292042218,2.1804346285276126
ampliado_15pct,2019-02,2019-02-28,Profuturo,renta_variable,0.8167012259711773,0.5068937847405344,41,81.67012259711774,50.689378474053434
ampliado_15pct,2019-03,2019-03-29,Habitat,mercados_privados_y_alternativos,0.0008326081500591,0.0004646049329648,1,0.08326081500591,0.04646049329648
ampliado_15pct,2019-03,2019-03-29,Habitat,no_determinado,0.0407485210557686,0.0227381438581734,7,4.07485210557686,2.27381438581734
ampliado_15pct,2019-03,2019-03-29,Habitat,renta_fija,0.052116594462899,0.0290816596919835,3,5.2116594462899,2.90816596919835
ampliado_15pct,2019-03,2019-03-29,Habitat,renta_variable,0.9063022763312695,0.505727103813335,64,90.63022763312695,50.57271038133349
ampliado_15pct,2019-03,2019-03-29,Integra,mercados_privados_y_alternativos,0.12801930540016979,0.076067522166735,17,12.80193054001698,7.6067522166735
ampliado_15pct,2019-03,2019-03-29,Integra,no_determinado,0.03315929047093401,0.019702849152684252,8,3.315929047093401,1.9702849152684252
ampliado_15pct,2019-03,2019-03-29,Integra,renta_fija,1.7059235656936132e-07,1.0136391401478604e-07,1,1.705923565693613e-05,1.0136391401478605e-05
ampliado_15pct,2019-03,2019-03-29,Integra,renta_variable,0.8388212335365351,0.49841742678197337,74,83.88212335365351,49.841742678197335
ampliado_15pct,2019-03,2019-03-29,Prima,mercados_privados_y_alternativos,0.1310256380077158,0.076138597758813,8,13.10256380077158,7.6138597758813
ampliado_15pct,2019-03,2019-03-29,Prima,no_determinado,0.0050708164244349,0.0029466359249943,1,0.50708164244349,0.29466359249942997
