afp,factor,mejor_lag_train,n_train,cobertura_train_pct,spearman_train,pearson_train,mutual_information_train,abs_spearman_train,indice,pais_region,ticker_elegido,moneda_local,moneda_modelo,transformacion,fx_ticker,fx_modo
Prima,ret_IDX_LOCAL_JAP_N_NIKKEI_225,0,1777,99.8314606741573,0.3677046434136092,0.41913909706990715,0.13513331857362143,0.3677046434136092,Nikkei 225,Japón,^N225,JPY,JPY,retorno_indice_moneda_local,JPY=X,INVERSO
Profuturo,ret_IDX_LOCAL_ESTADOS_UNIDOS_S_P_500,0,1779,99.9438202247191,0.6386751470162982,0.6707683549396197,0.32230697205343795,0.6386751470162982,S&P 500,Estados Unidos,^GSPC,USD,USD,retorno_indice_moneda_local,,USD
Profuturo,ret_IDX_LOCAL_ESTADOS_UNIDOS_DOW_JONES_INDUSTRIAL_AVERAGE,0,1779,99.9438202247191,0.6220845016077512,0.6589099080743597,0.3058820524766279,0.6220845016077512,Dow Jones Industrial Average,Estados Unidos,^DJI,USD,USD,retorno_indice_moneda_local,,USD
Profuturo,ret_IDX_LOCAL_ESTADOS_UNIDOS_NASDAQ_COMPOSITE,0,1779,99.9438202247191,0.5942779839123036,0.6425600347606372,0.2689517788172697,0.5942779839123036,Nasdaq Composite,Estados Unidos,^IXIC,USD,USD,retorno_indice_moneda_local,,USD
Profuturo,ret_IDX_LOCAL_ESTADOS_UNIDOS_RUSSELL_2000,0,1779,99.9438202247191,0.5737780005615938,0.6157854731420509,0.22240208823188734,0.5737780005615938,Russell 2000,Estados Unidos,^RUT,USD,USD,retorno_indice_moneda_local,,USD
Profuturo,ret_IDX_LOCAL_ESTADOS_UNIDOS_NASDAQ_100,0,1779,99.9438202247191,0.5641254457346658,0.6181821566667225,0.25630268815174695,0.5641254457346658,Nasdaq 100,Estados Unidos,^NDX,USD,USD,retorno_indice_moneda_local,,USD
Profuturo,ret_IDX_LOCAL_CANAD_S_P_TSX_COMPOSITE,0,1779,99.9438202247191,0.53428431378617,0.6027819828278331,0.22909323329400033,0.53428431378617,S&P/TSX Composite,Canadá,^GSPTSE,CAD,CAD,retorno_indice_moneda_local,CAD=X,INVERSO
Profuturo,ret_IDX_LOCAL_EUROPA_STOXX_EUROPE_600,0,1779,99.9438202247191,0.5225076484977037,0.5999284768393415,0.2201118643263973,0.5225076484977037,STOXX Europe 600,Europa,^STOXX,EUR,EUR,retorno_indice_moneda_local,EURUSD=X,DIRECTO
Profuturo,ret_IDX_LOCAL_PA_SES_BAJOS_AEX,0,1779,99.9438202247191,0.5183728530990012,0.5871112842183069,0.21041131967671678,0.5183728530990012,AEX,Países Bajos,^AEX,EUR,EUR,retorno_indice_moneda_local,EURUSD=X,DIRECTO
Profuturo,ret_IDX_LOCAL_FRANCIA_CAC_40,0,1779,99.9438202247191,0.5127798397939921,0.5912471911722463,0.2143576432819536,0.5127798397939921,CAC 40,Francia,^FCHI,EUR,EUR,retorno_indice_moneda_local,EURUSD=X,DIRECTO
Profuturo,ret_IDX_LOCAL_ZONA_EURO_EURO_STOXX_50,0,1779,99.9438202247191,0.5120386025015553,0.5914437877341863,0.21911047171228581,0.5120386025015553,EURO STOXX 50,Zona euro,^STOXX50E,EUR,EUR,retorno_indice_moneda_local,EURUSD=X,DIRECTO
Profuturo,ret_IDX_LOCAL_ALEMANIA_MDAX,0,1779,99.9438202247191,0.5041204299994638,0.5710734894567683,0.18690301424757294,0.5041204299994638,MDAX,Alemania,^MDAXI,EUR,EUR,retorno_indice_moneda_local,EURUSD=X,DIRECTO
Profuturo,ret_IDX_LOCAL_ALEMANIA_DAX,0,1779,99.9438202247191,0.5009461537675619,0.5781951217880102,0.17223130605226622,0.5009461537675619,DAX,Alemania,^GDAXI,EUR,EUR,retorno_indice_moneda_local,EURUSD=X,DIRECTO
Profuturo,ret_IDX_LOCAL_REINO_UNIDO_FTSE_100,0,1779,99.9438202247191,0.48429232101882835,0.5594923616707225,0.18815288797518814,0.48429232101882835,FTSE 100,Reino Unido,^FTSE,GBP,GBP,retorno_indice_moneda_local,GBPUSD=X,DIRECTO
Profuturo,ret_IDX_LOCAL_ITALIA_FTSE_MIB,0,1779,99.9438202247191,0.4494979656916665,0.5366687972159078,0.10100573484979236,0.4494979656916665,FTSE MIB,Italia,FTSEMIB.MI,EUR,EUR,retorno_indice_moneda_local,EURUSD=X,DIRECTO
Profuturo,ret_IDX_LOCAL_ESPA_A_IBEX_35,0,1779,99.9438202247191,0.4417862182823721,0.540839377048499,0.16538869572580417,0.4417862182823721,IBEX 35,España,^IBEX,EUR,EUR,retorno_indice_moneda_local,EURUSD=X,DIRECTO
Profuturo,ret_IDX_LOCAL_SUIZA_SMI,0,1779,99.9438202247191,0.4378716478711853,0.48463939258743843,0.14336522110824568,0.4378716478711853,SMI,Suiza,^SSMI,CHF,CHF,retorno_indice_moneda_local,CHF=X,INVERSO
Profuturo,ret_IDX_LOCAL_M_XICO_S_P_BMV_IPC,0,1779,99.9438202247191,0.42168052688490454,0.45023539911088023,0.11760798889130974,0.42168052688490454,S&P/BMV IPC,México,^MXX,MXN,MXN,retorno_indice_moneda_local,MXN=X,INVERSO
Profuturo,ret_IDX_PEN_ESTADOS_UNIDOS_RUSSELL_2000,0,1779,99.9438202247191,0.3875313621333518,0.4418625722687189,0.0919332145744125,0.3875313621333518,Russell 2000,Estados Unidos,^RUT,USD,PEN,indice_local_convertido_a_PEN,,USD
Profuturo,ret_IDX_LOCAL_HONG_KONG_HANG_SENG,0,1779,99.9438202247191,0.384516542040934,0.4174386715063008,0.07958705194948035,0.384516542040934,Hang Seng,Hong Kong,^HSI,HKD,HKD,retorno_indice_moneda_local,HKD=X,INVERSO
Profuturo,ret_IDX_PEN_ESTADOS_UNIDOS_NASDAQ_COMPOSITE,0,1779,99.9438202247191,0.3822821369433466,0.4355804234268212,0.12844802981742998,0.3822821369433466,Nasdaq Composite,Estados Unidos,^IXIC,USD,PEN,indice_local_convertido_a_PEN,,USD
