afp,ticker,nombre,categoria,factor,lag,moneda_modelo,operacion_preferida,factor_sale,correlacion_relevante,mape_base_pct,mape_candidato_pct,mejora_mape_puntos,p90_base_pct,p90_candidato_pct,familia,alpha,half_life,aceptado_validacion
Prima,ZN=F,Treasury 10 años futuro,FUTURO_BONOS,ret_USD_FUTURO_BONOS_TREASURY_10_A_OS_FUTURO,0,USD,AGREGAR,,0.3193758617898638,0.5774496295748925,0.5859031591933945,-0.008453529618501987,1.2671201625506572,1.257577732530486,EW_RIDGE,0.001,500.0,False
Profuturo,HO=F,Heating Oil,FUTURO_ENERGIA,ret_USD_FUTURO_ENERGIA_HEATING_OIL,0,USD,AGREGAR,,0.3909118449412504,0.6069115068706776,0.6046958506313058,0.0022156562393718104,1.2827009034577321,1.2527750545473169,EW_RIDGE,10.0,500.0,True
Profuturo,BZ=F,Petróleo Brent,FUTURO_ENERGIA,ret_USD_FUTURO_ENERGIA_PETR_LEO_BRENT,0,USD,AGREGAR,,0.4016023900909113,0.6069115068706776,0.6057475083488881,0.0011639985217895,1.2827009034577321,1.2584739503509115,EW_RIDGE,10.0,500.0,False
Profuturo,ES=F,E-mini S&P 500,FUTURO_INDICE,ret_USD_FUTURO_INDICE_E_MINI_S_P_500,0,USD,SUSTITUIR,ret_USD_SPY,0.9553466073628263,0.6069115068706776,0.6059412676096039,0.0009702392610737576,1.2827009034577321,1.278428008408548,EW_RIDGE,0.001,500.0,False
Profuturo,HG=F,Cobre,FUTURO_METAL,ret_USD_FUTURO_METAL_COBRE,0,USD,AGREGAR,,0.6129069340713508,0.6069115068706776,0.6065185201141458,0.00039298675653187676,1.2827009034577321,1.2750435464583898,EW_RIDGE,0.001,500.0,False
Profuturo,ZS=F,Soya,FUTURO_AGRICOLA,ret_USD_FUTURO_AGRICOLA_SOYA,0,USD,AGREGAR,,0.22981800265798003,0.6069115068706776,0.6066707691257025,0.000240737744975128,1.2827009034577321,1.2789437610829002,EW_RIDGE,0.001,500.0,False
Profuturo,ZC=F,Maíz,FUTURO_AGRICOLA,ret_USD_FUTURO_AGRICOLA_MA_Z,0,USD,AGREGAR,,0.15867609654266518,0.6069115068706776,0.6067814033278297,0.0001301035428479258,1.2827009034577321,1.276868143840245,EW_RIDGE,0.001,500.0,False
Profuturo,CL=F,Petróleo WTI,FUTURO_ENERGIA,ret_USD_FUTURO_ENERGIA_PETR_LEO_WTI,0,USD,AGREGAR,,0.35966307938783737,0.6069115068706776,0.6067925883050567,0.00011891856562096237,1.2827009034577321,1.2808369385478893,EW_RIDGE,0.001,500.0,False
Profuturo,SI=F,Plata,FUTURO_METAL,ret_USD_FUTURO_METAL_PLATA,0,USD,AGREGAR,,0.44959551666453224,0.6069115068706776,0.6068381139215118,7.339294916586248e-05,1.2827009034577321,1.2799539782755167,EW_RIDGE,0.001,500.0,False
Profuturo,RB=F,Gasolina RBOB,FUTURO_ENERGIA,ret_USD_FUTURO_ENERGIA_GASOLINA_RBOB,0,USD,AGREGAR,,0.39107817863902383,0.6069115068706776,0.6069486465301229,-3.7139659445295514e-05,1.2827009034577321,1.2836356156316335,EW_RIDGE,0.1,500.0,False
Profuturo,NQ=F,E-mini Nasdaq 100,FUTURO_INDICE,ret_USD_FUTURO_INDICE_E_MINI_NASDAQ_100,0,USD,AGREGAR,,0.8925189099233882,0.6069115068706776,0.6070920486502419,-0.00018054177956428052,1.2827009034577321,1.3040238108581603,EW_RIDGE,0.001,500.0,False
Profuturo,PA=F,Paladio,FUTURO_METAL,ret_USD_FUTURO_METAL_PALADIO,0,USD,AGREGAR,,0.35296964540413467,0.6069115068706776,0.6073821008009904,-0.0004705939303127904,1.2827009034577321,1.2794551321972047,EW_RIDGE,10.0,500.0,False
Profuturo,YM=F,E-mini Dow Jones,FUTURO_INDICE,ret_USD_FUTURO_INDICE_E_MINI_DOW_JONES,0,USD,AGREGAR,,0.9305106321444983,0.6069115068706776,0.6074305077753247,-0.0005190009046470712,1.2827009034577321,1.2716130141154602,EW_RIDGE,0.001,500.0,False
Profuturo,LTC-USD,Litecoin,CRIPTO,ret_USD_CRIPTO_LITECOIN,0,USD,AGREGAR,,0.1325998134464497,0.6069115068706776,0.6074401384477719,-0.0005286315770942629,1.2827009034577321,1.2813184007861755,EW_RIDGE,0.001,500.0,False
Profuturo,BTC-USD,Bitcoin,CRIPTO,ret_USD_CRIPTO_BITCOIN,0,USD,AGREGAR,,0.15800062149767435,0.6069115068706776,0.6079777161268771,-0.0010662092561994907,1.2827009034577321,1.285183089105635,EW_RIDGE,0.001,500.0,False
Profuturo,NG=F,Gas natural,FUTURO_ENERGIA,ret_PEN_FUTURO_ENERGIA_GAS_NATURAL,1,PEN,AGREGAR,,0.10680816094571025,0.6069115068706776,0.6080279151770751,-0.0011164083063974761,1.2827009034577321,1.2644412841811574,EW_RIDGE,10.0,500.0,False
Profuturo,GC=F,Oro,FUTURO_METAL,ret_USD_FUTURO_METAL_ORO,0,USD,AGREGAR,,0.5618754688351593,0.6069115068706776,0.6081040161063634,-0.0011925092356858125,1.2827009034577321,1.2923912811924383,EW_RIDGE,0.001,500.0,False
Profuturo,PL=F,Platino,FUTURO_METAL,ret_USD_FUTURO_METAL_PLATINO,0,USD,AGREGAR,,0.4208174910145449,0.6069115068706776,0.6088491657540941,-0.0019376588834164599,1.2827009034577321,1.2792469052211812,EW_RIDGE,10.0,500.0,False
Profuturo,ZW=F,Trigo,FUTURO_AGRICOLA,ret_USD_FUTURO_AGRICOLA_TRIGO,0,USD,AGREGAR,,0.12371263670848004,0.6069115068706776,0.6090222063631109,-0.0021106994924332545,1.2827009034577321,1.3137195307195875,EW_RIDGE,0.001,500.0,False
Profuturo,ZB=F,Treasury largo plazo futuro,FUTURO_BONOS,ret_USD_FUTURO_BONOS_TREASURY_LARGO_PLAZO_FUTURO,0,USD,AGREGAR,,0.30281725370382323,0.6069115068706776,0.6118864892789674,-0.004974982408289752,1.2827009034577321,1.2869301460948102,EW_RIDGE,0.001,500.0,False
Profuturo,ZN=F,Treasury 10 años futuro,FUTURO_BONOS,ret_USD_FUTURO_BONOS_TREASURY_10_A_OS_FUTURO,0,USD,AGREGAR,,0.3193758617898638,0.6069115068706776,0.6153091766084562,-0.008397669737778557,1.2827009034577321,1.2821036460401507,EW_RIDGE,0.001,500.0,False
