periodo,afp,fecha_ca,monto_hojas_miles_soles,registros_hojas,identificadores_unicos,registros_isin,registros_fondo_sin_isin,total_fondo_miles_soles,total_exterior_miles_soles,total_exterior_pct_fp1356,ratio_cobertura_exterior,error_cobertura_pct,factor_reescala,estado_cobertura,elegible_modelo_principal,elegible_analisis_ampliado,cobertura_exterior_pct,exterior_sobre_fondo_pct
2023-01,Integra,2023-01-31,1444947.532905474,48,48,28,20,4356222.7716239,1826970.5926138,41.93932882667402,0.7908980794475869,20.910192055241307,1.264385419545415,excluir,False,False,79.08980794475869,41.93932882667401
2023-01,Prima,2023-01-31,1264833.8917567548,39,39,32,7,3917401.8860632,1448924.5641644,36.98687564630909,0.8729466826909578,12.705331730904224,1.1455453349308642,ampliado,False,True,87.29466826909578,36.98687564631005
2023-01,Profuturo,2023-01-31,1555228.1616046054,76,76,55,21,4114334.7278867,1808058.9749053,43.94535434004304,0.8601645096704121,13.983549032958786,1.1625683096169224,ampliado,False,True,86.01645096704121,43.945354340044105
2023-02,Habitat,2023-02-28,1362369.8483392207,98,98,95,3,2908926.8008692,1397097.517061,48.027936510591786,0.9751429887336469,2.485701126635309,1.0254906321980874,operativo,True,True,97.5142988733647,48.02793651059013
2023-02,Integra,2023-02-28,1365633.9826703116,46,46,26,20,4192661.7383758,1713591.0810671,40.871198012052616,0.7969427465856639,20.30572534143361,1.254795283957716,excluir,False,False,79.69427465856639,40.87119801205164
2023-02,Prima,2023-02-28,1021166.8120836621,32,32,25,7,3800350.8766084,1259937.3932902,33.153185960940974,0.8104901223837698,18.95098776162302,1.2338213290728997,excluir,False,False,81.04901223837699,33.15318596094009
2023-02,Profuturo,2023-02-28,1144321.354034337,73,73,52,21,3949439.1428292,1394283.6517452,35.303332987841095,0.8207234966873566,17.927650331264346,1.218437152142284,excluir,False,False,82.07234966873565,35.30333298784288
2023-03,Habitat,2023-03-31,1483718.567565878,103,103,100,3,3012278.306517,1521247.8714019998,50.50157112343529,0.9753299218742476,2.4670078125752393,1.025294085183345,operativo,True,True,97.53299218742477,50.50157112345206
2023-03,Integra,2023-03-31,1388182.0333647924,45,45,25,20,4178792.053245,1775624.49106,42.49133406102743,0.7817993277036211,21.820067229637885,1.2791006138842556,excluir,False,False,78.17993277036211,42.49133406102742
2023-03,Prima,2023-03-31,955682.9306084075,26,26,19,7,3735822.3087460003,1316078.3276840001,35.22861150552076,0.726159614139527,27.3840385860473,1.3771077054250174,excluir,False,False,72.6159614139527,35.2286115055019
2023-03,Profuturo,2023-03-31,1369073.0939595273,75,75,54,21,3918110.896405,1615007.611856,41.21903781075306,0.8477192825030467,15.228071749695326,1.1796357834958249,excluir,False,False,84.77192825030467,41.219037810742535
2023-04,Habitat,2023-04-28,1596656.3575668905,107,107,104,3,3082746.7288336,1633827.1471619,52.999071635705896,0.9772492520646517,2.275074793534826,1.02328039431832,operativo,True,True,97.72492520646517,52.99907163570591
2023-04,Integra,2023-04-28,1363399.287175773,49,49,29,20,4140234.90166,1773375.9338053,42.832737173783954,0.7688157153741219,23.118428462587815,1.3007018196985984,excluir,False,False,76.88157153741219,42.83273717378394
