anio,mes,archivo,url,estado_descarga,hojas_disponibles,hoja3_estado,hoja9_estado,hoja10_estado,estado_general,error_general
2020,2,CA-0001-fe2020.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2020/Febrero/CA-0001-fe2020.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2020,3,CA-0001-ma2020.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2020/Marzo/CA-0001-ma2020.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2020,4,CA-0001-ab2020.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2020/Abril/CA-0001-ab2020.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2020,5,CA-0001-my2020.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2020/Mayo/CA-0001-my2020.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2020,6,CA-0001-jn2020.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2020/Junio/CA-0001-jn2020.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2020,7,CA-0001-jl2020.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2020/Julio/CA-0001-jl2020.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2020,8,CA-0001-ag2020.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2020/Agosto/CA-0001-ag2020.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2020,9,CA-0001-se2020.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2020/Setiembre/CA-0001-se2020.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2020,10,CA-0001-oc2020.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2020/Octubre/CA-0001-oc2020.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2020,11,CA-0001-no2020.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2020/Noviembre/CA-0001-no2020.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2020,12,CA-0001-di2020.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2020/Diciembre/CA-0001-di2020.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2021,1,CA-0001-en2021.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2021/Enero/CA-0001-en2021.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2021,2,CA-0001-fe2021.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2021/Febrero/CA-0001-fe2021.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2021,3,CA-0001-ma2021.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2021/Marzo/CA-0001-ma2021.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2021,4,CA-0001-ab2021.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2021/Abril/CA-0001-ab2021.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2021,5,CA-0001-my2021.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2021/Mayo/CA-0001-my2021.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2021,6,CA-0001-jn2021.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2021/Junio/CA-0001-jn2021.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2021,7,CA-0001-jl2021.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2021/Julio/CA-0001-jl2021.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2021,8,CA-0001-ag2021.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2021/Agosto/CA-0001-ag2021.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2021,9,CA-0001-se2021.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2021/Setiembre/CA-0001-se2021.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2021,10,CA-0001-oc2021.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2021/Octubre/CA-0001-oc2021.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2021,11,CA-0001-no2021.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2021/Noviembre/CA-0001-no2021.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2021,12,CA-0001-di2021.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2021/Diciembre/CA-0001-di2021.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2022,1,CA-0001-en2022.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2022/Enero/CA-0001-en2022.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2022,2,CA-0001-fe2022.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2022/Febrero/CA-0001-fe2022.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2022,3,CA-0001-ma2022.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2022/Marzo/CA-0001-ma2022.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2022,4,CA-0001-ab2022.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2022/Abril/CA-0001-ab2022.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2022,5,CA-0001-my2022.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2022/Mayo/CA-0001-my2022.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2022,6,CA-0001-jn2022.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2022/Junio/CA-0001-jn2022.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2022,7,CA-0001-jl2022.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2022/Julio/CA-0001-jl2022.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2022,8,CA-0001-ag2022.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2022/Agosto/CA-0001-ag2022.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2022,9,CA-0001-se2022.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2022/Setiembre/CA-0001-se2022.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2022,10,CA-0001-oc2022.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2022/Octubre/CA-0001-oc2022.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2022,11,CA-0001-no2022.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2022/Noviembre/CA-0001-no2022.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2022,12,CA-0001-di2022.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2022/Diciembre/CA-0001-di2022.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
2023,1,CA-0001-en2023.XLS,https://intranet2.sbs.gob.pe/estadistica/spp/2023/Enero/CA-0001-en2023.XLS,reutilizado,1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13,correcto,correcto,correcto,correcto,
