factor,coef_estandarizado,coef_original,coef_abs_estandarizado,retorno_factor,contribucion_retorno,contribucion_puntos_pct,afp,fecha,retorno_real_pct,retorno_estimado_pct,residual_pct,intercepto_pct,ranking_contribucion,columna_modelo,ticker,nombre,grupo,moneda
ret_HYG,-0.0011595601905813335,-0.09172030860725827,0.0011595601905813335,0.01958043736569,-0.0017959237578461782,-0.1795923757846178,Integra,2026-06-30,1.3681151070292699,1.2746971500817896,0.09341795694748026,0.07580786216622734,7,ret_HYG,HYG,Bonos corporativos alto rendimiento,bonos,USD
ret_QQQ,0.0006738086437839638,0.043041645500935005,0.0006738086437839638,0.0374469865912783,0.001611779921940067,0.16117799219400672,Integra,2026-06-30,1.3681151070292699,1.2746971500817896,0.09341795694748026,0.07580786216622734,8,ret_QQQ,QQQ,Estados Unidos - Nasdaq 100,mercado,USD
ret_GLD,0.001407266381802674,0.07391705475406654,0.001407266381802674,0.0195369753920255,0.0014441156797811996,0.14441156797811996,Integra,2026-06-30,1.3681151070292699,1.2746971500817896,0.09341795694748026,0.07580786216622734,9,ret_GLD,GLD,Oro,materia_prima,USD
ret_LQD,-0.0010112286296534861,-0.07993408196089044,0.0010112286296534861,0.0142321469206543,-0.0011376335984350154,-0.11376335984350154,Integra,2026-06-30,1.3681151070292699,1.2746971500817896,0.09341795694748026,0.07580786216622734,10,ret_LQD,LQD,Bonos corporativos grado inversión,bonos,USD
ret_XLB,0.000724381044482849,0.045657527711678685,0.000724381044482849,0.0235136115820582,0.001073573372409471,0.1073573372409471,Integra,2026-06-30,1.3681151070292699,1.2746971500817896,0.09341795694748026,0.07580786216622734,11,ret_XLB,XLB,Materiales,sector,USD
ret_IDX_VIX,-0.0009810853615688207,-0.015513080124140748,0.0009810853615688207,-0.0679886051856325,0.0010547126797732882,0.10547126797732882,Integra,2026-06-30,1.3681151070292699,1.2746971500817896,0.09341795694748026,0.07580786216622734,12,ret_IDX_VIX,^VIX,Volatilidad VIX,riesgo,INDICE
ret_XLF,-0.0006239837756875302,-0.04304657232855694,0.0006239837756875302,0.0180016449695503,-0.00077490911221475,-0.077490911221475,Integra,2026-06-30,1.3681151070292699,1.2746971500817896,0.09341795694748026,0.07580786216622734,13,ret_XLF,XLF,Finanzas,sector,USD
ret_VGK,0.0004213789044504343,0.028623912537024208,0.0004213789044504343,0.0255343434690975,0.0007308928141497821,0.07308928141497821,Integra,2026-06-30,1.3681151070292699,1.2746971500817896,0.09341795694748026,0.07580786216622734,14,ret_VGK,VGK,Europa,region,USD
ret_EWJ,0.0005100464108267976,0.03123878119290243,0.0005100464108267976,0.020747062738385,0.0006481129532798281,0.06481129532798281,Integra,2026-06-30,1.3681151070292699,1.2746971500817896,0.09341795694748026,0.07580786216622734,15,ret_EWJ,EWJ,Japón,region,USD
ret_XLE,-0.0009448400340034795,-0.054186419752081126,0.0009448400340034795,0.0111422645451151,-0.0006037594236303381,-0.06037594236303381,Integra,2026-06-30,1.3681151070292699,1.2746971500817896,0.09341795694748026,0.07580786216622734,16,ret_XLE,XLE,Energía,sector,USD
ret_ACWI,0.0002928810001287527,0.020610787347922557,0.0002928810001287527,0.0276189933759878,0.0005692491992361663,0.056924919923616625,Integra,2026-06-30,1.3681151070292699,1.2746971500817896,0.09341795694748026,0.07580786216622734,17,ret_ACWI,ACWI,Acciones globales,mercado,USD
