identificador,motivo_revision,accion_sugerida,ticker_provisional,nombre_provisional,peso_max_total_fondo_pct,meses_presentes,peso_universo_pct,meses_universo,gestora_reportada,lista_afp,peso_prioridad_pct,meses_prioridad
PAI69PA00017,sin_coincidencia,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.2119042398745023,7,0.2119042398745023,7,Avianca,Profuturo,0.2119042398745023,7
LU1156968403,sin_coincidencia,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.1971780294758453,22,0.1971780294758453,22,ALLIANZ,Habitat,0.1971780294758453,22
PRIVFAEV5FSC,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.1896507467173747,27,0.1896507467173747,27,Vitruvian Luxca | Vitruvian Luxcar General Partner S.à.r.l,Habitat,0.1896507467173747,27
LU1232062742,sin_coincidencia,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.1549174977407355,76,0.1549174977407355,76,AZ Fund Managem,Habitat,0.1549174977407355,76
CA5171036026,sin_coincidencia,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.1537945721049733,8,0.1537945721049733,8,Largo Resources,Integra | Prima,0.1537945721049733,8
US29274F1049,sin_coincidencia,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.1496236832450598,43,0.1496236832450598,43,ENERSIS,Integra,0.1496236832450598,43
LU1273585916,sin_coincidencia,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.1341223418107085,15,0.1341223418107085,15,PIONEER,Habitat,0.1341223418107085,15
PRIVFAEBCDSS,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.1027875087923286,68,0.1027875087923286,68,"Bain Capital DS | Bain Capital Distressed and Special Situation | Bain Capital Distressed and Special Situations 2019 Investors, LLC",Habitat,0.1027875087923286,68
PRIVFAEIPC13,sin_coincidencia,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.100265697183904,11,0.100265697183904,11,"Insight A XIII | Insight Partners XIII, L.P.",Habitat,0.100265697183904,11
IE00B53QG56X,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.0986429003573505,1,0.0986429003573505,1,BlackRock AMIL,Prima,0.0986429003573505,1
IE00B53QG56X,correccion_checksum_propuesta,revisar contra IE00B53QG562 (alta),CSEMU,ISHARES CORE MSCI EMU EUR A,0.0986429003573505,1,0.0986429003573505,1,BlackRock AMIL,Prima,0.0986429003573505,1
BRCIELACNOR3,sin_coincidencia,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.0962570566377593,30,0.0962570566377593,30,Cielo,Integra,0.0962570566377593,30
PRIVFAETF6SC,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.0572223824321556,6,0.0572223824321556,6,Triton Fund 6 General Partner SARL,Habitat,0.0572223824321556,6
LU196682546X,no_consultado_identificador_no_estandar,buscar fuente secundaria o comprobar si el instrumento fue liquidado,,,0.0525039453511732,24,0.0525039453511732,24,"Joh. Berenberg, | Joh. Berenberg, Gossier & Co. KG",Habitat,0.0525039453511732,24
