afp,factor,rezago_dias_mercado,correlacion_raw,correlacion_winsorizada,observaciones,correlacion_abs_raw,correlacion_abs_winsorizada,cambio_por_extremos
Integra,ret_XLI,3,0.0319713310952064,0.023114508845745393,2559,0.0319713310952064,0.023114508845745393,-0.008856822249461004
Integra,ret_XLV,0,0.2519782685935914,0.23654851297781204,2672,0.2519782685935914,0.23654851297781204,-0.015429755615779361
Integra,ret_XLV,1,0.0649849201025179,0.0883491692187465,2565,0.0649849201025179,0.0883491692187465,0.0233642491162286
Integra,ret_XLV,2,-0.0003052506079448942,-0.012555471339887266,2563,0.0003052506079448942,0.012555471339887266,-0.012250220731942372
Integra,ret_XLV,3,0.007412962044000773,0.009840314176452694,2559,0.007412962044000773,0.009840314176452694,0.0024273521324519208
Integra,ret_XLY,0,0.3413111294153051,0.3316041962038663,2672,0.3413111294153051,0.3316041962038663,-0.00970693321143884
Integra,ret_XLY,1,0.1006919996221695,0.12366774921015772,2565,0.1006919996221695,0.12366774921015772,0.022975749587988217
Integra,ret_XLY,2,0.025600407631285446,0.021607177452203353,2563,0.025600407631285446,0.021607177452203353,-0.003993230179082093
Integra,ret_XLY,3,0.024069153430112046,0.016482555098996324,2559,0.024069153430112046,0.016482555098996324,-0.007586598331115722
Integra,ret_XLP,0,0.1713735359712413,0.14991300553000506,2672,0.1713735359712413,0.14991300553000506,-0.021460530441236247
Integra,ret_XLP,1,0.042697537107079325,0.0664985586258904,2565,0.042697537107079325,0.0664985586258904,0.02380102151881107
Integra,ret_XLP,2,0.0004245338045670483,-0.00790499447145829,2563,0.0004245338045670483,0.00790499447145829,-0.008329528276025337
Integra,ret_XLP,3,-0.010070117549846673,-0.0035302808468972097,2559,0.010070117549846673,0.0035302808468972097,0.006539836702949464
Integra,ret_GLD,0,0.1151941351286205,0.08940983915459849,2672,0.1151941351286205,0.08940983915459849,-0.025784295974022015
Integra,ret_GLD,1,-0.007823658297028807,-0.010798001447569048,2565,0.007823658297028807,0.010798001447569048,-0.002974343150540241
Integra,ret_GLD,2,-0.012875319866854203,-0.013057082272681,2563,0.012875319866854203,0.013057082272681,-0.00018176240582679776
Integra,ret_GLD,3,0.011731384319253444,0.010854870846561903,2559,0.011731384319253444,0.010854870846561903,-0.0008765134726915411
Integra,ret_CPER,0,0.21946606730600662,0.250865125691836,2672,0.21946606730600662,0.250865125691836,0.031399058385829376
Integra,ret_CPER,1,0.026825375215215275,0.039423535275252476,2565,0.026825375215215275,0.039423535275252476,0.012598160060037202
Integra,ret_CPER,2,0.019634077475638997,0.02145340164027006,2563,0.019634077475638997,0.02145340164027006,0.0018193241646310629
Integra,ret_CPER,3,0.025434062868517557,0.04073216555935016,2559,0.025434062868517557,0.04073216555935016,0.0152981026908326
Integra,ret_COPX,0,0.4745719067647528,0.4625180984062375,2672,0.4745719067647528,0.4625180984062375,-0.012053808358515328
Integra,ret_COPX,1,0.09281523459062975,0.10946411422973801,2565,0.09281523459062975,0.10946411422973801,0.016648879639108258
Integra,ret_COPX,2,0.03513144052444181,0.036689330617182395,2563,0.03513144052444181,0.036689330617182395,0.0015578900927405853
Integra,ret_COPX,3,0.037688639315927794,0.024497218304736702,2559,0.037688639315927794,0.024497218304736702,-0.013191421011191092
Integra,ret_USO,0,0.16257309507270848,0.15991480187039236,2672,0.16257309507270848,0.15991480187039236,-0.0026582932023161143
Integra,ret_USO,1,0.05889836384556755,0.07036999698744777,2565,0.05889836384556755,0.07036999698744777,0.011471633141880218
Integra,ret_USO,2,-0.004740588785714735,-0.00597761502084749,2563,0.004740588785714735,0.00597761502084749,-0.0012370262351327549
Integra,ret_USO,3,0.06831069875811759,0.03581601758748893,2559,0.06831069875811759,0.03581601758748893,-0.032494681170628655
Integra,ret_TLT,0,-0.07259463987572087,-0.08715951169565711,2672,0.07259463987572087,0.08715951169565711,-0.014564871819936237
Integra,ret_TLT,1,-0.01704558451006579,-0.02003003392250148,2565,0.01704558451006579,0.02003003392250148,-0.00298444941243569
Integra,ret_TLT,2,-0.008282714013713117,-0.018627770871522294,2563,0.008282714013713117,0.018627770871522294,-0.010345056857809176
Integra,ret_TLT,3,0.0063012566426674235,0.008160672589082138,2559,0.0063012566426674235,0.008160672589082138,0.0018594159464147145
Integra,ret_LQD,0,0.04985392721619356,0.027091801815242008,2672,0.04985392721619356,0.027091801815242008,-0.022762125400951554
Integra,ret_LQD,1,0.022169762364716242,0.021497150361734635,2565,0.022169762364716242,0.021497150361734635,-0.0006726120029816075
Integra,ret_LQD,2,0.008161663049289634,-0.0028519624293573994,2563,0.008161663049289634,0.0028519624293573994,-0.011013625478647034
Integra,ret_LQD,3,0.013158350397705632,0.017674791782221484,2559,0.013158350397705632,0.017674791782221484,0.004516441384515853
Integra,ret_HYG,0,0.14629479339235918,0.1334566692723896,2672,0.14629479339235918,0.1334566692723896,-0.012838124119969568
Integra,ret_HYG,1,0.04861145384137907,0.057021538214161206,2565,0.04861145384137907,0.057021538214161206,0.008410084372782137
Integra,ret_HYG,2,0.005352593346241807,-0.0031127048513689276,2563,0.005352593346241807,0.0031127048513689276,-0.008465298197610735
Integra,ret_HYG,3,0.02537591437465275,0.027250324345001263,2559,0.02537591437465275,0.027250324345001263,0.0018744099703485138
Integra,ret_IDX_VIX,0,-0.46142519745714067,-0.47313722914492706,2695,0.46142519745714067,0.47313722914492706,-0.011712031687786395
Integra,ret_IDX_VIX,1,-0.17263168728093367,-0.18766170968363302,2583,0.17263168728093367,0.18766170968363302,-0.01503002240269935
Integra,ret_IDX_VIX,2,-0.047678054494143085,-0.054295907925508674,2583,0.047678054494143085,0.054295907925508674,-0.006617853431365589
Integra,ret_IDX_VIX,3,-0.034456263259724916,-0.03235639810106541,2583,0.034456263259724916,0.03235639810106541,0.0020998651586595085
Integra,ret_DX_Y_NYB,0,-0.09442260232303677,-0.09490419799600433,2775,0.09442260232303677,0.09490419799600433,-0.000481595672967558
Integra,ret_DX_Y_NYB,1,0.0009123637710957316,0.002674164934622689,2762,0.0009123637710957316,0.002674164934622689,0.0017618011635269573
Integra,ret_DX_Y_NYB,2,-0.05523382096540697,-0.05082902940511356,2759,0.05523382096540697,0.05082902940511356,0.004404791560293414
Integra,ret_DX_Y_NYB,3,0.0019142084735364702,0.0065472666418048674,2754,0.0019142084735364702,0.0065472666418048674,0.004633058168268397
Integra,ret_PEN_X,0,-0.010068335367970674,-0.013926665986900514,2859,0.010068335367970674,0.013926665986900514,-0.0038583306189298398
Integra,ret_PEN_X,1,-0.0010257927208937505,-0.001882086357664062,2759,0.0010257927208937505,0.001882086357664062,-0.0008562936367703116
Integra,ret_PEN_X,2,-0.02476658752818213,-0.033965664149125864,2761,0.02476658752818213,0.033965664149125864,-0.009199076620943734
Integra,ret_PEN_X,3,-0.007121404842750351,0.010888807868789357,2764,0.007121404842750351,0.010888807868789357,0.018010212711539707
Prima,ret_ACWI,0,0.3852814065892931,0.3566871812022673,2672,0.3852814065892931,0.3566871812022673,-0.02859422538702583
