fecha_cartera,anio,mes,afp,fondo,monto_miles_soles,participacion_pct,archivo_fuente,hoja_fuente,fila_excel_aprox,nivel_profundidad,descripcion,ruta_jerarquica,nivel_1,nivel_2,nivel_3,tipo_fila,es_hoja
2015-05-31,2015,5,Prima,3,4833662.14945072,58.34011874586149,FP-1356-my2015.XLS,Fondo3xIntru,41,1,II. INVERSIONES EN EL EXTERIOR,II. INVERSIONES EN EL EXTERIOR,II. INVERSIONES EN EL EXTERIOR,,,categoria_nivel_1,False
2015-05-31,2015,5,Prima,3,235011.8207023899,2.836486519442937,FP-1356-my2015.XLS,Fondo3xIntru,58,1,III. OPERACIONES EN TRÁNSITO,III. OPERACIONES EN TRÁNSITO,III. OPERACIONES EN TRÁNSITO,,,categoria_nivel_1,True
2015-05-31,2015,5,Profuturo,3,2083938.2675297556,36.111311603106756,FP-1356-my2015.XLS,Fondo3xIntru,6,1,I. INVERSIONES LOCALES,I. INVERSIONES LOCALES,I. INVERSIONES LOCALES,,,categoria_nivel_1,False
2015-05-31,2015,5,Profuturo,3,3657964.9156645047,63.38667174597913,FP-1356-my2015.XLS,Fondo3xIntru,41,1,II. INVERSIONES EN EL EXTERIOR,II. INVERSIONES EN EL EXTERIOR,II. INVERSIONES EN EL EXTERIOR,,,categoria_nivel_1,False
2015-05-31,2015,5,Profuturo,3,28970.748038048594,0.5020166509141224,FP-1356-my2015.XLS,Fondo3xIntru,58,1,III. OPERACIONES EN TRÁNSITO,III. OPERACIONES EN TRÁNSITO,III. OPERACIONES EN TRÁNSITO,,,categoria_nivel_1,True
2015-06-30,2015,6,Habitat,3,47701.5030920897,35.338891304912295,FP-1356-jn2015.XLS,Fondo3xIntru,6,1,I. INVERSIONES LOCALES,I. INVERSIONES LOCALES,I. INVERSIONES LOCALES,,,categoria_nivel_1,False
2015-06-30,2015,6,Habitat,3,87397.26332124509,64.74685677920378,FP-1356-jn2015.XLS,Fondo3xIntru,41,1,II. INVERSIONES EN EL EXTERIOR,II. INVERSIONES EN EL EXTERIOR,II. INVERSIONES EN EL EXTERIOR,,,categoria_nivel_1,False
2015-06-30,2015,6,Habitat,3,-115.74535444000003,-0.08574808411607478,FP-1356-jn2015.XLS,Fondo3xIntru,58,1,III. OPERACIONES EN TRÁNSITO,III. OPERACIONES EN TRÁNSITO,III. OPERACIONES EN TRÁNSITO,,,categoria_nivel_1,True
2015-06-30,2015,6,Integra,3,3092540.373674508,36.124287087714116,FP-1356-jn2015.XLS,Fondo3xIntru,6,1,I. INVERSIONES LOCALES,I. INVERSIONES LOCALES,I. INVERSIONES LOCALES,,,categoria_nivel_1,False
2015-06-30,2015,6,Integra,3,5341215.4879136775,62.39129594724786,FP-1356-jn2015.XLS,Fondo3xIntru,41,1,II. INVERSIONES EN EL EXTERIOR,II. INVERSIONES EN EL EXTERIOR,II. INVERSIONES EN EL EXTERIOR,,,categoria_nivel_1,False
2015-06-30,2015,6,Integra,3,127078.47727488363,1.4844169650380177,FP-1356-jn2015.XLS,Fondo3xIntru,58,1,III. OPERACIONES EN TRÁNSITO,III. OPERACIONES EN TRÁNSITO,III. OPERACIONES EN TRÁNSITO,,,categoria_nivel_1,True
2015-06-30,2015,6,Prima,3,3278426.8108833777,40.24596094476406,FP-1356-jn2015.XLS,Fondo3xIntru,6,1,I. INVERSIONES LOCALES,I. INVERSIONES LOCALES,I. INVERSIONES LOCALES,,,categoria_nivel_1,False
2015-06-30,2015,6,Prima,3,4965286.293677065,60.95384456700871,FP-1356-jn2015.XLS,Fondo3xIntru,41,1,II. INVERSIONES EN EL EXTERIOR,II. INVERSIONES EN EL EXTERIOR,II. INVERSIONES EN EL EXTERIOR,,,categoria_nivel_1,False
