anio,mes,archivo,hoja,fecha_cartera,fila_codigos,fila_inicio_datos,frontera_metadatos_columna,afp_fondo3_detectadas,numero_afp_detectadas,unidad,filas_base,filas_canonicas,registros_largos,registros_refinados,parejas_exactas_originales,parejas_exactas_heuristicas,pendientes,fusiones_nuevas,incidencias_iniciales,estado_proceso,error,grupos_reconciliados,grupos_sin_isin,grupos_revisar,registros_isin,fondos_sin_isin_pareja
2022,8,CA-0001-ag2022.XLS,3,2022-08-31,4,6,2,Habitat | Integra | Prima | Profuturo,4,miles_soles,736,367,398,381.0,303.0,17.0,61.0,17.0,49.0,correcto,,,,,,
2022,8,CA-0001-ag2022.XLS,9,2022-08-31,3,4,2,Habitat | Integra | Prima | Profuturo,4,unidades,44,23,48,,,,,,,correcto,,,,,,
2022,8,CA-0001-ag2022.XLS,10,2022-08-31,4,6,5,Habitat | Integra | Prima | Profuturo,4,miles_soles,653,449,382,331.0,,,74.0,51.0,,correcto,,148.0,129.0,2.0,206.0,51.0
2022,9,CA-0001-se2022.XLS,3,2022-09-30,4,6,2,Habitat | Integra | Prima | Profuturo,4,miles_soles,727,362,401,384.0,306.0,17.0,61.0,17.0,49.0,correcto,,,,,,
2022,9,CA-0001-se2022.XLS,9,2022-09-30,3,4,2,Habitat | Integra | Prima | Profuturo,4,unidades,43,22,46,,,,,,,correcto,,,,,,
2022,9,CA-0001-se2022.XLS,10,2022-09-30,4,6,5,Habitat | Integra | Prima | Profuturo,4,miles_soles,642,444,369,318.0,,,76.0,51.0,,correcto,,148.0,131.0,1.0,191.0,51.0
2022,10,CA-0001-oc2022.XLS,3,2022-10-31,4,6,2,Habitat | Integra | Prima | Profuturo,4,miles_soles,730,364,400,384.0,307.0,16.0,61.0,16.0,48.0,correcto,,,,,,
2022,10,CA-0001-oc2022.XLS,9,2022-10-31,3,4,2,Habitat | Integra | Prima | Profuturo,4,unidades,43,22,45,,,,,,,correcto,,,,,,
2022,10,CA-0001-oc2022.XLS,10,2022-10-31,4,6,5,Habitat | Integra | Prima | Profuturo,4,miles_soles,637,438,369,318.0,,,75.0,51.0,,correcto,,148.0,130.0,1.0,192.0,51.0
2022,11,CA-0001-no2022.XLS,3,2022-11-30,4,6,2,Habitat | Integra | Prima | Profuturo,4,miles_soles,728,362,405,388.0,310.0,17.0,61.0,17.0,50.0,correcto,,,,,,
2022,11,CA-0001-no2022.XLS,9,2022-11-30,3,4,2,Habitat | Integra | Prima | Profuturo,4,unidades,45,23,46,,,,,,,correcto,,,,,,
2022,11,CA-0001-no2022.XLS,10,2022-11-30,4,6,5,Habitat | Integra | Prima | Profuturo,4,miles_soles,641,440,374,323.0,,,69.0,51.0,,correcto,,151.0,125.0,1.0,203.0,51.0
2022,12,CA-0001-di2022.XLS,3,2022-12-30,4,6,2,Habitat | Integra | Prima | Profuturo,4,miles_soles,739,365,407,389.0,314.0,18.0,57.0,18.0,54.0,correcto,,,,,,
2022,12,CA-0001-di2022.XLS,9,2022-12-30,3,4,2,Habitat | Integra | Prima | Profuturo,4,unidades,45,23,46,,,,,,,correcto,,,,,,
2022,12,CA-0001-di2022.XLS,10,2022-12-30,4,6,5,Habitat | Integra | Prima | Profuturo,4,miles_soles,649,444,377,326.0,,,75.0,51.0,,correcto,,151.0,127.0,1.0,200.0,51.0
2023,1,CA-0001-en2023.XLS,3,2023-01-31,4,6,2,Habitat | Integra | Prima | Profuturo,4,miles_soles,742,366,409,391.0,321.0,18.0,52.0,18.0,48.0,correcto,,,,,,
2023,1,CA-0001-en2023.XLS,9,2023-01-31,3,4,2,Habitat | Integra | Prima | Profuturo,4,unidades,45,23,46,,,,,,,correcto,,,,,,
2023,1,CA-0001-en2023.XLS,10,2023-01-31,4,6,5,Habitat | Integra | Prima | Profuturo,4,miles_soles,662,453,383,332.0,,,73.0,51.0,,correcto,,156.0,127.0,1.0,208.0,51.0
2023,2,CA-0001-fe2023.XLS,3,2023-02-28,4,6,2,Habitat | Integra | Prima | Profuturo,4,miles_soles,731,360,403,386.0,310.0,17.0,59.0,17.0,54.0,correcto,,,,,,
2023,2,CA-0001-fe2023.XLS,9,2023-02-28,3,4,2,Habitat | Integra | Prima | Profuturo,4,unidades,45,23,46,,,,,,,correcto,,,,,,
2023,2,CA-0001-fe2023.XLS,10,2023-02-28,4,6,5,Habitat | Integra | Prima | Profuturo,4,miles_soles,653,450,373,322.0,,,73.0,51.0,,correcto,,153.0,128.0,1.0,198.0,51.0
2023,3,CA-0001-ma2023.XLS,3,2023-03-31,4,6,2,Habitat | Integra | Prima | Profuturo,4,miles_soles,724,357,397,379.0,303.0,18.0,58.0,18.0,53.0,correcto,,,,,,
2023,3,CA-0001-ma2023.XLS,9,2023-03-31,3,4,2,Habitat | Integra | Prima | Profuturo,4,unidades,46,23,46,,,,,,,correcto,,,,,,
2023,3,CA-0001-ma2023.XLS,10,2023-03-31,4,6,5,Habitat | Integra | Prima | Profuturo,4,miles_soles,658,451,367,316.0,,,67.0,51.0,,correcto,,152.0,124.0,1.0,198.0,51.0
2023,4,CA-0001-ab2023.XLS,3,2023-04-28,4,6,2,Habitat | Integra | Prima | Profuturo,4,miles_soles,728,359,405,386.0,310.0,19.0,57.0,19.0,51.0,correcto,,,,,,
2023,4,CA-0001-ab2023.XLS,9,2023-04-28,3,4,2,Habitat | Integra | Prima | Profuturo,4,unidades,46,23,46,,,,,,,correcto,,,,,,
2023,4,CA-0001-ab2023.XLS,10,2023-04-28,4,6,5,Habitat | Integra | Prima | Profuturo,4,miles_soles,670,464,387,336.0,,,77.0,51.0,,correcto,,153.0,131.0,1.0,208.0,51.0
2023,5,CA-0001-my2023.XLS,3,2023-05-31,4,6,2,Habitat | Integra | Prima | Profuturo,4,miles_soles,723,357,410,391.0,317.0,19.0,55.0,19.0,49.0,correcto,,,,,,
2023,5,CA-0001-my2023.XLS,9,2023-05-31,3,4,2,Habitat | Integra | Prima | Profuturo,4,unidades,46,23,46,,,,,,,correcto,,,,,,
2023,5,CA-0001-my2023.XLS,10,2023-05-31,4,6,5,Habitat | Integra | Prima | Profuturo,4,miles_soles,669,464,396,345.0,,,74.0,51.0,,correcto,,155.0,128.0,1.0,220.0,51.0
