fecha_cartera,afp,fondo,instrumento_id,tipo_id,moneda,peso_fondo,peso_fondo_pct,monto_miles_soles,archivo,grupo,entidad_administradora,isin,estado_identificacion,estado_cobertura,fuente_precio_sugerida,ticker_precio,proxy_si_no_hay_precio,estado_mapeo_precio
2026-01-30,Habitat,3,Metropolitan Real Estate Partners Secondaries Fund EUI-II L.P.,fondo_sin_isin,USD,0.0010615142109289,0.1061514210928955,5292.958295522119,CA-0001-en2026.XLS,256,"MREP-SCIF II GP, L.P.",,entidad_sin_isin,estricto,proxy_pendiente,,,pendiente
2026-01-30,Habitat,3,LU0248053877,isin,USD,0.0008890057655697,0.0889005765569734,4432.790812589738,CA-0001-en2026.XLS,101,JP MORGAN ASSET MANAGMENT (EUROPE),LU0248053877,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,PRIVFAEIPC13,isin,USD,0.000872166904618,0.0872166904618045,4348.828310869306,CA-0001-en2026.XLS,325,"Insight Partners XIII, L.P.",PRIVFAEIPC13,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,LU1997245763,isin,USD,0.0008139492188921,0.0813949218892131,4058.541304405765,CA-0001-en2026.XLS,73,ALLIANZ GLOBAL INVESTORS,LU1997245763,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,LU1951186714,isin,USD,0.0007558843404587,0.0755884340458746,3769.0162308662248,CA-0001-en2026.XLS,89,UBS GLOBAL ASSET MANAGEMENT (US) INC.,LU1951186714,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,PRIVFAETF6SC,isin,EUR,0.0005094235982626,0.0509423598262605,2540.1052878973123,CA-0001-en2026.XLS,323,Triton Fund 6 General Partner SARL,PRIVFAETF6SC,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,LU1529950328,isin,USD,0.0004958402660943,0.0495840266094303,2472.375614624145,CA-0001-en2026.XLS,96,Robeco Luxembourg S.A.,LU1529950328,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,PRIVFAEBCDSS,isin,USD,0.0004871186521767,0.0487118652176725,2428.887606399567,CA-0001-en2026.XLS,295,Bain Capital Distressed and Special Situation,PRIVFAEBCDSS,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,LU0260086037,isin,EUR,0.0004698085272467,0.0469808527246775,2342.575272187552,CA-0001-en2026.XLS,119,Jupiter Unit Trust Managers Limited,LU0260086037,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,LU0248044025,isin,USD,0.0004648604271242,0.0464860427124207,2317.902886908881,CA-0001-en2026.XLS,101,JP MORGAN ASSET MANAGMENT (EUROPE),LU0248044025,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,LU0048575426,isin,USD,0.0004259822832163,0.0425982283216371,2124.047362232109,CA-0001-en2026.XLS,79,FIDELITY INTERNATIONAL LTD.,LU0048575426,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,GB00B0119487,isin,GBP,0.0004250094394243,0.0425009439424382,2119.196535398103,CA-0001-en2026.XLS,112,Man Fund Management UK Limited,GB00B0119487,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,LU1378878604,isin,USD,0.0003624426532603,0.0362442653260394,1807.2238962743816,CA-0001-en2026.XLS,136,MSIM Fund Management (Ireland) Limited,LU1378878604,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,LU0852482198,isin,EUR,0.0003563871858054,0.0356387185805407,1777.0299183048446,CA-0001-en2026.XLS,73,ALLIANZ GLOBAL INVESTORS,LU0852482198,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,LU196682546X,isin,EUR,0.0003519910963526,0.0351991096352659,1755.1099874200625,CA-0001-en2026.XLS,133,"Joh. Berenberg, Gossier & Co. KG",LU196682546X,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,PRIVFAEIEF6S,isin,EUR,0.0003064101767823,0.0306410176782389,1527.8328545535535,CA-0001-en2026.XLS,324,InfraVia GP VI Sàrl,PRIVFAEIEF6S,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,LU0440072402,isin,USD,0.000230349653391,0.0230349653391038,1148.577283501241,CA-0001-en2026.XLS,96,Robeco Luxembourg S.A.,LU0440072402,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,US46641Q2176,isin,USD,0.0001631958826128,0.0163195882612838,813.7328655400239,CA-0001-en2026.XLS,141,J.P. Morgan Investment Management Inc.,US46641Q2176,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,LU1887442066,isin,USD,4.524162067833094e-05,0.004524162067833,225.58530918081456,CA-0001-en2026.XLS,106,Invesco Management S.A.,LU1887442066,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,LU0936248318,isin,USD,4.405087137913475e-05,0.0044050871379134,219.6479544886413,CA-0001-en2026.XLS,96,Robeco Luxembourg S.A.,LU0936248318,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,LU1694772994,isin,USD,3.893588571866628e-05,0.0038935885718666,194.14343885963177,CA-0001-en2026.XLS,74,AXA FUNDS MANAGEMENT,LU1694772994,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,LU0823432371,isin,EUR,2.4089752488112697e-05,0.0024089752488112,120.11714394049164,CA-0001-en2026.XLS,76,BNP PARIBAS INVESTMENT PARTNERS LUXEMBOURG,LU0823432371,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,PRIVFAEVECIX,isin,USD,2.0500861942790143e-05,0.002050086194279,102.2220957272772,CA-0001-en2026.XLS,322,"Veritas Capital Partners IX, L.L.C",PRIVFAEVECIX,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,LU0338482002,isin,USD,1.8371762248806765e-05,0.0018371762248806,91.60590635247743,CA-0001-en2026.XLS,94,Pictet Asset Management (Europe) S.A.,LU0338482002,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,PRIVFAEICG9F,isin,EUR,4.406664600375811e-06,0.0004406664600375,21.972661045895176,CA-0001-en2026.XLS,235,ICG EUROPE FUND VI FEEDER LIMITED PARTNERSHIP,PRIVFAEICG9F,isin,estricto,mapear_isin_a_ticker,,,pendiente
2026-01-30,Habitat,3,LU0675296932,isin,EUR,1.9682020451894103e-06,0.0001968202045189,9.81391604096586,CA-0001-en2026.XLS,107,Groupama Asset Management,LU0675296932,isin,estricto,mapear_isin_a_ticker,,,pendiente
