afp,modelo,segmento,tipo_features,parametros,n,mae,rmse,r2,sesgo,correlacion,direccion_diaria_pct
Profuturo,ARDL_RIDGE,prueba,ardl,"{""alpha"": 0.001}",593,0.004980896865376085,0.007209922931451737,0.2270398237518031,0.0003553535715837893,0.5035812183556212,62.22596964586846
Habitat,RETORNO_CERO,entrenamiento,baseline,{},1779,0.0036758065779538,0.0051583425110919,-0.0048170729789169,-0.0003571562758613,,
Habitat,RETORNO_CERO,validacion,baseline,{},593,0.0042400610356398,0.0058513644253249,-0.0009049422251423,-0.0001759426612598,,
Habitat,RETORNO_CERO,prueba,baseline,{},593,0.0050647504719616,0.0074935493258544,-0.010054072628495,-0.000747629221026,,
Habitat,MEDIA_EXPANSIVA,entrenamiento,baseline,{},1719,0.0036460606913506,0.0051663882802169,-0.0020994382073324,-6.040683309320005e-05,-0.0286624880498006,55.67190226876091
Habitat,MEDIA_EXPANSIVA,validacion,baseline,{},593,0.0042366913830893,0.0058523025272526,-0.0012259019380342,0.0001307480321327,-0.0647994401496767,51.602023608768974
Habitat,MEDIA_EXPANSIVA,prueba,baseline,{},593,0.0050242401932004,0.0074676836862104,-0.003093257605238,-0.0004393965469086,0.0469981126804716,57.335581787521086
Integra,RETORNO_CERO,entrenamiento,baseline,{},1779,0.0035965000817214,0.0050799244752591,-0.0035778536173818,-0.0003033143832019,,
Integra,RETORNO_CERO,validacion,baseline,{},593,0.0036601057272684,0.0060356668535914,-4.412437118128665e-06,1.2678374231395257e-05,,
Integra,RETORNO_CERO,prueba,baseline,{},593,0.0053950157014237,0.0079296470559247,-0.0045574365996807,-0.0005341051786697,,
Integra,MEDIA_EXPANSIVA,entrenamiento,baseline,{},1719,0.0035778797534171,0.0050950438832927,-0.0021248709262371,-9.918819039865963e-05,-0.0234403779093622,55.61372891215824
Integra,MEDIA_EXPANSIVA,validacion,baseline,{},593,0.003665621149904,0.0060433730281633,-0.0025595992293399,0.0002389072263138,-0.0731689905129493,50.5902192242833
Integra,MEDIA_EXPANSIVA,prueba,baseline,{},593,0.005373004299099,0.0079179124029054,-0.001586456790565,-0.0003279127254944,0.0184567385513697,56.15514333895448
Prima,RETORNO_CERO,entrenamiento,baseline,{},1779,0.0035186914674198,0.0050932382096211,-0.0026844669162042,-0.0002635365601566,,
Prima,RETORNO_CERO,validacion,baseline,{},593,0.0034199398481546,0.0048771137242534,-2.329901066611129e-05,-2.354108976796688e-05,,
Prima,RETORNO_CERO,prueba,baseline,{},593,0.0055260640867467,0.0084036442695453,-0.003927888921664,-0.0005256491900488,,
Prima,MEDIA_EXPANSIVA,entrenamiento,baseline,{},1719,0.0034941205319916,0.005104431683853,-0.0019551750066499,-8.34247461008934e-05,-0.0231077039460384,55.26468877254218
Prima,MEDIA_EXPANSIVA,validacion,baseline,{},593,0.003421513033667,0.004882722322477,-0.0023246412336894,0.0001704113452524,-0.0740684620892205,51.433389544688026
Prima,MEDIA_EXPANSIVA,prueba,baseline,{},593,0.0055066827051544,0.0083936478313525,-0.0015408925533069,-0.0003440734261268,0.020341781065546,55.81787521079258
Profuturo,RETORNO_CERO,entrenamiento,baseline,{},1779,0.0037177089030954,0.0052795202156541,-0.0043185940872503,-0.0003462022598249,,
Profuturo,RETORNO_CERO,validacion,baseline,{},593,0.0036932702979635,0.0052096916091305,-8.130991933086307e-05,-4.69749282387976e-05,,
Profuturo,RETORNO_CERO,prueba,baseline,{},593,0.0055499852333663,0.0082170037168001,-0.0039748670713848,-0.0005170271718433,,
Profuturo,MEDIA_EXPANSIVA,entrenamiento,baseline,{},1719,0.0036887662742763,0.0052818634991418,-0.0021682809918992,-8.482370126727102e-05,-0.0275460743765015,54.45026178010471
Profuturo,MEDIA_EXPANSIVA,validacion,baseline,{},593,0.0036957458886726,0.0052172374255258,-0.0029804815816449,0.0002202359454743,-0.0717663911841541,50.92748735244519
Profuturo,MEDIA_EXPANSIVA,prueba,baseline,{},593,0.0055291530358476,0.0082051326612559,-0.0010760896783377,-0.0002596924121685,-0.0088432625853748,55.4806070826307
