fecha_cartera,archivo,hoja,fila_excel_aprox,afp,fondo,valor,tipo_valor,participacion_reportada,identificador_especifico,categoria_instrumento,estado_pareja,moneda,total_canonico,participacion_calculada_pct,estado_refinado,fila_categoria_origen,total_refinado,participacion_hoja3_refinada_pct,fuente_detalle,identificador_final,categoria_final,grupo,entidad_administradora,isin,seccion,estado_identificacion,instrumento_sin_isin,fila_instrumento_origen,participacion_hoja10_refinada_pct,valor_abs,ranking
2026-01-30,CA-0001-en2026.XLS,10,370,Prima,3,145428.21957048,miles_soles,0.0482756956915725,,,,USD,1760997.744240957,8.258285397927294,isin,,1717998.2934177178,,hoja_10,US37954Y8306,Global X Management Company LLC,147.0,Global X Management Company LLC,US37954Y8306,,isin,,,8.464980444257069,145428.21957048,5
2026-01-30,CA-0001-en2026.XLS,10,148,Prima,3,85409.83194368001,miles_soles,0.0283522624987042,,,,USD,1760997.744240957,4.850081848372509,isin,,1717998.2934177178,,hoja_10,US4642864007,BlackRock Fund Advisors,75.0,BlackRock Fund Advisors,US4642864007,,isin,,,4.971473619672175,85409.83194368001,6
2026-01-30,CA-0001-en2026.XLS,10,557,Prima,3,77782.2688706248,miles_soles,0.0258202510715504,,,,USD,1760997.744240957,4.416943129257176,isin,,1717998.2934177178,,hoja_10,PRIVFAEA10FE,APAX X USD Feeder L.P.,290.0,APAX X USD Feeder L.P.,PRIVFAEA10FE,,isin,,,4.5274939543675465,77782.2688706248,7
2026-01-30,CA-0001-en2026.XLS,10,350,Prima,3,74770.93453632,miles_soles,0.0248206221111062,,,,USD,1760997.744240957,4.245941528366268,isin,,1717998.2934177178,,hoja_10,US81369Y8030,State Street Global Advisors Inc,138.0,State Street Global Advisors Inc,US81369Y8030,,isin,,,4.352212387101599,74770.93453632,8
2026-01-30,CA-0001-en2026.XLS,10,28,Prima,3,61106.7070471364,miles_soles,0.0202847067978575,,,,,1760997.744240957,3.470004845092815,entidad_sin_isin_pendiente,,1717998.2934177178,,hoja_10,JP MORGAN CHASE & CO,JP MORGAN CHASE & CO,22.0,JP MORGAN CHASE & CO,,,entidad_sin_isin,,,3.5568549329332066,61106.7070471364,9
2026-01-30,CA-0001-en2026.XLS,10,314,Prima,3,58986.742316480006,miles_soles,0.0195809728697636,,,,USD,1760997.744240957,3.349620549451928,isin,,1717998.2934177178,,hoja_10,US5007673065,"Krane Funds Advisors, LLC",125.0,"Krane Funds Advisors, LLC",US5007673065,,isin,,,3.4334575617729,58986.742316480006,10
2026-01-30,CA-0001-en2026.XLS,10,602,Prima,3,57561.2146549021,miles_soles,0.0191077611382749,,,,USD,1760997.744240957,3.268670550155231,isin,,1717998.2934177178,,hoja_10,PRIVFAEBSGLP,Blackstone Growth Associates L.P.,312.0,Blackstone Growth Associates L.P.,PRIVFAEBSGLP,,isin,,,3.350481480420571,57561.2146549021,11
2026-01-30,CA-0001-en2026.XLS,10,147,Prima,3,55372.048576,miles_soles,0.0183810554428086,,,,USD,1760997.744240957,3.144356587456449,isin,,1717998.2934177178,,hoja_10,US4642873909,BlackRock Fund Advisors,75.0,BlackRock Fund Advisors,US4642873909,,isin,,,3.2230560873168876,55372.048576,12
2026-01-30,CA-0001-en2026.XLS,10,325,Prima,3,49334.00777072,miles_soles,0.0163766946567803,,,,USD,1760997.744240957,2.801480463677961,isin,,1717998.2934177178,,hoja_10,LU0939496179,LARRAINVIAL ASSET MANAGEMENT SICAV,130.0,LARRAINVIAL ASSET MANAGEMENT SICAV,LU0939496179,,isin,,,2.8715981825905588,49334.00777072,13
2026-01-30,CA-0001-en2026.XLS,10,596,Prima,3,48104.1802044186,miles_soles,0.0159684466460488,,,,USD,1760997.744240957,2.731643488001908,isin,,1717998.2934177178,,hoja_10,PRIVFAECDRXI,"CD&R Associates XI, L.P.",309.0,"CD&R Associates XI, L.P.",PRIVFAECDRXI,,isin,,,2.800013270602385,48104.1802044186,14
2026-01-30,CA-0001-en2026.XLS,10,287,Prima,3,27766.49928,miles_soles,0.0092172418366981,,,,USD,1760997.744240957,1.5767481458057286,isin,,1717998.2934177178,,hoja_10,LU1034966249,Global Evolution Manco S.A.,115.0,Global Evolution Manco S.A.,LU1034966249,,isin,,,1.6162122736898896,27766.49928,15
2026-01-30,CA-0001-en2026.XLS,10,32,Prima,3,26068.555835012,miles_soles,0.0086536001907105,,,,,1760997.744240957,1.4803287466020196,entidad_sin_isin_pendiente,,1717998.2934177178,,hoja_10,EUR,EUR,26.0,EUR,,,entidad_sin_isin,,,1.5173796117778586,26068.555835012,16
2026-01-30,CA-0001-en2026.XLS,10,37,Prima,3,24363.363630400003,miles_soles,0.0080875522791799,,,,,1760997.744240957,1.383497719408002,entidad_sin_isin_pendiente,,1717998.2934177178,,hoja_10,USD,USD,31.0,USD,,,entidad_sin_isin,,,1.418125019317248,24363.363630400003,17
2026-01-30,CA-0001-en2026.XLS,10,410,Prima,3,21840.1247822917,miles_soles,0.0072499492943658,,,,JPY,1760997.744240957,1.2402131038336708,isin,,1717998.2934177178,,hoja_10,IE00B8JGVH80,Lazard Fund Managers Ireland Ltd.,165.0,Lazard Fund Managers Ireland Ltd.,IE00B8JGVH80,,isin,,,1.2712541604941772,21840.1247822917,18
2026-01-30,CA-0001-en2026.XLS,10,231,Prima,3,19689.826464,miles_soles,0.0065361459653658,,,,USD,1760997.744240957,1.1181062853937334,isin,,1717998.2934177178,,hoja_10,LU0858455784,Robeco Luxembourg S.A.,96.0,Robeco Luxembourg S.A.,LU0858455784,,isin,,,1.146091153841011,19689.826464,19
2026-01-30,CA-0001-en2026.XLS,10,440,Prima,3,16745.908261464,miles_soles,0.0055588961598861,,,,USD,1760997.744240957,0.9509329762760138,fondo_sin_isin_pareja_exacta,,1717998.2934177178,,hoja_10,Fondo Energético Americano,Larráin Vial S.A. SAF,189.0,Larráin Vial S.A. SAF,,,entidad_sin_isin,Fondo Energético Americano,441.0,0.9747336959311148,16745.908261464,20
2026-01-30,CA-0001-en2026.XLS,10,145,Profuturo,3,271873.48104000004,miles_soles,0.0763991544019534,,,,USD,2445016.2933374285,11.11949567701632,isin,,2133992.3517688075,,hoja_10,US4642875235,BlackRock Fund Advisors,75.0,BlackRock Fund Advisors,US4642875235,,isin,,,12.740133806695775,271873.48104000004,1
2026-01-30,CA-0001-en2026.XLS,10,153,Profuturo,3,217888.33108,miles_soles,0.0612287898947956,,,,USD,2445016.2933374285,8.911528797322823,isin,,2133992.3517688075,,hoja_10,US4642867729,BlackRock Fund Advisors,75.0,BlackRock Fund Advisors,US4642867729,,isin,,,10.210361386693743,217888.33108,2
2026-01-30,CA-0001-en2026.XLS,10,197,Profuturo,3,154702.71448,miles_soles,0.0434730026803162,,,,USD,2445016.2933374285,6.327267221145262,isin,,2133992.3517688075,,hoja_10,US9220427424,THE VANGUARD GROUP INC.,86.0,THE VANGUARD GROUP INC.,US9220427424,,isin,,,7.249450278102973,154702.71448,3
2026-01-30,CA-0001-en2026.XLS,10,188,Profuturo,3,131221.05216,miles_soles,0.0368744218318359,,,,USD,2445016.2933374285,5.366878434208071,isin,,2133992.3517688075,,hoja_10,US92189F1066,VAN ECK ASSOCIATES CORPORATION,85.0,VAN ECK ASSOCIATES CORPORATION,US92189F1066,,isin,,,6.149087275370714,131221.05216,4
